text,start,stop
"Hello everyone ! We have been talking about
data structures for some time now.",00:00:00.269,00:00:04.870
"As we know, data structures are ways to store
and organize data in computers.",00:00:04.870,00:00:09.150
"So far in this series, we have discussed some
of the data structures like arrays, linked",00:00:09.150,00:00:13.930
"lists and in last couple of lessons, we have
talked about stack.",00:00:13.930,00:00:18.080
"In this lesson, we are going to introduce
you to Queues.",00:00:18.080,00:00:20.850
We are going to talk about Queue ADT.,00:00:20.850,00:00:25.550
"Just the way we did it for stack, first we
are going to talk about queue as abstract",00:00:25.550,00:00:30.070
data type or ADT.,00:00:30.070,00:00:33.090
"As we know, when we talk about a data structure
as abstract data type, we define only the",00:00:33.090,00:00:38.160
"features or operations available with the
data structure and do not go into implementation",00:00:38.160,00:00:44.460
details.,00:00:44.460,00:00:45.460
"We will see possible implementations in later
lessons.",00:00:45.460,00:00:49.430
"In this lesson, we are only going to discuss
logical view of queue data structure.",00:00:49.430,00:00:54.300
Ok ! so let's get started.,00:00:54.300,00:00:56.360
"Queue data structure is exactly what we mean
when we say queue in real world.",00:00:56.360,00:01:01.610
"A queue is a structure in which whatever goes
in first, comes out first.",00:01:01.610,00:01:08.180
"In short, we call Queue a FIFO structure.",00:01:08.180,00:01:11.119
"Earlier, we had seen stack which is a last-in-first-out
structure which is called a last in first",00:01:11.119,00:01:18.020
out structure or in short LIFO.,00:01:18.020,00:01:21.429
"A stack is a collection in which both insertion
and removal happen from the same end that",00:01:21.429,00:01:28.159
we call the top of stack.,00:01:28.159,00:01:29.770
"In queue however, an insertion must happen
from one end that we call rear or tail of",00:01:29.770,00:01:37.479
"the queue and any removal must happen from
the other end that we can call front or head",00:01:37.479,00:01:45.979
of the queue.,00:01:45.979,00:01:47.950
"If i have to define queue formally, as an
abstract data type, then a queue is a list",00:01:47.950,00:01:55.159
"or collection with the restriction or the
constraint that insertion can be and must",00:01:55.159,00:02:02.209
"be performed at one end that we call the rear
of queue or the tail of queue and deletion",00:02:02.209,00:02:09.310
"can be performed at other end that we can
call the front of queue or head of queue.",00:02:09.310,00:02:15.690
"Lets now define the interface or operations
available with queue.",00:02:15.690,00:02:20.750
"Just like stack, we have two fundamental operations
here.",00:02:20.750,00:02:23.790
An insertion is called Enqueue operation.,00:02:23.790,00:02:26.920
"Some people also like to name this operation
push.",00:02:26.920,00:02:30.140
"Enqueue operation should insert an element
at tail or rear end of queue.",00:02:30.140,00:02:36.610
Deletion is called Dequeue operation.,00:02:36.610,00:02:39.220
"In some implementation, people call this operation
pop also.",00:02:39.220,00:02:44.560
