text,start,stop
"Hello everyone ! In this lesson, we will introduce
you to an interesting data structure that",00:00:00.220,00:00:04.729
"has got its application in a wide number of
scenarios in computer science and this data",00:00:04.729,00:00:09.680
structure is tree.,00:00:09.680,00:00:11.220
"So, far in this series, we have talked about
what we can call linear data structures.",00:00:11.220,00:00:16.760
"Array, Linked List, stack and queue, all of
these are linear data structures.",00:00:16.760,00:00:22.380
"All of these are basically collections of
different kinds in which data is arranged",00:00:22.380,00:00:26.779
in a sequential manner.,00:00:26.779,00:00:28.599
"In all these structures that I am showing
here, we have a logical start and a logical",00:00:28.599,00:00:32.820
"end and then an element in any of these collections
can have a next element and e previous element.",00:00:32.820,00:00:38.430
"So, all in all we have linear or sequential
arrangement.",00:00:38.430,00:00:42.190
"Now, as we understand, these data structures
are ways to store and organize data in computers.",00:00:42.190,00:00:49.250
"For different kinds of data, we use different
kinds of data structure.",00:00:49.250,00:00:52.820
"Our choice of data structure depends upon
a number of factors.",00:00:52.820,00:00:58.180
"First of all, its about what needs to be stored.",00:00:58.180,00:01:01.370
"A certain data structure can be best fit for
a particular kind of data.",00:01:01.370,00:01:05.430
"Then, we may care for the cost of operations.",00:01:05.430,00:01:08.720
"Quite often, we want to minimize the cost
of most frequently performed operations.",00:01:08.720,00:01:12.990
"For example, lets say we have a simple list
and we are searching for an element in the",00:01:12.990,00:01:18.810
list most of the time.,00:01:18.810,00:01:20.280
"Then, we may want to store the list or collection
as an array in sorted order, so we can perform",00:01:20.280,00:01:26.250
something like binary search really fast.,00:01:26.250,00:01:29.310
Another factor can be memory consumption.,00:01:29.310,00:01:31.190
"Sometimes, we may want to minimize the memory
usage and finally we may also choose a data",00:01:31.190,00:01:37.410
"structure for ease of implementation, although
this may not be the best strategy.",00:01:37.410,00:01:42.000
"Tree is one data structure that's quite often
used to represent hierarchical data.",00:01:42.000,00:01:47.330
"For example, lets say we want to show employees
in an organization and their positions in",00:01:47.330,00:01:52.909
"organizational hierarchy, then we can show
it something like this.",00:01:52.909,00:01:56.990
"Lets say this is organization hierarchy of
some company.",00:01:56.990,00:02:00.979
"In this company, John is CEO and john has
two direct reports - Steve and Rama.",00:02:00.979,00:02:07.750
Then Steve has 3 direct reports.,00:02:07.750,00:02:09.770
"Steve is manager of Lee, Bob and Ella.",00:02:09.770,00:02:13.780
They may be having some designation.,00:02:13.780,00:02:15.650
Rama also has two direct reports.,00:02:15.650,00:02:18.670
"Then Bob has two direct reports and then Tom
has 1 direct report.",00:02:18.670,00:02:23.050
"This particular logical structure that I have
drawn here is a Tree.",00:02:23.050,00:02:27.010
"Well, you have to look at this structure upside
down and then it will resemble a real tree.",00:02:27.010,00:02:32.640
"The root here is at top and we are branching
out in downward direction.",00:02:32.640,00:02:40.560
"Logical representation of tree data structure
is always like this.",00:02:40.560,00:02:43.750
"Root at top and branching out in downward
direction.",00:02:43.750,00:02:47.819
"Ok, so tree is an efficient way of storing
and organizing data that is naturally hierarchical,",00:02:47.819,00:02:54.580
"but this is not the only application of tree
in computer science.",00:02:54.580,00:02:57.940
"We will talk about other applications and
some of the implementation details like how",00:02:57.940,00:03:02.820
"we can create such a logical structure in
computer's memory later.",00:03:02.820,00:03:06.800
First I want to define tree as a logical model.,00:03:06.800,00:03:11.349
"Tree data structure can be defined as a collection
of entities called nodes linked together to",00:03:11.349,00:03:19.250
