text,start,stop
"Hello everyone. So far in the series on
data structures,",00:00:00.149,00:00:03.790
"we have talked about some of the linear
data structures like array,",00:00:03.790,00:00:07.830
"linked list, stack and queue. In all these
structure, data is arranged in a linear or",00:00:07.830,00:00:13.769
"sequential manner, so we can call
them linear data structures",00:00:13.769,00:00:17.400
"and we've also talked about tree which
is a non-linear data structure.",00:00:17.400,00:00:22.240
"Tree is a hierarchical structure. Now as
we understand data structures are ways to",00:00:22.240,00:00:27.779
"store and organize data,",00:00:27.779,00:00:29.650
"and for different kinds of data we use
different kinds of data structures.",00:00:29.650,00:00:33.590
"In this lesson, we're going to introduce
you to another non linear data",00:00:33.590,00:00:37.930
structure,00:00:37.930,00:00:38.440
"that has got its application in a wide
number of scenarios in computer science.",00:00:38.440,00:00:42.850
"It is used to model and represent a
variety of systems",00:00:42.850,00:00:46.780
and this data structure is graph.,00:00:46.780,00:00:49.820
"When we study data structures, we often
first study them as",00:00:49.820,00:00:53.620
"mathematical or logical models. Here
also,",00:00:53.620,00:00:57.070
"we will first study graph as a
mathematical or logical model",00:00:57.070,00:01:00.770
"and we will go into implementation
details later.",00:01:00.770,00:01:03.890
"Okay so let's get started. A graph just
like a tree",00:01:03.890,00:01:07.780
"is a collection of objects or entities that
we call ",00:01:07.780,00:01:10.979
"nodes or vertices, connected to each
other through",00:01:10.979,00:01:14.830
a set of edges. But in a tree,00:01:14.830,00:01:18.170
"connections are bound to be in a certain
way. In a tree that our rules",00:01:18.170,00:01:22.939
"dictating the connection among the nodes.
In a tree with",00:01:22.939,00:01:26.270
"N Nodes, we must have exactly",00:01:26.270,00:01:29.329
N - 1 edges. One edge for,00:01:29.329,00:01:32.880
"each parent child relationship. As
we know an edge",00:01:32.880,00:01:36.350
"in a tree is for a parent child
relationship and all nodes in a tree",00:01:36.350,00:01:40.829
"except the root node would have apparent
would have exactly 1 parent",00:01:40.829,00:01:45.630
"and that's why if they are N nodes, it
must be exactly N - 1 edges.",00:01:45.630,00:01:50.460
"In a tree, all nodes must be reachable
from the root",00:01:50.460,00:01:53.899
"and there must be exactly one possible
path from root",00:01:53.899,00:01:57.950
"to a node. Now in a graph there are no
rules",00:01:57.950,00:02:01.350
