text,start,stop
"In this lesson we're going to introduce
you to stack data structure.",00:00:00.739,00:00:04.800
"Data structures, as we know, are ways to
store and organize data in computers.",00:00:04.800,00:00:10.090
"So far, in the series we have discussed
some of the data structures.",00:00:10.090,00:00:13.710
"We have talked about arrays and linked
lists.",00:00:13.710,00:00:17.039
"Now in this lesson we are going to
talk about stacks and we are going to talk",00:00:17.039,00:00:21.310
about,00:00:21.310,00:00:21.730
stack as abstract data type or,00:00:21.730,00:00:24.770
"ADT. When we talk about a data structure
as",00:00:24.770,00:00:28.010
"abstract data type, we talk only about
the features",00:00:28.010,00:00:32.269
"or operations available with the data
structure.",00:00:32.269,00:00:35.399
"We do not go into implementation details.
So basically we define the data",00:00:35.399,00:00:40.870
"structured only as a mathematical or
logical model.",00:00:40.870,00:00:43.899
"We'll go into implementation of stack in
later lessons.",00:00:43.899,00:00:48.210
"In this lesson, we're going to talk only
about stack",00:00:48.210,00:00:51.510
"ADT. So we are only going to have a look at
the logical view",00:00:51.510,00:00:55.479
"of stack. Stack as a data structure in
computer science is not very different",00:00:55.479,00:01:00.530
"from stack as a way of organizing objects,",00:01:00.530,00:01:04.340
"in real world. Here are some examples of
stack from real world:",00:01:04.340,00:01:08.590
"First figure is of a stack of dinner
plates.",00:01:08.590,00:01:12.160
"Second figure is of a mathematical
puzzle, called",00:01:12.160,00:01:15.540
"tower of hanoi, where we have three rods or
three pegs and multiple disks",00:01:15.540,00:01:20.690
"and the game is about moving a stack of
discs,",00:01:20.690,00:01:23.790
"from one peg to another with this
constraint that,",00:01:23.790,00:01:27.530
"a disc can not go on top of a smaller
disc.",00:01:27.530,00:01:31.100
Third figure is of a pack of Tennis balls.,00:01:31.100,00:01:34.220
"Stack basically is a collection with
this property, that",00:01:34.220,00:01:38.280
"an item in the stack must be inserted
or removed,",00:01:38.280,00:01:42.070
"from the same end that we call the top
of stack.",00:01:42.070,00:01:46.260
"In fact this is not just a property, this
is a constraint or restriction.",00:01:46.260,00:01:50.970
"Only the top of a stack is accessible and
any item has to be inserted",00:01:50.970,00:01:56.430
"or removed from the top. A stack is
also called",00:01:56.430,00:02:00.320
'last in first out' collection. Most,00:02:00.320,00:02:03.430
"recently added item in a stack has to go
out first.",00:02:03.430,00:02:06.570
"In the first example, you will always
pick up a",00:02:06.570,00:02:10.170
"dinner plate from top of the stack and
if you will have to put",00:02:10.170,00:02:13.969
"a plate back into the stack, you will
always put it back on",00:02:13.969,00:02:17.549
"top of the stack. You can argue, that I
can slip out a plate",00:02:17.549,00:02:21.209
"from in between without actually
removing the plates on the top.",00:02:21.209,00:02:25.260
"So the constraint that I should take
out a plate always from the top",00:02:25.260,00:02:29.780
"is not strictly enforced. For the sake of
argument,",00:02:29.780,00:02:33.579
"this is fine. You can say this. In other
two examples where we have",00:02:33.579,00:02:37.519
"discs in a pag, and tennis balls in this",00:02:37.519,00:02:41.170
"box that can open only from one side,
there is no way you can take out an item",00:02:41.170,00:02:45.889
from in between.,00:02:45.889,00:02:46.870
"Any insertion of removal has to happen
from",00:02:46.870,00:02:50.499
top.,00:02:50.499,00:02:52.160
"You can not slip out an item from in
between. You can take out an item,",00:02:52.160,00:02:55.600
"but for that you will have to remove all
the items on top of that item.",00:02:55.600,00:03:00.080
"Let's now formally define stack as an
abstract data tape.",00:03:00.080,00:03:03.750
"A stack is a list or collection with the
restriction that insertion",00:03:03.750,00:03:09.200
"and deletion can be performed only from
one",00:03:09.200,00:03:12.200
"end, that we call the top of stack. Let's
now define the interface or operations",00:03:12.200,00:03:18.110
