text,start,stop
"In our previous lesson, we saw how we can
implement queue",00:00:00.459,00:00:03.489
"using arrays. Now, In this lesson we'll
see how we can implement queue",00:00:03.489,00:00:08.130
"using linked list. Queue as we know from our
previous discussions is a structure",00:00:08.130,00:00:13.470
"in which whatever goes in first comes out
first.",00:00:13.470,00:00:16.880
"Queue data strucuture is a list or
collection with this",00:00:16.880,00:00:20.160
"restriction that insertion can be
performed at one end",00:00:20.160,00:00:24.029
"and deletion can be performed at other
end.",00:00:24.029,00:00:27.169
"These are typical operations that we
defined with Queue.",00:00:27.169,00:00:30.429
"An insertion is called enqueue
operation and",00:00:30.429,00:00:33.710
"a deletion is called dequeue. Front operation
front function",00:00:33.710,00:00:38.250
"should simply return the element at
front of list and isempty",00:00:38.250,00:00:42.190
"should check whether queue is empty or
not",00:00:42.190,00:00:45.430
"and all these operations must a constant
time. There time complexity should be",00:00:45.430,00:00:49.770
"O(1). When we were implementing
queue",00:00:49.770,00:00:53.040
"with arrays, we used the idea of 
circular array to implement Queue.",00:00:53.040,00:00:57.550
"Then in this case we have a limitation.
The limitation is that",00:00:57.550,00:01:01.330
"arary will always have a fixed size and
once all the positions in the array are",00:01:01.330,00:01:06.530
taken,00:01:06.530,00:01:07.320
"once study is exhausted, we have two
options we can either deny insertion",00:01:07.320,00:01:12.530
"so we can say that the queue is full and
we cannot insert anything now,",00:01:12.530,00:01:17.520
"or what we can do is we can create a new
larger array",00:01:17.520,00:01:20.869
"and copy elements from previous array
to the new larger array,",00:01:20.869,00:01:25.229
"which will be a costly process. We can
avoid this problem if",00:01:25.229,00:01:29.619
people use linked list to implement Queue.,00:01:29.619,00:01:33.920
"Please note that this represantaion
of circular array that i'm showing here",00:01:33.920,00:01:37.780
"is only a logical way of looking at
array. We can show this array",00:01:37.780,00:01:42.030
"like this also. As i was saying in an array
implementation, we will have this question",00:01:42.030,00:01:47.100
"what if array gets filled and we need to
take care of this.",00:01:47.100,00:01:50.760
"We can either say queue is full, or we can
create a new larger array and",00:01:50.760,00:01:55.260
"copy elements from previous filled
array into new larger array.",00:01:55.260,00:01:58.930
"The time taken for this copy operation
will be proportional to number of",00:01:58.930,00:02:02.790
"elements in filled array, or in other words
we can say that the time complexity of",00:02:02.790,00:02:07.360
this copy operation will be,00:02:07.360,00:02:09.220
"O(N). There is another problem the array
implementation.",00:02:09.220,00:02:12.970
"We can have a large enough array and Queue
may not be using most of it.",00:02:12.970,00:02:17.600
"Like right now, in this array
90% of memory",00:02:17.600,00:02:21.210
"is unused. Memory is an important
resource and",00:02:21.210,00:02:24.670
"we should always avoid blocking memory
unnecessarily. It's not that some amount",00:02:24.670,00:02:28.800
of unused memory will be real problem,00:02:28.800,00:02:31.110
"in a modern-day machine. It's just that
while designing solutions and",00:02:31.110,00:02:35.970
"algorithms,",00:02:35.970,00:02:36.470
"we should analyze and understand these
implications.",00:02:36.470,00:02:39.540
"Let's now see how good we will be with
are linked list implementation.",00:02:39.540,00:02:44.030
"I have drawn logical view of a linked
list of integers here.",00:02:44.030,00:02:47.540
"Coming back to basic definition of Queue.
As we know,",00:02:47.540,00:02:51.120
"a queue is list or collection with
this constraint with this property,",00:02:51.120,00:02:55.160
that an element must always be inserted,00:02:55.160,00:02:58.470
"from one side of the queue that we
call the rear of",00:02:58.470,00:03:01.610
"queue and an element must always be
removed",00:03:01.610,00:03:05.190
"from the other side that we call the
front of Queue.",00:03:05.190,00:03:08.330
"It's really easy to enforce this
property in a linked list.",00:03:08.330,00:03:12.400
"A linked list as we know is a
collection of",00:03:12.400,00:03:16.540
