text,start,stop
"In our previous lesson, we introduced you
to graphs.",00:00:00.510,00:00:03.050
"We defined graph as a mathematical or
logical model",00:00:03.050,00:00:06.670
"and talked about some of the
properties and applications of graph.",00:00:06.670,00:00:10.559
"Now in this lesson, we will discuss some
more properties of graph",00:00:10.559,00:00:13.929
"but first I want to do a quick recap of
what we have discussed in our previous",00:00:13.929,00:00:17.640
lesson.,00:00:17.640,00:00:18.630
"A graph can be defined as an ordered
pair of",00:00:18.630,00:00:21.760
a set of vertices and a set of edges.,00:00:21.760,00:00:24.890
"We use this formal mathematical
notation G = (V,E)",00:00:24.890,00:00:29.250
"to define a graph, here V is set of
vertices and",00:00:29.250,00:00:33.219
"E is set of edges. Ordered pair is just a
pair of mathematical objects in which",00:00:33.219,00:00:38.700
"order of objects in the pair matters. It
matters which element is first and which",00:00:38.700,00:00:43.450
element is second in the pair.,00:00:43.450,00:00:45.030
"Now as we know to denote number of
elements in a set",00:00:45.030,00:00:48.430
"that we also call cardinality of a set.
We use the same notation that we used",00:00:48.430,00:00:53.600
for modulus or absolute value.,00:00:53.600,00:00:55.920
"So this is how we can denote number of
vertices and number of",00:00:55.920,00:01:00.640
edges in a graph. Number of vertices,00:01:00.640,00:01:03.640
"would be number of elements in set V
and number of edges would be number of",00:01:03.640,00:01:07.540
elements,00:01:07.540,00:01:08.049
"in set E. Moving forward, this is how I'm
going to denote number of vertices and",00:01:08.049,00:01:12.330
number of edges,00:01:12.330,00:01:13.390
"in all my explanations. Now as we had
discussed earlier,",00:01:13.390,00:01:17.030
"edges in a graph can either be
directed that is 1 way connections",00:01:17.030,00:01:21.659
"or undirected that is 2 way
connections. A graph with only directed ",00:01:21.659,00:01:26.530
edges is called,00:01:26.530,00:01:27.330
"a directed graph or digraph and a
graph with only undirected edges is called",00:01:27.330,00:01:32.320
a undirected graph.,00:01:32.320,00:01:33.780
"Now sometimes all connections in a
graph cannot be treated as",00:01:33.780,00:01:37.430
"equal, so we label edges with some weight",00:01:37.430,00:01:41.119
"or cost like what i'm showing here and
a graph in which some value is associated",00:01:41.119,00:01:46.950
to connections,00:01:46.950,00:01:47.920
as cost or weight is called a weighted graph.,00:01:47.920,00:01:51.560
A graph is unweighted if there is no cost,00:01:51.560,00:01:54.960
"distinction among edges. Okay, now we can
also have some special kind of edges in",00:01:54.960,00:01:59.840
a graph.,00:01:59.840,00:02:00.479
"These edges complicate algorithms and
make working with graphs difficult",00:02:00.479,00:02:04.939
"but I'm going to talk about them anyway.
An edge is called a self loop",00:02:04.939,00:02:09.110
"or self edge if it involves only 1
vertex.",00:02:09.110,00:02:13.170
