text,start,stop
"A couple of videos ago we
introduced the idea of the",00:00:00.950,00:00:05.350
length of a vector.,00:00:05.350,00:00:07.240
That equals the length.,00:00:07.240,00:00:09.210
"And this was a neat idea because
we're used to the",00:00:09.210,00:00:12.560
"length of things in two- or
three-dimensional space, but",00:00:12.560,00:00:15.720
"it becomes very abstract when
we get to n dimensions.",00:00:15.720,00:00:18.730
"If this has a hundred
components, at least for me,",00:00:18.730,00:00:21.250
"it's hard to visualize a hundred
dimension vector.",00:00:21.250,00:00:24.210
"But we've actually defined
it's notion of length.",00:00:24.210,00:00:26.410
"And we saw that this is actually
a scalar value.",00:00:26.410,00:00:30.900
It's just a number.,00:00:30.900,00:00:32.270
"In this video, I want to attempt
to define the notion",00:00:32.270,00:00:36.530
of an angle between vectors.,00:00:36.530,00:00:40.125
"As you can see, we're building
up this mathematics of vectors",00:00:45.400,00:00:48.880
"from the ground up, and we can't
just say, oh, I know",00:00:48.880,00:00:51.495
"what an angle is because
everything we know about",00:00:51.495,00:00:53.590
"angles and even lengths, it
just applies to what we",00:00:53.590,00:00:56.410
"associate with two- or
three-dimensional space.",00:00:56.410,00:00:58.650
"But the whole study of linear
algebra is abstracting these",00:00:58.650,00:01:02.230
"ideas into multi-dimensional
space.",00:01:02.230,00:01:05.010
"And I haven't even defined what
dimension is yet, but I",00:01:05.010,00:01:07.240
"think you understand that idea
to some degree already.",00:01:07.240,00:01:11.030
"When people talk about one or
two or three dimensions.",00:01:11.030,00:01:14.020
"So let's say that I have some
vector-- let's say I have two",00:01:14.020,00:01:18.020
"vectors, vectors a and b.",00:01:18.020,00:01:20.530
"They're nonzero and they're
members of Rn.",00:01:23.940,00:01:26.460
"And I don't have a notion of
the angle between them yet,",00:01:30.800,00:01:36.790
but let me just draw them out.,00:01:36.790,00:01:38.430
"Let me just draw them as if
I could draw them in two",00:01:38.430,00:01:40.390
dimensions.,00:01:40.390,00:01:40.870
"So that would be vector
a right there.",00:01:40.870,00:01:44.960
"Maybe that's vector
b right there.",00:01:44.960,00:01:48.400
"And then this vector right
there would be the",00:01:48.400,00:01:50.980
vector a minus b.,00:01:50.980,00:01:53.810
"And you can verify that just the
way we've learned to add",00:01:53.810,00:01:57.050
and subtract vectors.,00:01:57.050,00:01:58.200
"Or you know, this is
heads to tails.",00:01:58.200,00:02:00.310
"So b plus a minus b is of
course, going to be vector a.",00:02:00.310,00:02:03.840
"And that all just
works out there.",00:02:03.840,00:02:06.490
"To help us define this notion
of angle, let me construct",00:02:06.490,00:02:09.050
"another triangle that's going
to look a lot like this one.",00:02:09.050,00:02:12.345
"But remember, I'm just doing
this for our simple minds to",00:02:12.345,00:02:17.470
imagine it in two dimensions.,00:02:17.470,00:02:19.140
"But these aren't necessarily
two-dimensional beasts.",00:02:19.140,00:02:23.030
"These each could have a
hundred components.",00:02:23.030,00:02:25.000
"But let me make another
triangle.",00:02:25.000,00:02:26.555
"Well, it should look similar.",00:02:30.150,00:02:33.440
Say it looks like that.,00:02:33.440,00:02:35.000
"And I'm going to define the
sides of the triangles to be",00:02:35.000,00:02:38.040
"the lengths of each
of these vectors.",00:02:38.040,00:02:40.090
"Remember, the lengths of each of
these vectors, I don't care",00:02:40.090,00:02:42.250
"how many components there
are, they're just",00:02:42.250,00:02:43.460
going to be your numbers.,00:02:43.460,00:02:44.680
"So the length of this side right
here is just going to be",00:02:44.680,00:02:46.980
the length of a.,00:02:46.980,00:02:48.530
"The length of this side right
here is just going to be the",00:02:48.530,00:02:50.580
"length of vector a
minus vector b.",00:02:50.580,00:02:54.695
"And the length of this side
right here is going to be the",00:02:57.610,00:02:59.780
length of vector b.,00:02:59.780,00:03:02.010
"Now the first thing we want to
make sure is that we can",00:03:02.010,00:03:03.990
"always construct a triangle
like that.",00:03:03.990,00:03:07.500
"And so under what circumstances
could we not",00:03:07.500,00:03:09.940
"construct a triangle
like this?",00:03:09.940,00:03:11.280
"Well we wouldn't be able
construct a triangle like this",00:03:11.280,00:03:13.550
if this side.,00:03:13.550,00:03:15.820
"if b, if the magnitude-- so
let me write this down.",00:03:15.820,00:03:19.410
"It's kind of a subtle
point, but I want to",00:03:19.410,00:03:20.710
make this very clear.,00:03:20.710,00:03:22.520
"In order to define an angle, I
want to be comfortable that I",00:03:22.520,00:03:24.810
"can always make this
construction.",00:03:24.810,00:03:27.300
"And I need to make sure that--
let me write reasons why I",00:03:27.300,00:03:30.680
"couldn't make this
construction.",00:03:30.680,00:03:39.490
"Well what if the magnitude of
b was greater than, or the",00:03:39.490,00:03:45.310
"length of vector b was greater
than the length of vector a",00:03:45.310,00:03:49.450
"plus the length of
vector a minus b?",00:03:49.450,00:03:54.760
"In two dimensions, I could never
draw a triangle like",00:03:54.760,00:03:57.260
"that then because you would
have this length plus this",00:03:57.260,00:03:59.950
"length would be shorter than
this thing right here.",00:03:59.950,00:04:02.680
"So you could never
construct it.",00:04:02.680,00:04:04.010
"And I could do with
all the sides.",00:04:04.010,00:04:05.200
"What if this length was larger
than one of these two sides?",00:04:05.200,00:04:08.470
