text,start,stop
"In this lesson, we're going to write code
to delete a node from binary search tree.",00:00:00.659,00:00:04.940
"In most data structures deletion is
tricky.",00:00:04.940,00:00:08.440
"In case of binary search trees too, it's
not so straightforward.",00:00:08.440,00:00:12.339
"So let's first see what all
complications",00:00:12.339,00:00:15.619
"we may have while trying to delete a
node from binary search tree.",00:00:15.619,00:00:18.680
"I have drawn a binary search tree of
integers here.",00:00:18.680,00:00:21.790
"As we know in a binary search tree for
each node",00:00:21.790,00:00:25.330
"value of all nodes in its left subtree
is lesser",00:00:25.330,00:00:28.720
"and value of all nodes right
subtree is greater.",00:00:28.720,00:00:32.399
"For example, in this tree if I'll pick this
node with value 5",00:00:32.399,00:00:37.219
"then we have 3 and 1 in its left
subtree which are lesser",00:00:37.219,00:00:41.140
"and we have 7 and 9 in its right
subtree",00:00:41.140,00:00:44.370
"which are greater, and you can pick any
other node in the tree and this property",00:00:44.370,00:00:48.530
"will be true else the tree is not a BST.
Now when we need to delete",00:00:48.530,00:00:53.420
"a node, this property must be conserved.
Let's try to delete some nodes from this",00:00:53.420,00:00:58.469
example tree and see if we can,00:00:58.469,00:01:00.620
"rearrange these things and conserve the
property of binary search tree or not.",00:01:00.620,00:01:04.809
What if I want to delete this node the,00:01:04.809,00:01:08.280
value 19. To delete a node from tree,00:01:08.280,00:01:11.469
"we need to do two things, we need to
remove to reference of the node",00:01:11.469,00:01:15.759
"from its parent so the node is detached
from the tree.",00:01:15.759,00:01:19.649
"Here we will cut this link we will
set right child of",00:01:19.649,00:01:24.210
"this node with value 17 as null
and the second thing that we need to do",00:01:24.210,00:01:28.960
is,00:01:28.960,00:01:29.430
"reclaim the memory allocated to the
node being deleted.",00:01:29.430,00:01:33.270
that is wipe off the node object from memory.,00:01:33.270,00:01:36.549
"This particular node with value 19 that
you're trying to delete here ",00:01:36.549,00:01:40.640
"is leaf node. It has no children and
even if we take this guy",00:01:40.640,00:01:45.250
out by simply cutting this link that is,00:01:45.250,00:01:48.710
"removing its reference from its parent
and then",00:01:48.710,00:01:51.920
"wiping it off from memory there is no
problem,",00:01:51.920,00:01:55.850
"property of binary search tree that for
each node value of nodes in left",00:01:55.850,00:02:00.060
"should be lesser and value of nodes in
right should be greater",00:02:00.060,00:02:03.369
"is conserved. So deleting a leaf node, a
node",00:02:03.369,00:02:07.020
"with no children is really easy. In this tree,
these four nodes with values",00:02:07.020,00:02:11.120
