text,start,stop
"I have this matrix A here that I
want to put into reduced row",00:00:00.680,00:00:04.510
echelon form.,00:00:04.510,00:00:05.450
"And we've done this
multiple times.",00:00:05.450,00:00:07.160
"You just perform a bunch
of row operations.",00:00:07.160,00:00:09.670
"But what I want to show you in
this video is that those row",00:00:09.670,00:00:12.470
"operations are equivalent to
linear transformations on the",00:00:12.470,00:00:16.520
column vectors of A.,00:00:16.520,00:00:19.450
So let me show you by example.,00:00:19.450,00:00:21.490
"So if we just want to put A into
reduced row echelon form,",00:00:21.490,00:00:24.450
"the first step that we might
want to do if we wanted to",00:00:24.450,00:00:26.860
"zero out these entries right
here, is-- let me do it right",00:00:26.860,00:00:31.580
"here-- is we'll keep our
first entry the same.",00:00:31.580,00:00:34.890
"So for each of these column
vectors, we're going to keep",00:00:34.890,00:00:36.830
the first entry the same.,00:00:36.830,00:00:38.010
"So they're going to be
1, minus 1, minus 1.",00:00:38.010,00:00:41.590
"And actually, let me
simultaneously construct my",00:00:41.590,00:00:44.360
transformation.,00:00:44.360,00:00:45.800
"So I'm saying that my row
operation I'm going to perform",00:00:45.800,00:00:48.340
"is equivalent to a linear
transformation",00:00:48.340,00:00:51.690
on the column vector.,00:00:51.690,00:00:52.630
"So it's going to be a
transformation that's going to",00:00:52.630,00:00:55.160
"take some column vector,
a1, a2, and a3.",00:00:55.160,00:01:00.880
"It's going to take each of these
and then do something to",00:01:00.880,00:01:03.130
"them, do something to them
in a linear way.",00:01:03.130,00:01:05.239
"They'll be linear
transformations.",00:01:05.239,00:01:07.330
"So we're keeping the
first entry of our",00:01:07.330,00:01:09.470
column vector the same.,00:01:09.470,00:01:11.090
"So this is just going
to be a1.",00:01:11.090,00:01:14.670
This is a line right here.,00:01:14.670,00:01:16.330
That's going to be a1.,00:01:16.330,00:01:17.250
"Now, what can we do if
we want to get to",00:01:17.250,00:01:19.050
reduced row echelon form?,00:01:19.050,00:01:20.780
"We'd want to make
this equal to 0.",00:01:20.780,00:01:22.610
"So we would want to replace our
second row with the second",00:01:22.610,00:01:26.360
"row plus the first row, because
then these guys would",00:01:26.360,00:01:29.230
turn out to be 0.,00:01:29.230,00:01:30.500
"So let me write that on
my transformation.",00:01:30.500,00:01:32.140
"I'm going to replace the second
row with the second row",00:01:32.140,00:01:35.490
plus the first row.,00:01:35.490,00:01:39.090
Let me write it out here.,00:01:39.090,00:01:40.400
Minus 1 plus 1 is 0.,00:01:40.400,00:01:43.410
2 plus minus 1 is 1.,00:01:43.410,00:01:45.810
3 plus minus 1 is 2.,00:01:45.810,00:01:48.950
"Now, we also want
to get a 0 here.",00:01:48.950,00:01:51.070
"So let me replace my third
row with my third row",00:01:51.070,00:01:54.360
minus my first row.,00:01:54.360,00:01:55.900
"So I'm going to replace my third
row with my third row",00:01:55.900,00:01:59.320
minus my first row.,00:01:59.320,00:02:01.690
So 1 minus 1 is 0.,00:02:01.690,00:02:05.240
1 minus minus 1 is 2.,00:02:05.240,00:02:08.660
"4 minus minus 1 is 5,
just like that.",00:02:08.660,00:02:14.100
"So you see this was just a
linear transformation.",00:02:14.100,00:02:16.790
"And any linear transformation
you could actually represent",00:02:16.790,00:02:19.390
as a matrix vector product.,00:02:19.390,00:02:22.280
"So for example, this
transformation, I could",00:02:22.280,00:02:24.140
represent it.,00:02:24.140,00:02:26.150
"To figure out its transformation
matrix, so if",00:02:26.150,00:02:28.230
"we say that T of x is equal to,
I don't know, let's call",00:02:28.230,00:02:32.600
it some matrix S times x.,00:02:32.600,00:02:36.220
We already used the matrix A.,00:02:36.220,00:02:37.740
"So I have to pick
another letter.",00:02:37.740,00:02:40.110
So how do we find S?,00:02:40.110,00:02:41.160
"Well, we just apply the
transformation to all of the",00:02:41.160,00:02:43.570
"column vectors, or the standard
basis vectors of the",00:02:43.570,00:02:46.370
identity matrix.,00:02:46.370,00:02:47.240
So let's do that.,00:02:47.240,00:02:48.460
"So the identity matrix-- I'll
draw it really small like",00:02:48.460,00:02:50.760
"this-- the identity matrix looks
like this, 1, 0, 0, 0,",00:02:50.760,00:02:55.080
"1, 0, 0, 0, 1.",00:02:55.080,00:02:57.900
"That's what that identity
matrix looks like.",00:02:57.900,00:02:59.880
"To find the transformation
matrix, we just apply this guy",00:02:59.880,00:03:02.580
"to each of the column
vectors of this.",00:03:02.580,00:03:04.660
So what do we get?,00:03:04.660,00:03:06.286
"I'll do it a little
bit bigger.",00:03:06.286,00:03:09.270
"We apply it to each of
these column vectors.",00:03:09.270,00:03:11.140
"But we see the first row
always stays the same.",00:03:11.140,00:03:13.370
"So the first row is always going
to be the same thing.",00:03:13.370,00:03:16.250
"So 1, 0, 0.",00:03:16.250,00:03:18.850
"I'm essentially applying it
simultaneously to each of",00:03:18.850,00:03:21.180
"these column vectors, saying,
look, when you transform each",00:03:21.180,00:03:24.290
"of these column vectors, their
first entry stays the same.",00:03:24.290,00:03:27.710
"The second entry becomes
the second entry",00:03:27.710,00:03:31.890
plus the first entry.,00:03:31.890,00:03:32.910
So 0 plus 1 is 1.,00:03:32.910,00:03:35.730
1 plus 0 is 1.,00:03:35.730,00:03:38.510
0 plus 0 is 0.,00:03:38.510,00:03:41.350
"Then the third entry gets
replaced with the third entry",00:03:41.350,00:03:45.440
minus the first entry.,00:03:45.440,00:03:46.690
So 0 minus 1 is minus 1.,00:03:46.690,00:03:49.660
0 minus 0 is 0.,00:03:49.660,00:03:52.500
1 minus 0 is 1.,00:03:52.500,00:03:54.930
"Now notice, when I apply this
transformation to the column",00:03:54.930,00:03:58.510
"vectors of our identity matrix,
I essentially just",00:03:58.510,00:04:02.010
"performed those same
row operations",00:04:02.010,00:04:03.760
that I did up there.,00:04:03.760,00:04:04.730
"I performed those exact same
row operations on this",00:04:04.730,00:04:07.160
identity matrix.,00:04:07.160,00:04:08.330
"But we know that this is
actually the transformation",00:04:08.330,00:04:10.520
"matrix, that if we multiply
it by each of these column",00:04:10.520,00:04:13.110
"vectors, or by each of these
column vectors, we're going to",00:04:13.110,00:04:16.769
get these column vectors.,00:04:16.769,00:04:18.430
So you can view it this way.,00:04:18.430,00:04:20.240
"This right here, this
is equal to S.",00:04:20.240,00:04:22.990
"This is our transformation
matrix.",00:04:22.990,00:04:25.510
"So we could say that if we
create a new matrix whose",00:04:25.510,00:04:32.350
"columns are S times this column
vector, S times 1,",00:04:32.350,00:04:37.320
"minus 1, 1.",00:04:37.320,00:04:39.420
"And then the next column is S
times-- I wanted to do it in",00:04:39.420,00:04:47.540
"that other color-- S times
this guy, minus 1, 2, 1.",00:04:47.540,00:04:54.670
"And then the third column is
going to be S times this third",00:04:54.670,00:05:02.930
"column vector, minus 1, 3, 4.",00:05:02.930,00:05:09.180
"We now know we're applying this
transformation, this is",00:05:09.180,00:05:11.950
"S, times each of these
column vectors.",00:05:11.950,00:05:13.920
"That is the matrix
representation of this",00:05:13.920,00:05:15.890
transformation.,00:05:15.890,00:05:17.630
"This guy right here will
be transformed",00:05:17.630,00:05:22.300
to this right here.,00:05:22.300,00:05:25.070
Let me do it down here.,00:05:25.070,00:05:30.580
"I wanted to show that stuff that
I had above here as well.",00:05:30.580,00:05:33.670
"Well, I'll just draw an arrow.",00:05:33.670,00:05:35.310
"That's probably the
simplest thing.",00:05:35.310,00:05:36.440
"This matrix right here
will become that",00:05:36.440,00:05:39.900
matrix right there.,00:05:39.900,00:05:41.430
"So another way you could
write it, this is",00:05:41.430,00:05:43.610
equivalent to what?,00:05:43.610,00:05:44.570
What is this equivalent to?,00:05:44.570,00:05:45.520
"When you take a matrix and you
multiply it times each of the",00:05:45.520,00:05:47.900
"column vectors, when you
transform each of the column",00:05:47.900,00:05:50.400
"vectors by this matrix, this
is the definition of a",00:05:50.400,00:05:53.970
matrix-matrix product.,00:05:53.970,00:05:55.270
"This is equal to our matrix S--
I'll do it in pink-- this",00:05:55.270,00:05:59.440
"is equal to our matrix S, which
is 1, 0, 0, 1, 1, 0,",00:05:59.440,00:06:05.920
"minus 1, 0, 1, times our matrix
A, times 1, minus 1, 1,",00:06:05.920,00:06:15.790
"minus 1, 2, 1, minus 1, 3, 4.",00:06:15.790,00:06:22.090
