text,start,stop
"I've got a 2 by 2 matrix here,
and let's just say its entries",00:00:00.450,00:00:04.800
"are a, b, c, and d.",00:00:04.800,00:00:08.690
"And it's composed of
two column vectors.",00:00:08.690,00:00:11.140
"We've done this before, let's
call this first column v1 and",00:00:11.140,00:00:15.430
"let's call the second
column v2.",00:00:15.430,00:00:19.440
So we can rewrite here.,00:00:19.440,00:00:20.860
"We can say v1 one is equal to
ac, and we could write that v2",00:00:20.860,00:00:28.440
is equal to bd.,00:00:28.440,00:00:31.890
"And these are both members of
r2, and just to have a nice",00:00:31.890,00:00:35.270
"visualization in our head,
let's graph these two.",00:00:35.270,00:00:38.870
Let me draw my axes.,00:00:38.870,00:00:41.170
That's my vertical axis.,00:00:41.170,00:00:43.870
That's my horizontal axis.,00:00:43.870,00:00:45.870
"And maybe v1 looks something
like this.",00:00:45.870,00:00:48.240
"v1 might look something
like that.",00:00:48.240,00:00:50.860
So that is v1.,00:00:50.860,00:00:53.040
"It's horizontal component will
be a, its vertical coordinant",00:00:53.040,00:00:57.222
"-- give you this as maybe a
position vector, or just how",00:00:57.222,00:01:00.870
"we're drawing it, is c.",00:01:00.870,00:01:02.950
"And then v2, let's just say it
looks something like this.",00:01:02.950,00:01:06.190
"Let's say that they're
not the same vector.",00:01:06.190,00:01:08.380
So v2 looks like that.,00:01:08.380,00:01:10.380
"v2, its horizontal coordinate
is going to b, and its",00:01:10.380,00:01:15.230
"vertical coordinate
is going to be d.",00:01:15.230,00:01:18.790
"Now, what we're going to concern
ourselves with in this",00:01:18.790,00:01:21.830
"video is the parallelogram
generated by these two guys.",00:01:21.830,00:01:25.190
"What I mean by that is, imagine
that these two guys",00:01:25.190,00:01:28.770
"are position vectors that are
specifying points on a",00:01:28.770,00:01:31.480
"parallelogram, and then of
course the -- or not of course",00:01:31.480,00:01:35.160
"but, the origin is also
another point in the",00:01:35.160,00:01:37.990
"parallelogram, so what will
be the last point on the",00:01:37.990,00:01:39.760
parallelogram?,00:01:39.760,00:01:40.970
"Well, you can imagine.",00:01:40.970,00:01:42.110
"A parallelogram, we already have
two sides of it, so the",00:01:42.110,00:01:45.380
"other two sides have
to be parallel.",00:01:45.380,00:01:46.770
"So one side look like that,
parallel to v1 the way I've",00:01:46.770,00:01:51.130
"drawn it, and the other side
will look like this.",00:01:51.130,00:01:54.700
