text,start,stop
"Let me graph our coordinates
in R2.",00:00:00.670,00:00:03.250
"So let's see, let me do
it fairly neatly.",00:00:03.250,00:00:06.512
"I want to do it neater
than that.",00:00:06.512,00:00:09.160
"So that is my vertical
coordinate, this is my",00:00:09.160,00:00:13.990
horizontal coordinate.,00:00:13.990,00:00:16.149
Good enough.,00:00:16.149,00:00:16.640
"So let's say I have four points
in R2 specified by four",00:00:16.640,00:00:20.450
position vectors.,00:00:20.450,00:00:21.445
So this is R2 right here.,00:00:21.445,00:00:23.390
"So my first position vector
is the zero vector.",00:00:23.390,00:00:26.990
"So it just specifies the point
right there, so it's 0, 0.",00:00:26.990,00:00:31.050
"My second point is specified the
by the vector say k 1, 0,",00:00:31.050,00:00:40.720
so some constant times 0.,00:00:40.720,00:00:42.720
"Let me write it a little
bit neater than that,",00:00:42.720,00:00:44.210
a little bit bigger.,00:00:44.210,00:00:46.020
"So it's k 1, 0, so that's my
second position vector, which",00:00:46.020,00:00:50.960
"would specify that point
right there.",00:00:50.960,00:00:53.220
"So let me draw my vector
right there.",00:00:53.220,00:00:56.010
"Let's say my third point
is going to be up here.",00:00:56.010,00:01:01.190
"As you can, see I'm creating
a rectangle.",00:01:01.190,00:01:03.672
"Let's say it's specified
by the position vector.",00:01:03.672,00:01:06.720
"Let me draw the position
vector like that.",00:01:06.720,00:01:09.190
"And that position vector is
going to be the vector k1.",00:01:09.190,00:01:13.700
"That's going to be its
horizontal component and then",00:01:13.700,00:01:17.020
k2 is its vertical component.,00:01:17.020,00:01:20.480
"If we wanted to graph it on the
coordinates, this would be",00:01:20.480,00:01:23.005
the k2 coordinate right there.,00:01:23.005,00:01:25.140
"And let's say that the last
point is this point right",00:01:25.140,00:01:29.870
"here, and it is specified by
the position vector 0, k2.",00:01:29.870,00:01:39.400
And let me define a set.,00:01:39.400,00:01:42.290
Let me call that set,00:01:42.290,00:01:43.770
"rectangle, say R for rectangle.",00:01:43.770,00:01:45.955
Let me just call it Rec.,00:01:45.955,00:01:48.310
"Let's say that rectangle is
equal to the set of all of the",00:01:48.310,00:01:51.680
"points when you connect the
points specified by those",00:01:51.680,00:01:55.260
position vectors.,00:01:55.260,00:01:56.710
"So the rectangle formed by
connecting points specified by",00:01:56.710,00:02:17.580
these guys here.,00:02:17.580,00:02:18.440
"So if we call this vector a,
this is vector b, this is",00:02:18.440,00:02:23.760
"vector c, and then this is
vector d right here, so",00:02:23.760,00:02:28.750
"rectangle specified
by connecting the",00:02:28.750,00:02:31.090
"points a, b, c and d.",00:02:31.090,00:02:38.590
