text,start,stop
"In the last video, we evaluated
this 4 by 4",00:00:00.550,00:00:03.920
"determinant and we found out
that it was equal to 7.",00:00:03.920,00:00:07.400
"And the way we did it is we
went down this first row.",00:00:07.400,00:00:10.230
"We used the definition I gave
you in the last few where use",00:00:10.230,00:00:12.870
this first row.,00:00:12.870,00:00:13.980
I could even write it here.,00:00:13.980,00:00:15.000
"We said this is equal
to 1 times the",00:00:15.000,00:00:17.890
"determinant of 0, 2, 0.",00:00:17.890,00:00:20.660
"1, 2, 3.",00:00:20.660,00:00:22.520
"3, 0, 0.",00:00:22.520,00:00:24.440
Minus 2 times the determinant.,00:00:24.440,00:00:26.950
You cross these guys.,00:00:26.950,00:00:28.440
Cross that row and column out.,00:00:28.440,00:00:29.980
"1, 0, 2.",00:00:29.980,00:00:31.310
"1, 0, 2.",00:00:31.310,00:00:32.970
"2, 2, 0.",00:00:32.970,00:00:34.750
"0, 3, 0.",00:00:34.750,00:00:36.770
"And then we went to the plus
the 3 times its sub matrix.",00:00:36.770,00:00:40.180
"I don't have to figure
that out.",00:00:40.180,00:00:41.240
"Just cross out that row
and that column.",00:00:41.240,00:00:43.150
"And then minus 4-- just keep
switching the sign-- times the",00:00:43.150,00:00:47.950
determinant of its sub matrix.,00:00:47.950,00:00:49.570
"So this one had a bunch of
terms. And this one's going to",00:00:49.570,00:00:51.410
"have a bunch of terms. Cross
that row and that column out.",00:00:51.410,00:00:53.710
"You get 1, 0, 2.",00:00:53.710,00:00:54.710
"0, 1, 2.",00:00:54.710,00:00:55.930
"2, 3, 0.",00:00:55.930,00:00:57.000
I'll just write it here.,00:00:57.000,00:00:57.710
"1, 0, 2.",00:00:57.710,00:00:59.600
"0, 1, 2.",00:00:59.600,00:01:01.130
"2, 3, 0.",00:01:01.130,00:01:02.770
"And that is a completely
legitimate way to figure out a",00:01:02.770,00:01:05.610
determinant.,00:01:05.610,00:01:06.110
"And that was our definition for
how to find a determinant.",00:01:06.110,00:01:08.600
"But I want to show you in this
video that there's more than",00:01:08.600,00:01:10.890
"one way to solve for
determinant.",00:01:10.890,00:01:12.970
"What I'm going to show you this
way is the same thing",00:01:12.970,00:01:14.550
"that we did down
this first row.",00:01:14.550,00:01:16.560
"We can actually do down any
row or any column of this",00:01:16.560,00:01:20.000
"determinant, or of
this matrix.",00:01:20.000,00:01:22.610
"And the reason why that's useful
is because we can pick",00:01:22.610,00:01:25.010
"rows or columns that
have a unusually",00:01:25.010,00:01:28.040
large number of zeros.,00:01:28.040,00:01:29.490
"Because that tends to simplify
our computations.",00:01:29.490,00:01:32.350
"So the first thing that you have
to do before you embark",00:01:32.350,00:01:35.100
"on picking an arbitrary row or
a column, let's say, for",00:01:35.100,00:01:38.070
"example, we want to pick this.",00:01:38.070,00:01:40.320
"Let's do one row and one
column in this example.",00:01:40.320,00:01:42.390
"So let's say we want to go down
that row instead because",00:01:42.390,00:01:44.580
"we like the fact that has
a lot of zeros there.",00:01:44.580,00:01:47.150
"The first thing you have to do
is remember the pattern.",00:01:47.150,00:01:49.620
"Remember, you switch signs
on the coefficients.",00:01:49.620,00:01:52.210
"You don't just switch signs
as you go down a row.",00:01:52.210,00:01:54.350
"You also switch signs as
you go down a column.",00:01:54.350,00:01:56.930
"So the general pattern for 4
by 4 will look like this.",00:01:56.930,00:02:00.710
"It'll be plus, minus,
plus, minus, minus,",00:02:00.710,00:02:05.450
"plus, minus, plus.",00:02:05.450,00:02:08.380
"And then you get a plus, minus,
minus, plus, plus,",00:02:08.380,00:02:12.090
"minus, minus, plus.",00:02:12.090,00:02:13.950
"It's really this checker
board pattern.",00:02:13.950,00:02:15.870
"If you wanted to figure out
the sign for any ij.",00:02:15.870,00:02:20.200
"So let's say you wanted
to figure out the sign",00:02:20.200,00:02:22.020
"for, this is 2, 2.",00:02:22.020,00:02:24.170
"So if you want to find
the sign-- let me",00:02:24.170,00:02:27.360
write it this way.,00:02:27.360,00:02:28.370
"Say we have a function, let
me define a function.",00:02:28.370,00:02:31.670
"I think the checker board
pattern's pretty clear to you,",00:02:31.670,00:02:33.570
but I'll just write it down.,00:02:33.570,00:02:34.470
"Let's say I wanted to figure
out the sign-- the sign not",00:02:34.470,00:02:38.760
the trig ratio.,00:02:38.760,00:02:42.280
"I want to figure out the sign of
any entry where you give me",00:02:42.280,00:02:46.820
an i and a j.,00:02:46.820,00:02:48.440
"What you could do is you
just take negative 1 to",00:02:48.440,00:02:50.620
the i plus j power.,00:02:50.620,00:02:53.070
"So if you wanted to figure out
the sign for the, let's say,",00:02:53.070,00:02:57.190
"you are in row 4, column 2.",00:02:57.190,00:03:01.720
"Row 4, column 2.",00:03:01.720,00:03:04.040
So what will it be?,00:03:04.040,00:03:04.890
Do 4 plus 2.,00:03:04.890,00:03:07.550
"Negative 1 to the sixth
power is equal to 1.",00:03:07.550,00:03:09.990
"That's going to be
a positive 1.",00:03:09.990,00:03:12.850
"Let's say you want
to take this guy.",00:03:16.650,00:03:17.840
So this is i is equal to 2.,00:03:17.840,00:03:22.860
j is equal to 3.,00:03:22.860,00:03:24.350
"We're in the second
row, third column.",00:03:24.350,00:03:26.580
2 plus 3 is 5.,00:03:26.580,00:03:28.150
"Minus 1 to the fifth
power is minus 1.",00:03:28.150,00:03:31.160
And you have a minus there.,00:03:31.160,00:03:32.280
"So that's another way
to think about it.",00:03:32.280,00:03:34.290
"But the checker board
pattern's pretty",00:03:34.290,00:03:35.640
straightforward.,00:03:35.640,00:03:36.650
"So now that you have the checker
board pattern in your",00:03:36.650,00:03:38.530
"mind, let's go down this row.",00:03:38.530,00:03:40.860
Let's go down this row.,00:03:40.860,00:03:42.770
So we start with the 2.,00:03:42.770,00:03:44.260
"But notice that we have
to multiply by minus.",00:03:44.260,00:03:46.630
"Because we go plus, minus,
plus, minus.",00:03:46.630,00:03:50.090
So you have a minus 2 times the,00:03:50.090,00:03:52.610
determinant of its sub matrix.,00:03:52.610,00:03:54.480
"So you cross out this
row and that column.",00:03:54.480,00:03:56.350
"And you're left with this
matrix up here.",00:03:56.350,00:03:58.530
"So it's 2, 3, 4.",00:03:58.530,00:04:01.490
"0, 2, 0.",00:04:01.490,00:04:04.050
"1, 2, 3.",00:04:04.050,00:04:07.650
"This is a minus and then
you have a plus.",00:04:07.650,00:04:09.960
"So you have a plus 3 times--
get rid of this",00:04:09.960,00:04:13.880
guy's column and row.,00:04:13.880,00:04:15.370
"And you have 1, 1, 0.",00:04:15.370,00:04:16.750
"1, 1, 0.",00:04:16.750,00:04:18.190
That's that right there.,00:04:18.190,00:04:19.360
"3, 2, 2.",00:04:19.360,00:04:20.970
"3, 2, 2.",00:04:20.970,00:04:22.850
"And you have 4, 0, 3.",00:04:22.850,00:04:24.940
