text,start,stop
"We've seen in several videos
that the column space of a",00:00:00.450,00:00:06.640
"matrix is pretty straightforward
to find.",00:00:06.640,00:00:08.410
"In this situation the column
space of A is just equal to",00:00:08.410,00:00:12.380
"all of the linear combinations
of the column vectors of A.",00:00:12.380,00:00:16.170
"Another way of saying all of
the linear combinations is",00:00:16.170,00:00:18.690
"just the span of each of
these column vectors.",00:00:18.690,00:00:22.430
"So if we call this one
right here a1.",00:00:22.430,00:00:25.930
"This is a2, a3, a4.",00:00:25.930,00:00:29.050
This is a5.,00:00:29.050,00:00:31.620
"Then the column space of A is
just equal to the span of a1,",00:00:31.620,00:00:37.200
"a2, a3, a4, and a5.",00:00:37.200,00:00:43.430
Fair enough.,00:00:43.430,00:00:44.560
"But a more interesting question
is whether these guys",00:00:44.560,00:00:47.260
"form a basis for the
column space.",00:00:47.260,00:00:50.300
"Or even more interesting, what
is the basis for the column",00:00:50.300,00:00:53.680
space of A?,00:00:53.680,00:00:54.450
"And in this video I'm going
to show you a method for",00:00:54.450,00:00:56.080
"determining the basis, and along
the way we'll get an",00:00:56.080,00:00:58.620
"intuition for maybe
why it works.",00:00:58.620,00:01:00.130
"And if I have time, actually I
probably won't have time in",00:01:00.130,00:01:02.540
this video.,00:01:02.540,00:01:02.580
"In the next video I'll prove
to you why it works.",00:01:02.580,00:01:04.980
"So we want to figure out
the basis for the",00:01:08.780,00:01:14.280
column space of A.,00:01:14.280,00:01:15.960
"Remember the basis just means
that vectors span, C, A.",00:01:15.960,00:01:24.150
"Clearly these vectors span
our column space.",00:01:24.150,00:01:26.730
"I mean the span of these vectors
is the column space.",00:01:26.730,00:01:29.150
"But in order to be a basis, the
vectors also have to be",00:01:29.150,00:01:31.420
"linearly, let me just write,
linearly independent.",00:01:31.420,00:01:35.590
"And we don't know whether these
guys or what subset of",00:01:35.590,00:01:39.120
"these guys are linearly
independent.",00:01:39.120,00:01:42.990
"So what you do-- and I'm just
really going to describe the",00:01:42.990,00:01:45.050
"process here, as opposed to the
proof-- is you put this",00:01:45.050,00:01:47.930
"guy in reduced row
echelon form.",00:01:47.930,00:01:49.790
So let's do that.,00:01:49.790,00:01:51.310
"So let me see if
we can do that.",00:01:51.310,00:01:54.600
"Let's keep our first
row the same.",00:01:54.600,00:01:58.610
"1, 0.",00:01:58.610,00:02:00.670
"Let me do it actually in the
right side right here.",00:02:00.670,00:02:02.840
"So let's keep the first
row the same.",00:02:02.840,00:02:04.250
"1, 0, minus 1, 0, 4.",00:02:04.250,00:02:07.490
"And then let's replace our
second row with the second row",00:02:07.490,00:02:12.240
minus 2 times the first row.,00:02:12.240,00:02:16.260
So then our second row.,00:02:16.260,00:02:17.825
2 minus 2 times 1 is 0.,00:02:17.825,00:02:21.100
1 minus 2 times 0 is 1.,00:02:21.100,00:02:24.530
"0 minus 2 times negative
1, so that's 0 plus 2.",00:02:24.530,00:02:31.350
0 minus 2 times 0 is just 0.,00:02:31.350,00:02:34.800
"And then 9 minus
2 times 4 is 1.",00:02:34.800,00:02:38.570
Fair enough.,00:02:38.570,00:02:39.620
"Now we want to zero
out this guy.",00:02:39.620,00:02:41.770
"Well it seems like a pretty
straightforward way.",00:02:41.770,00:02:43.400
"Just replace this row with this
row plus the first row.",00:02:43.400,00:02:46.590
So minus 1 plus 1 is 0.,00:02:46.590,00:02:50.920
2 plus 0 is 2.,00:02:50.920,00:02:53.420
5 minus 1 is 4.,00:02:53.420,00:02:57.000
1 plus 0 is 1.,00:02:57.000,00:03:00.730
Minus 5 plus 4 is minus 1.,00:03:00.730,00:03:05.290
"And then finally we got this guy
right here, and in order",00:03:05.290,00:03:09.330
"to zero him out, let's
replace him with him",00:03:09.330,00:03:11.910
minus the first row.,00:03:11.910,00:03:14.210
So 1 minus 1 is 0.,00:03:14.210,00:03:18.120
Minus 1 minus 0 is minus 1.,00:03:18.120,00:03:21.750
"Minus 3 minus negative 1, that's
minus 3 plus 1, so",00:03:21.750,00:03:25.690
that's minus 2.,00:03:25.690,00:03:27.540
Minus 2 minus 0 is minus 2.,00:03:27.540,00:03:31.900
And then 9 minus 4 is 5.,00:03:31.900,00:03:35.360
So we did one round.,00:03:35.360,00:03:37.360
"We got our first pivot
column going.",00:03:37.360,00:03:41.600
"Now let's do another round
of row operations.",00:03:41.600,00:03:45.420
"Well we want to zero all
of these guys out.",00:03:45.420,00:03:47.090
Luckily this is already 0.,00:03:47.090,00:03:48.930
"So we don't have to change our
first row or our second row.",00:03:48.930,00:03:51.100
"So we get 1, 0, minus 1, 0, 4.",00:03:51.100,00:03:55.490
"Our second row becomes
0, 1, 2, 0, 1.",00:03:55.490,00:04:01.980
"And now let us see if we can
eliminate this guy right here.",00:04:01.980,00:04:05.880
"And let's do it by replacing our
blue row, our third row,",00:04:05.880,00:04:09.580
