text,start,stop
"In our previous lesson, we saw what
prefix and postfix expressions",00:00:00.450,00:00:03.860
"are but we did not discuss how we can
evaluate these expressions.",00:00:03.860,00:00:07.669
"In this lesson we'll see how we can
evaluate prefix and postfix expressions.",00:00:07.669,00:00:12.009
"Algorithms to evaluate prefix and
postfix expressions are similar",00:00:12.009,00:00:16.209
"but I'm going to talk about postfix
evaluation first",00:00:16.209,00:00:19.470
"because its easier to understand and
implement",00:00:19.470,00:00:22.500
"and then I'll talk about evaluation of
prefix. Okay so let's get started.",00:00:22.500,00:00:26.920
"I have written an expression in infix form
here and I first want to convert this to ",00:00:26.920,00:00:30.949
postfix form.,00:00:30.949,00:00:32.619
"As we know in infix form  operator is
written in between operands",00:00:32.619,00:00:37.050
"and we want to convert to postfix in
which operator is written after operands.",00:00:37.050,00:00:41.840
"We have already seen how we can do
this in our previous lesson.",00:00:41.840,00:00:44.950
We need to go step by step just the way we would go in ,00:00:44.950,00:00:48.610
"evaluation of infix. We need to go in
order of precedence",00:00:48.610,00:00:52.690
and in each step we need to identify,00:00:52.690,00:00:55.899
"operands of an operator and we need to
bring the operator",00:00:55.899,00:00:59.329
"in front of the operands. What we can
actually do is we can first",00:00:59.329,00:01:02.879
"resolve operator precedence and put
parenthesis",00:01:02.879,00:01:06.220
"at appropriate places. In this expression
we will first",00:01:06.220,00:01:09.689
"do this multiplication this first
multiplication then we'll do this second",00:01:09.689,00:01:13.979
multiplication,00:01:13.979,00:01:14.850
"then we will perform this addition and
finally",00:01:14.850,00:01:18.909
"the subtraction. Okay now we will go one
operator at a time,",00:01:18.909,00:01:22.409
"operands for this multiplication
operator are 'A' and 'B'.",00:01:22.409,00:01:25.930
So this A*B will become AB*.,00:01:25.930,00:01:30.840
"Now next we would need to look at this
multiplication this will transform",00:01:30.840,00:01:36.090
to cd*,00:01:36.090,00:01:36.820
and now we can do the change for this addition,00:01:36.820,00:01:40.540
the two operands are these two expressions,00:01:40.540,00:01:44.250
"in postfix, so I'm placing the plus
operator after these two",00:01:44.250,00:01:48.360
expressions. Finally for this last operator,00:01:48.360,00:01:51.890
"the operands are this complex expression
and this variable 'e'.",00:01:51.890,00:01:55.439
So this is how we will look like,00:01:55.439,00:01:58.490
"after the transformation. Finally when we 
are done with all the operators we can get rid of",00:01:58.490,00:02:03.409
all the paranthesis.,00:02:03.409,00:02:04.530
They're not needed in postfix expression.,00:02:04.530,00:02:09.090
"This is how you can do the conversion
manualy. We will discuss efficient ways",00:02:09.090,00:02:12.700
of doing this,00:02:12.700,00:02:13.620
programitically in later lessons. We will discuss algorithms to  ,00:02:13.620,00:02:17.599
convert infix to prefix or postfix,00:02:17.599,00:02:20.000
"in later lessons. In this lesson we're
only going to look at",00:02:20.000,00:02:23.510
"algorithms to evaluate prefix and
postfix expressions.",00:02:23.510,00:02:27.220
"Okay so we have this postfix
expression here",00:02:27.220,00:02:30.989
"and we want to evaluate this expression,
let's say for these values of variables",00:02:30.989,00:02:36.180
"a,b,c,d and e. So we have this expression in
terms of values to evaluate.",00:02:36.180,00:02:41.580
"I'll first quickly tell you how you can
evaluate a postfix expression manually.",00:02:41.580,00:02:46.610
"What you need to do is you need to scan
the expression from left to right",00:02:46.610,00:02:50.920
"and find the first occurrence of an
operator like here,",00:02:50.920,00:02:54.640
"multiplication is the first operator.
In postfix expression",00:02:54.640,00:02:58.620
"operands of an operator will always
lie to its left.",00:02:58.620,00:03:01.950
"For the first operator, the preceding two
entities will always be operands.",00:03:01.950,00:03:06.810
"You need to look for the first
occurrence of this pattern",00:03:06.810,00:03:09.970
"operand, operand, operator in the expression 
and now you can apply the operator on",00:03:09.970,00:03:14.600
these two operands,00:03:14.600,00:03:15.709
"and reduced expression. So this is
what I'm getting after evaluating",00:03:15.709,00:03:20.340
"23*. Now we need to repeat this
process till we are done with",00:03:20.340,00:03:24.130
"all the operators. Once again we need to
scan the expression from left to right",00:03:24.130,00:03:28.690
and,00:03:28.690,00:03:29.170
"look for the first operator, if the
expression is correct it will be",00:03:29.170,00:03:32.840
preceeded by two values.,00:03:32.840,00:03:34.350
