text,start,stop
"In the last video I introduced
you to the idea of the chain",00:00:00.710,00:00:04.470
rule with partial derivatives.,00:00:04.470,00:00:05.520
"And we said, well, if I have a
function, psi, Greek letter,",00:00:05.520,00:00:10.080
"psi, it's a function
of x and y.",00:00:10.080,00:00:14.020
"And if I wanted to take the
partial of this, with respect",00:00:14.020,00:00:16.770
"to-- no, I want to take the
derivative, not the partial--",00:00:16.770,00:00:19.360
"the derivative of this, with
respect to x, this is equal to",00:00:19.360,00:00:23.430
"the partial of psi, with respect
to x, plus the partial",00:00:23.430,00:00:29.540
"of psi, with respect
to y, times dy, dx.",00:00:29.540,00:00:35.400
"And in the last video I didn't
prove it to you, but I",00:00:35.400,00:00:37.630
"hopefully gave you a little bit
of intuition that you can",00:00:37.630,00:00:40.260
believe me.,00:00:40.260,00:00:40.740
"But maybe one day I'll prove
it a little bit more",00:00:40.740,00:00:43.030
"rigorously, but you can find
proofs on the web if you are",00:00:43.030,00:00:46.120
"interested, for the chain rule
with partial derivatives.",00:00:46.120,00:00:49.960
"So let's put that aside and
let's explore another property",00:00:49.960,00:00:52.760
"of partial derivatives, and then
we're ready to get the",00:00:52.760,00:00:55.600
"intuition behind exact
equations.",00:00:55.600,00:00:57.080
"Because you're going to find,
it's fairly straightforward to",00:00:57.080,00:00:59.070
"solve exact equations, but the
intuition is a little bit",00:00:59.070,00:01:02.210
"more-- well, I don't want to say
it's difficult, because if",00:01:02.210,00:01:05.140
"you have the intuition,
you have it.",00:01:05.140,00:01:06.890
"So what if I had, say, this
function, psi, and I were to",00:01:06.890,00:01:11.490
"take the partial derivative of
psi, with respect to x, first.",00:01:11.490,00:01:16.580
I'll just write psi.,00:01:16.580,00:01:17.510
"I don't have to write
x and y every time.",00:01:17.510,00:01:19.640
"And then I were to take the
partial derivative with",00:01:19.640,00:01:22.890
respect to y.,00:01:22.890,00:01:25.485
"So just as a notation, this you
could write as, you could",00:01:28.920,00:01:32.730
"kind of view it as you're
multiplying the operators, so",00:01:32.730,00:01:34.620
it could be written like this.,00:01:34.620,00:01:36.050
"The partial del squared times
psi, or del squared psi, over",00:01:36.050,00:01:42.400
"del y del, or curly d x.",00:01:42.400,00:01:47.540
"And that can also be written
as-- and this is my preferred",00:01:47.540,00:01:50.330
"notation, because it doesn't
have all this extra junk",00:01:50.330,00:01:53.040
everywhere.,00:01:53.040,00:01:53.800
"You could just say, well, the
partial, we took the partial,",00:01:53.800,00:01:56.350
"with respect to x, first. So
this just means the partial of",00:01:56.350,00:02:00.050
"psi, with respect to x.",00:02:00.050,00:02:01.240
"And then we took the partial,
with respect to y.",00:02:01.240,00:02:04.060
"So that's one situation
to consider.",00:02:04.060,00:02:05.870
"What happens when we take the
partial, with respect to x,",00:02:05.870,00:02:07.970
and then y?,00:02:07.970,00:02:08.650
"So with respect to x, you hold
y constant to get just the",00:02:08.650,00:02:13.100
"partial, with respect to x.",00:02:13.100,00:02:14.190
Ignore the y there.,00:02:14.190,00:02:15.000
"And then you hold the x
constant, and you take the",00:02:15.000,00:02:17.060
"partial, with respect to y.",00:02:17.060,00:02:18.670
"So what's the difference between
that and if we were to",00:02:18.670,00:02:21.480
switch the order?,00:02:21.480,00:02:22.370
"So what happens if we were to--
I'll do it in a different",00:02:22.370,00:02:24.970
"color-- if we had psi, and we
were to take the partial, with",00:02:24.970,00:02:30.400
"respect to y, first, and then
we were to take the partial,",00:02:30.400,00:02:34.480
with respect to x?,00:02:34.480,00:02:36.510
"So just the notation, just so
you're comfortable with it,",00:02:36.510,00:02:40.640
"that would be-- so partial
x, partial y.",00:02:40.640,00:02:44.660
And this is the operator.,00:02:44.660,00:02:46.360
"And it might be a little
confusing that here, between",00:02:46.360,00:02:48.750
"these two notations, even though
they're the same thing,",00:02:48.750,00:02:51.060
the order is mixed.,00:02:51.060,00:02:52.740
"That's just because it's
just a different way of",00:02:52.740,00:02:54.250
thinking about it.,00:02:54.250,00:02:54.910
"This says, OK, partial first,
with respect to x, then y.",00:02:54.910,00:02:57.990
"This views it more as the
operator, so we took the",00:02:57.990,00:03:00.160
"partial of x first, and then
we took y, like you're",00:03:00.160,00:03:03.000
multiplying the operators.,00:03:03.000,00:03:04.950
"But anyway, so this can also be
written as the partial of",00:03:04.950,00:03:08.840
"y, with respect to x-- sorry,
the partial of y, and then we",00:03:08.840,00:03:13.070
"took the partial of that
with respect to x.",00:03:13.070,00:03:14.910
"Now, I'm going to tell you right
now, that if each of the",00:03:14.910,00:03:17.980
"first partials are continuous--
and most of the",00:03:17.980,00:03:20.840
"functions we've dealt with in
a normal domain, as long as",00:03:20.840,00:03:24.510
"there aren't any
discontinuities, or holes, or",00:03:24.510,00:03:26.780
"something strange in the
function definition, they",00:03:26.780,00:03:29.070
usually are continuous.,00:03:29.070,00:03:30.290
"And especially in a first-year
calculus or differential",00:03:30.290,00:03:32.990
"course, we're probably going to
be dealing with continuous",00:03:32.990,00:03:35.810
functions in soon. our domain.,00:03:35.810,00:03:37.620
"If both of these functions are
continuous, if both of the",00:03:37.620,00:03:40.480
"first partials are continuous,
then these two are going to be",00:03:40.480,00:03:45.410
equal to each other.,00:03:45.410,00:03:47.170
"So psi of xy is going to
be equal to psi of yx.",00:03:47.170,00:03:54.950
"Now, we can use this knowledge,
which is the chain",00:03:54.950,00:04:01.220
"rule using partial derivatives,
and this",00:04:01.220,00:04:04.870
"knowledge to now solve a certain
class of differential",00:04:04.870,00:04:09.060
"equations, first order
differential equations, called",00:04:09.060,00:04:13.060
exact equations.,00:04:13.060,00:04:14.270
"And what does an exact
equation look like?",00:04:14.270,00:04:17.860
