text,start,stop
Hello everyone ! In our previous lessons,00:00:00.580,00:00:03.169
"we introduced you to graphs and we also
looked at and talked about some of the",00:00:03.169,00:00:07.620
properties of graph,00:00:07.620,00:00:08.919
"but so far we have not discussed how the
can implement graph,",00:00:08.919,00:00:12.570
"how they can create a logical structure
like graph of in computer's memory,",00:00:12.570,00:00:17.060
"So, let us try to discuss this. A graph as
we know",00:00:17.060,00:00:21.640
"contains a set of vertices and a
set of",00:00:21.640,00:00:25.070
edges and this is how we define graph in,00:00:25.070,00:00:28.120
pure mathematical terms. A graph G,00:00:28.120,00:00:31.140
is defined as an ordered pair of set,00:00:31.140,00:00:34.519
V of vertices and a set E of,00:00:34.519,00:00:37.749
"edges. Now to create and store a graph in
computer's",00:00:37.749,00:00:41.749
"memory, the simplest thing that we
probably can do",00:00:41.749,00:00:45.579
"is that we can create two list, one",00:00:45.579,00:00:49.309
"to store all the vertices and
another to store all the",00:00:49.309,00:00:53.339
"edges. For a list, we can use an array",00:00:53.339,00:00:56.550
"of appropriate size or we can use an
implementation of",00:00:56.550,00:01:00.569
"a dynamic list. In-fact we can use a
dynamic list",00:01:00.569,00:01:04.600
"available to us in language libraries,
something like",00:01:04.600,00:01:08.040
"vector in C++ or ArrayList
in Java.",00:01:08.040,00:01:11.820
Now a vertex is identified by,00:01:11.820,00:01:14.939
"its name, so the first list the list of
vertices",00:01:14.939,00:01:18.700
"would simply be a list of names or
strings.",00:01:18.700,00:01:22.490
I just filled in names of all the vertices,00:01:22.490,00:01:25.600
"for this example graph here. Now what
should we fill",00:01:25.600,00:01:28.930
in this edge list here. An edge,00:01:28.930,00:01:32.229
"is identified by it's two endpoints, so
what we can do is we can create",00:01:32.229,00:01:38.130
an edge as an object with two fields.,00:01:38.130,00:01:41.270
We can definde edge as a structure,00:01:41.270,00:01:44.880
or class with two fields. One to store,00:01:44.880,00:01:48.219
"the start vertex and another to store the
end vertex.",00:01:48.219,00:01:51.979
"Edge list would basically be an array
or list of this type",00:01:51.979,00:01:57.719
struct edge. In these two definitions of,00:01:57.719,00:02:00.719
"edge that have written here, in the first
one I have used character pointers",00:02:00.719,00:02:05.100
"because in C we typically use
character pointers to store",00:02:05.100,00:02:09.739
or refer to strings.,00:02:09.739,00:02:12.290
"We could use character array also. In C++
or Java",00:02:12.290,00:02:16.269
"where we can create classes, we have
string",00:02:16.269,00:02:19.540
"available to us as a data-type, so we
can use that also.",00:02:19.540,00:02:23.459
"So we can use any of these for the
feilds. We can use character",00:02:23.459,00:02:27.519
"pointer or character array or string
data-type, if it's available",00:02:27.519,00:02:31.769
"depends on how you want to design your
implementation.",00:02:31.769,00:02:35.079
"Now let's fill this edge list here for
this example graph.",00:02:35.079,00:02:39.389
"Each row now here has two boxes. Let's
say the first one is to store",00:02:39.389,00:02:44.049
"the start vertex and the
second one is to store",00:02:44.049,00:02:47.919
"the end vertex. The graph that we have
here is an",00:02:47.919,00:02:51.430
"undirected graph, so any vertex can be
called start vertex",00:02:51.430,00:02:56.290
"and any vertex can be called end
vertex. Order of the vertices is not",00:02:56.290,00:03:01.000
important here.,00:03:01.000,00:03:01.760
"We have nine edges here, one between",00:03:01.760,00:03:04.799
A and B another between,00:03:04.799,00:03:07.889
A and C another between A,00:03:07.889,00:03:11.099
and D and then we have B E,00:03:11.099,00:03:14.409
"and B F, instead of having B F as an
entry we could also have F B",00:03:14.409,00:03:20.280
"but we just need one of them and then
we have C G",00:03:20.280,00:03:24.079
"D H, E H",00:03:24.079,00:03:27.290
and F H. Actually there is one more.,00:03:27.290,00:03:31.540
"We also have G H. We have 10 edges
in total here not 9.",00:03:31.540,00:03:36.229
"Now once again, because this is an
undirected graph,",00:03:36.229,00:03:40.489
"if we are saying that there is a edge
from F to H. ",00:03:40.489,00:03:43.659
We are also saying that there is an edge from,00:03:43.659,00:03:46.939
"H to F. There is no need to have another
entry as",00:03:46.939,00:03:50.879
"H F, we will necessarily be using
extra memory.",00:03:50.879,00:03:54.359
If this was a directed graph F H,00:03:54.359,00:03:57.799
"and H F would have meant two different
connections",00:03:57.799,00:04:01.479
"which is the start vertex which is the
end vertex",00:04:01.479,00:04:04.729
"would have mattered. Maybe in case of
undirected graphs",00:04:04.729,00:04:08.729
"we should name the fields as first
vertex and second vertex and in case of",00:04:08.729,00:04:12.799
directed graphs,00:04:12.799,00:04:13.939
"we should name the fields as start
vertex and end vertex.",00:04:13.939,00:04:17.659
"Now our graphs here could also be a
weighted graph.",00:04:17.659,00:04:21.269
We could have some cost or weight,00:04:21.269,00:04:23.600
"associated with the edges. As we know in
an unweighted graph cost of all the",00:04:23.600,00:04:28.520
connection is,00:04:28.520,00:04:29.410
"equal but in a weighted graph, different
connections",00:04:29.410,00:04:32.870
"would have different weight or different cost.
Now in this example graph here, I have",00:04:32.870,00:04:37.630
associated some,00:04:37.630,00:04:38.950
"weights to these edges. Now how do you
think we should store this data,",00:04:38.950,00:04:42.970
"the weight of edges. Well if the graph
is weighted",00:04:42.970,00:04:46.690
"we can have one more field in the edge
object",00:04:46.690,00:04:49.850
to store the weight. Now an entry in my edge-list has 3 fields.,00:04:49.850,00:04:55.430
"One to store the start vertex, one to store",00:04:55.430,00:04:58.730
"the end vertex and one more to store the weight.
So this is one possible way of storing",00:04:58.730,00:05:04.060
a graph.,00:05:04.060,00:05:04.840
"We can simply create two lists, one to
store the vertices",00:05:04.840,00:05:08.670
"and another to store the edges, but this",00:05:08.670,00:05:12.070
"is not very efficient. For any possible
way of storing and organizing data",00:05:12.070,00:05:17.290
"we must also see its cost and when we
say cost",00:05:17.290,00:05:21.950
"we mean two things - time cost of various
operations",00:05:21.950,00:05:26.460
and the memory usage.,00:05:26.460,00:05:30.430
"Typically we measure the rate of growth
of",00:05:30.430,00:05:33.590
"time taken with size of input or data,",00:05:33.590,00:05:36.770
what the also call time complexity,00:05:36.770,00:05:39.770
and we measure the rate of growth of,00:05:39.770,00:05:43.370
"memory consumed with size of input data,",00:05:43.370,00:05:46.660
"what we also call space complexity. Time
and space complexities",00:05:46.660,00:05:51.430
"are most commonly expressed in terms of
what we call",00:05:51.430,00:05:54.570
"Big-Oh notation. For this lesson, I am
assuming that you already know about",00:05:54.570,00:05:59.190
