text,start,stop
"Let's say I have three position
vectors here in R2.",00:00:00.630,00:00:03.815
"Let me scroll this over
a little bit.",00:00:03.815,00:00:06.180
"Let's say my first position
vector is x0 and it is equal",00:00:06.180,00:00:11.900
"to minus 2, minus 2.",00:00:11.900,00:00:17.140
"So if I were to graph x0 I would
go minus 2, minus 2.",00:00:17.140,00:00:20.400
x0 looks like that.,00:00:20.400,00:00:24.430
"My next position vector I have
is x1 and I'll say that's",00:00:24.430,00:00:29.420
"equal to minus 2, 2.",00:00:29.420,00:00:33.002
"If I were to graph
here, minus 2, 2.",00:00:33.002,00:00:36.130
"That's my next position
vector right there.",00:00:36.130,00:00:39.740
And this is x1.,00:00:39.740,00:00:41.180
"And when I say it's a position
vector, they specify a",00:00:41.180,00:00:43.860
specific coordinate in R2.,00:00:43.860,00:00:46.510
"Let me draw a third one
just for fun, x2.",00:00:46.510,00:00:50.370
"Let's say that that is
equal to 2, minus 2.",00:00:50.370,00:00:58.400
"So if I were to draw this, 2
minus 2, it goes right here.",00:00:58.400,00:01:02.600
"So that vector right
there is x2.",00:01:02.600,00:01:06.860
"Now, what I'm curious
about or, I",00:01:06.860,00:01:09.070
"guess, not curious about.",00:01:09.070,00:01:10.560
"What I want to do here is define
the line segments that",00:01:10.560,00:01:13.570
connect these points.,00:01:13.570,00:01:14.900
"So let's say I have my
first line segment.",00:01:14.900,00:01:17.820
"Let me call it L1, or
let me call it L0.",00:01:17.820,00:01:22.350
"And I want it to be the
line segment that",00:01:22.350,00:01:23.860
connects x0 to x1.,00:01:23.860,00:01:25.350
How can I construct that?,00:01:25.350,00:01:27.560
"So I want to construct this line
segment right here, this",00:01:27.560,00:01:30.650
"little-- let me do it in a
different color actually.",00:01:30.650,00:01:33.240
"Let me do it in orange, L0.",00:01:33.240,00:01:35.390
"So what I want to do is I want
to find the set of all of",00:01:35.390,00:01:38.540
"these values right here, all of
the position vectors that",00:01:38.540,00:01:41.370
"define points on this
line right there.",00:01:41.370,00:01:44.490
"Well we could define it as,
we could start off at x0.",00:01:44.490,00:01:48.890
"We could say that orange line is
x0 plus scaled versions of",00:01:48.890,00:01:55.310
the difference of x1 and x0.,00:01:55.310,00:01:57.580
"If you take x1 minus x0, you get
this vector right there.",00:01:57.580,00:02:00.740
That's x1 minus x0.,00:02:00.740,00:02:04.530
That orange vector.,00:02:04.530,00:02:05.470
"I know I wrote it right there
so it's hard to read.",00:02:05.470,00:02:07.080
"But if you just take x1 minus x0
you get that and that make",00:02:07.080,00:02:09.940
"sense. x0 plus this orange
vector is equal",00:02:09.940,00:02:11.990
to that blue factor.,00:02:11.990,00:02:13.270
"So if you just take different
scaled up versions of this",00:02:13.270,00:02:16.130
"guy, you're going to
end up at different",00:02:16.130,00:02:17.640
points in this direction.,00:02:17.640,00:02:19.810
"We're starting at x0, maybe
I should do that in green.",00:02:19.810,00:02:23.020
"We're starting at x0 and then
we're going to add up scaled",00:02:23.020,00:02:26.340
"up versions of this orange
vector, which is just the",00:02:26.340,00:02:29.540
difference of x1 and x0.,00:02:29.540,00:02:31.550
Let me write that.,00:02:31.550,00:02:32.255
"So scaled up versions
of x1 minus x0.",00:02:32.255,00:02:39.230
"Now, we have to constrict.",00:02:39.230,00:02:40.850
"If we just want to be in this
line segment, we have to",00:02:40.850,00:02:43.220
constrict Rt.,00:02:43.220,00:02:44.200
"If we said t was a member of
real numbers, if it was any",00:02:44.200,00:02:47.300
"real number, then we would
essentially be defining the",00:02:47.300,00:02:49.530
"set of this entire vertical
line going up and down to",00:02:49.530,00:02:53.700
"infinity in the upwards
direction and",00:02:53.700,00:02:56.990
the downwards direction.,00:02:56.990,00:02:57.810
"But we just want to restrict
it to start here",00:02:57.810,00:03:00.210
and then go up here.,00:03:00.210,00:03:01.110
"And it doesn't necessarily have
to have any direction.",00:03:01.110,00:03:04.740
"We could say this is true, our
little line segment here is",00:03:04.740,00:03:07.900
"true, for t-- let me
write it this way.",00:03:07.900,00:03:12.010
"t is greater than
or equal to 0.",00:03:12.010,00:03:15.160
"So when t equals 0, this term
cancels out and we just have",00:03:15.160,00:03:18.410
"this point or this position
right here.",00:03:18.410,00:03:21.140
Let me draw it in green.,00:03:21.140,00:03:23.410
"We just have that
position there.",00:03:23.410,00:03:25.070
"And then t is going to be
less than or equal to 1.",00:03:25.070,00:03:28.140
"What happens when
t is equal to 1?",00:03:28.140,00:03:30.060
"When t is equal to 1, this
becomes x1 minus x0.",00:03:30.060,00:03:33.960
You have an x0 there.,00:03:33.960,00:03:35.030
"This x0 and that x0 cancel out
and you're just at this point",00:03:35.030,00:03:37.980
right there.,00:03:37.980,00:03:38.710
"When t is equal to 1/2, just
to make sure this all make",00:03:38.710,00:03:41.890
"sense to you, what happens?",00:03:41.890,00:03:43.030
"You have x1 minus x0, which is
this orange vector right here.",00:03:43.030,00:03:47.080
"When t is equal to 1/2 you're
essentially scaling that",00:03:47.080,00:03:49.320
"orange vector by half and you
end up right at that point,",00:03:49.320,00:03:52.480
"which is exactly where
you want to be.",00:03:52.480,00:03:53.710
"You want halfway along
that line segment.",00:03:53.710,00:03:55.290
"At t is equal to 0.25, you're
going to be here.",00:03:55.290,00:03:57.810
"t is equal to 0.75, you're
going to be there.",00:03:57.810,00:03:59.670
"So at any value for t being any
real number between 0 and",00:03:59.670,00:04:03.890
"1, you're going to end up at all
of the points along that",00:04:03.890,00:04:06.800
line segment.,00:04:06.800,00:04:07.520
So that's our L0.,00:04:07.520,00:04:10.500
It's just a set of vectors.,00:04:10.500,00:04:13.510
"Now we can do the same exercise
if we wanted to find",00:04:13.510,00:04:16.260
"out the line, the equation
of the line, that goes",00:04:16.260,00:04:19.700
between x1 and x2.,00:04:19.700,00:04:23.860
"If we wanted to find the
equation of that line, we",00:04:23.860,00:04:25.970
could call this L1.,00:04:25.970,00:04:27.220
"And L1 would be equal to x1 plus
t times x2 minus x1 for 0",00:04:30.330,00:04:41.140
"is less than or equal to t is
less than or equal to 1.",00:04:41.140,00:04:43.640
That's L1.,00:04:43.640,00:04:44.740
"And then finally, if we want
to make a triangle out of",00:04:44.740,00:04:47.140
"this, let's define this
line right here.",00:04:47.140,00:04:50.100
Let's define that as L2.,00:04:50.100,00:04:52.320
"L2 would be equal to the set
of all of vectors where you",00:04:52.320,00:04:56.270
start off at x2.,00:04:56.270,00:04:59.530
"Set of all of vectors that are
x2 plus some scaled up sum of",00:04:59.530,00:05:03.860
x0 minus x2.,00:05:03.860,00:05:05.230
"x0 minus x2 is this
vector right here.",00:05:05.230,00:05:07.650
"So x0 minus x2 such that 0 is
less than or equal to t is",00:05:07.650,00:05:16.020
less than or equal to 1.,00:05:16.020,00:05:18.430
"And so if you take the
combination, if you were to",00:05:18.430,00:05:20.900
"define kind of a super set-- I
could have defined my shape",00:05:20.900,00:05:27.620
"as-- let's say it's the union
of all of those guys.",00:05:27.620,00:05:33.070
"Well, let me just write it.",00:05:33.070,00:05:34.310
"L0, L1, and L2.",00:05:34.310,00:05:37.410
"Then you'd have a nice
triangle here.",00:05:37.410,00:05:40.550
"If you take the union of all of
these three sets, you get",00:05:40.550,00:05:44.670
that nice triangle there.,00:05:44.670,00:05:46.080
"Now, what I want to do in this
video, I think this is all a",00:05:46.080,00:05:48.790
bit of review for you.,00:05:48.790,00:05:49.640
"But it's maybe a different way
of looking at things than",00:05:49.640,00:05:51.510
"we've done in the past. Is
I want to understand what",00:05:51.510,00:05:53.550
"happens to this set right here
when I take a transformation,",00:05:53.550,00:05:59.240
"a linear transformation,
of it?",00:05:59.240,00:06:01.580
"So let me define a
transformation.",00:06:01.580,00:06:04.630
"I'll make it a fairly
straightforward",00:06:04.630,00:06:07.100
transformation.,00:06:07.100,00:06:08.690
"Let me define my transformation
of x, of any x,",00:06:08.690,00:06:12.730
"to be equal to the matrix
1 minus 1, 2, 0 times",00:06:12.730,00:06:21.630
whatever vector x.,00:06:21.630,00:06:22.970
"So times x1, x2.",00:06:22.970,00:06:24.960
"And we know that any linear
transformation can actually be",00:06:24.960,00:06:27.680
"written as a matrix
and vice versa.",00:06:27.680,00:06:30.010
"So you might have said, hey,
you know, you're giving an",00:06:30.010,00:06:31.730
"example with the matrix, what
about all those other ways to",00:06:31.730,00:06:33.580
write in your transformation?,00:06:33.580,00:06:34.320
"You can write all of
those as a matrix.",00:06:34.320,00:06:36.580
"So let's translate-- let's try
to figure out what this is",00:06:36.580,00:06:39.580
going to look like.,00:06:39.580,00:06:41.410
"What our triangle is going to
look like when we transform",00:06:41.410,00:06:45.060
every point in it.,00:06:45.060,00:06:48.700
"Let me take the transformation
first. The transformation of",00:06:48.700,00:06:52.650
"L0 is equal to the
transformation of this thing.",00:06:52.650,00:06:59.710
"This is just one of the
particular members.",00:06:59.710,00:07:02.050
"For a particular t,
this is one of the",00:07:02.050,00:07:03.730
particular members of L0.,00:07:03.730,00:07:04.830
"So it's going to be equal to the
transformation of x0 minus",00:07:04.830,00:07:12.900
"the transformation of x1 minus
x0 such that-- sorry.",00:07:12.900,00:07:19.950
Minus t times x1 minus x0.,00:07:19.950,00:07:22.130
"That's a lowercase t, not
the transformation.",00:07:22.130,00:07:24.250
"Such that 0 is less than or
equal to t is less than or",00:07:24.250,00:07:27.590
equal to 1.,00:07:27.590,00:07:28.770
Let me switch colors.,00:07:28.770,00:07:30.280
"This, just by the properties
of linear transformations,",00:07:30.280,00:07:33.720
"this is equal to the
transformation-- let me put",00:07:33.720,00:07:35.920
"the brackets out-- of x0 minus
the transformation of our",00:07:35.920,00:07:41.730
"scalar t times x1 minus x0 for
all t's between 0 and 1.",00:07:41.730,00:07:51.000
"That part is getting a little
redundant to keep saying it.",00:07:51.000,00:07:53.750
"And then, what does
this equal to?",00:07:53.750,00:07:55.540
"If you I take the transformation
of a scaled up",00:07:55.540,00:07:57.420
"vector, that's just
the scaled up",00:07:57.420,00:07:58.710
transformation of that vector.,00:07:58.710,00:07:59.970
"So this is going to be equal
to this part, the",00:07:59.970,00:08:03.290
"transformation of x0 minus t,
our scalar multiple t, times",00:08:03.290,00:08:10.250
"the transformation of the
vector x1 minus x0.",00:08:10.250,00:08:15.200
"And then let me make sure I
get my parentheses right.",00:08:15.200,00:08:17.250
"Such that 0 is less than or
equal to t is less than or",00:08:17.250,00:08:19.730
equal to 1.,00:08:19.730,00:08:20.590
"And then the transformation of
the sum of two vectors is",00:08:20.590,00:08:23.510
"equal to the sum of their
transformations.",00:08:23.510,00:08:25.370
We've all seen this before.,00:08:25.370,00:08:27.070
"So our transformation of our
first line-- this one right",00:08:27.070,00:08:31.370
"here-- L0, is equal to the set
where it's the transformation",00:08:31.370,00:08:37.669
"of x0 minus t times the
transformation of x1 minus the",00:08:37.669,00:08:46.830
transformation of x0.,00:08:46.830,00:08:49.580
"And we've just done our
first line so far.",00:08:49.580,00:08:52.420
I have a parentheses there.,00:08:52.420,00:08:54.070
"For 0 is less than t is less
than or equal to 1.",00:08:54.070,00:08:57.820
"Now this is a pretty neat
result and it's going to",00:08:57.820,00:09:00.010
simplify our lives a lot.,00:09:00.010,00:09:01.950
"The transformation of the line
segment that goes from x0 to",00:09:01.950,00:09:11.220
"x1 ends up just being the line
segment that goes from the",00:09:11.220,00:09:16.420
"transformation of x0 to the
transformation of x1.",00:09:16.420,00:09:20.450
Let me make this clear.,00:09:20.450,00:09:21.170
"What is the transformation
of x0?",00:09:21.170,00:09:22.750
Let's calculate these things.,00:09:22.750,00:09:24.680
"So x0 was minus 2, minus 2.",00:09:24.680,00:09:29.630
"Let me write out the
transformation of x0.",00:09:29.630,00:09:33.030
"So the transformation of x0 is
equal to-- let me write it",00:09:33.030,00:09:38.500
"out, so I don't make any
careless mistakes.",00:09:38.500,00:09:40.130
"1, 2, minus 1, 0 times minus
2 minus, minus 2.",00:09:40.130,00:09:45.920
"And so what would this
be equal to?",00:09:45.920,00:09:47.990
"1 minus 2 minus-- so it's
1 minus 2 plus minus",00:09:47.990,00:09:52.860
1 times minus 2.,00:09:52.860,00:09:53.760
That's going to be plus 2.,00:09:53.760,00:09:54.670
"So it's minus 2 plus a plus
2, so it's equal to 0.",00:09:54.670,00:09:57.910
"And then we have 2 times minus
2, which is minus 4.",00:09:57.910,00:10:02.200
2 times minus 4.,00:10:02.200,00:10:03.280
"And then plus 0 times,
so it's minus 4.",00:10:03.280,00:10:06.000
"So that's the transformation
of x0.",00:10:06.000,00:10:08.345
Let me graph it.,00:10:08.345,00:10:09.940
So it's 0 minus 4.,00:10:09.940,00:10:12.690
So our x0 vector.,00:10:12.690,00:10:15.400
"So this is the transformation
of x0.",00:10:15.400,00:10:18.260
"So the transformation associated
this vector with",00:10:18.260,00:10:23.480
"this vector down here, the one
that goes straight down.",00:10:23.480,00:10:26.300
"Now let me take the
transformation",00:10:26.300,00:10:27.420
of the other guys.,00:10:27.420,00:10:28.930
The transformation of x1.,00:10:28.930,00:10:30.480
I'll just do it right here.,00:10:30.480,00:10:32.110
I'm running out of space.,00:10:32.110,00:10:33.660
"The transformation of x1 is
equal to 1, 2, minus 1, 0",00:10:33.660,00:10:39.420
"times minus 2, 2.",00:10:39.420,00:10:42.685
So what is this equal to?,00:10:46.830,00:10:48.520
"This is equal to 1 times minus
2, plus minus 1 times 2.",00:10:48.520,00:10:53.580
So that's minus 4.,00:10:53.580,00:10:55.460
