text,start,stop
"Hello everyone. In this lesson we're
going to talk about one important and",00:00:00.280,00:00:04.279
"really interesting topic in computer
science where we find application of",00:00:04.279,00:00:08.260
"stack data structure,",00:00:08.260,00:00:09.650
"and this topic is evaluation of arithmetic
and logical expressions.",00:00:09.650,00:00:14.710
"So how do we write an expression. I have
written some simple arithmetic",00:00:14.710,00:00:19.090
expressions here.,00:00:19.090,00:00:20.080
"An expression can have constants,
variables",00:00:20.080,00:00:23.529
and symbols that can be operators or,00:00:23.529,00:00:26.650
"paranthesis and all these components
must be arranged",00:00:26.650,00:00:30.490
"according to a set of rules, according to
up grammer",00:00:30.490,00:00:34.130
"and we should be able to parse and
evaluate expression according to this",00:00:34.130,00:00:38.530
grammer,00:00:38.530,00:00:39.210
"All these expressions that I had written
here have",00:00:39.210,00:00:42.280
"a common structure. We have an operator
in between two operands.",00:00:42.280,00:00:47.110
"Operand by definition is an object or
value on which operation is performed.",00:00:47.110,00:00:52.170
"In this expression 2+3, 2 and 3
are operands",00:00:52.170,00:00:56.390
"and plus is operator, in the next
expression",00:00:56.390,00:00:59.870
"A and B are operands and - is operator,",00:00:59.870,00:01:03.020
"in the third expression this asterisk is
for multiplication operation so",00:01:03.020,00:01:08.270
so this is operator the first operand,00:01:08.270,00:01:11.780
P is a variable and a second operand 2,00:01:11.780,00:01:15.080
"is a constant. This is the most common way
of writing an expression,",00:01:15.080,00:01:19.820
"but this is not the only way. This way of
writing an expression in which we write",00:01:19.820,00:01:24.590
"an operator in between operands is
called",00:01:24.590,00:01:27.909
"infix notation. Operand doesn't always have
to be a constant or variable.",00:01:27.909,00:01:32.280
"Operand can be an expression itself. In
this fourth expression that I have written",00:01:32.280,00:01:37.479
"here,",00:01:37.479,00:01:37.869
"one of the operands of multiplication
operator is an expression",00:01:37.869,00:01:42.140
"itself, another operand is a constant
We can have a further complex expression.",00:01:42.140,00:01:47.189
"In this fifth expression that I have
written here both the operands of",00:01:47.189,00:01:50.600
multiplication operator,00:01:50.600,00:01:52.009
"are expressions. We have three operators
in this expression here,",00:01:52.009,00:01:56.219
for this first plus operator P and Q these,00:01:56.219,00:01:59.790
"variables P and Q are operands, for the
second",00:01:59.790,00:02:04.130
"plus operator we have R and S and for
this multiplication operator",00:02:04.130,00:02:09.580
"the first operand is this expression
P + Q and the second operand",00:02:09.580,00:02:14.420
"this expression R + S. While
evaluating",00:02:14.420,00:02:18.280
"expressions but multiple operators,
operations will have to be performed in",00:02:18.280,00:02:22.709
certain order,00:02:22.709,00:02:23.830
"like in the fourth example we will first
have to perform",00:02:23.830,00:02:26.970
"addition and then only we can perform
multiplication. In this fifth expression",00:02:26.970,00:02:31.959
"first we will have to perform these two
additions and then we can perform the",00:02:31.959,00:02:35.580
multiplication.,00:02:35.580,00:02:36.420
"We will come back to evaluation but if
you can see in all these expressions",00:02:36.420,00:02:40.780
operator is placed in between operands.,00:02:40.780,00:02:43.930
"This is the syntax that we are following.
One thing that I must point out here.",00:02:43.930,00:02:48.840
"Throughout this lesson, we're going to
talk only about binary operators.",00:02:48.840,00:02:52.519
"An operator that require exactly two
operands is called",00:02:52.519,00:02:56.160
"a binary operator. Technically we can
have an operator that may require",00:02:56.160,00:03:00.120
"just one operand or maybe more than two
operands but we're talking only about",00:03:00.120,00:03:04.360
expressions with,00:03:04.360,00:03:05.330
"binary operators. Okay so let's now see
what are the rules we need to apply to",00:03:05.330,00:03:10.180
"evaluate such expressions written in this
syntax that we are calling",00:03:10.180,00:03:14.190
infix notation. For an expression with,00:03:14.190,00:03:17.409
"just one operator there's no problem we
can simply apply that operator.",00:03:17.409,00:03:21.760
