text,start,stop
"In this lesson and in this series of lessons, we will",00:00:00.510,00:00:04.360
"introduce you to the concept of data
structures.",00:00:04.360,00:00:07.870
Data structure is the most fundamental,00:00:07.870,00:00:10.249
"and building block concept in computer
science",00:00:10.249,00:00:13.429
"and good knowledge of data structures is
a must",00:00:13.429,00:00:16.510
to design and develop,00:00:16.510,00:00:18.980
efficient software systems.,00:00:18.980,00:00:21.140
"Ok, so let's get started",00:00:21.140,00:00:23.449
we deal with data all the time,00:00:23.449,00:00:25.589
"and how we store,",00:00:25.589,00:00:27.340
organize and group our data together,00:00:27.340,00:00:30.460
matters.,00:00:30.460,00:00:32.160
Let's pick up some examples from our day to day life,00:00:32.160,00:00:35.310
where organizing data in a particular structure helps us.,00:00:35.310,00:00:38.960
We are able to search a word quickly and efficiently  in a language,00:00:38.960,00:00:43.030
dictionary,00:00:43.030,00:00:44.310
because the,00:00:44.310,00:00:45.690
words in the dictionary are sorted.,00:00:45.690,00:00:48.720
"What if the words in the dictionary
were not sorted?",00:00:48.720,00:00:51.100
It would be impractical and impossible,00:00:51.100,00:00:53.890
"to search for a word among millions of
words.",00:00:53.890,00:00:56.520
"So, dictionary is organized",00:00:56.520,00:00:58.730
as a sorted list of words.,00:00:58.730,00:01:01.260
Let's pick up another example.,00:01:01.260,00:01:04.089
"If we have something like a city map,",00:01:04.089,00:01:06.500
"the data, like position of the landmark
and",00:01:06.500,00:01:09.550
"road network connections, all this data is",00:01:09.550,00:01:12.140
organized in the form of geometries. We,00:01:12.140,00:01:15.190
"show the map data in the form of
these geometries on a two-dimensional plane.",00:01:15.190,00:01:20.580
"So, map data needs to be structured",00:01:20.580,00:01:22.980
"like this so that we have scales and
directions and we are effectively able",00:01:22.980,00:01:26.390
to search for a landmark and,00:01:26.390,00:01:28.159
"and get route from one place to
another",00:01:28.159,00:01:30.700
and i will pick one more example,00:01:30.700,00:01:32.640
for something like,00:01:32.640,00:01:33.559
"uh... daily cash in and cash out
statement",00:01:33.559,00:01:37.130
of a business what we also call,00:01:37.130,00:01:39.240
"a cash book in accounts, it makes
most sense to organize and store the",00:01:39.240,00:01:43.400
data in the form of a tabular schema,00:01:43.400,00:01:45.820
