text,start,stop
"Let's say I had the set of
vectors-- I don't want to do",00:00:00.800,00:00:06.670
it that thick.,00:00:06.670,00:00:08.039
"Let's say one of the vectors is
the vector 2, 3, and then",00:00:08.039,00:00:14.350
"the other vector is
the vector 4, 6.",00:00:14.350,00:00:20.910
"And I just want to answer the
question: what is the span of",00:00:20.910,00:00:24.050
these vectors?,00:00:24.050,00:00:24.685
"And let's assume that these
are position vectors.",00:00:24.685,00:00:26.800
"What are all of the
vectors that these",00:00:26.800,00:00:28.330
two vectors can represent?,00:00:28.330,00:00:30.150
"Well, if you just look at it,
and remember, the span is just",00:00:30.150,00:00:34.000
"all of the vectors that can
be represented by linear",00:00:34.000,00:00:36.150
combinations of these.,00:00:36.150,00:00:37.320
"So it's the set of all the
vectors that if I have some",00:00:37.320,00:00:40.470
"constant times 2 times that
vector plus some other",00:00:40.470,00:00:45.350
"constant times this vector,
it's all the possibilities",00:00:45.350,00:00:49.490
"that I can represent when I just
put a bunch of different",00:00:49.490,00:00:52.970
real numbers for c1 and c2.,00:00:52.970,00:00:55.640
"Now, the first thing you might
realize is that, look, this",00:00:55.640,00:00:58.640
"vector 2, this is just
the same thing as",00:00:58.640,00:01:02.250
2 times this vector.,00:01:02.250,00:01:03.880
"So I could just rewrite
it like this.",00:01:03.880,00:01:06.000
"I could just rewrite it as c1
times the vector 2, 3 plus c2",00:01:06.000,00:01:13.330
"times the vector-- and here,
instead of writing the vector",00:01:13.330,00:01:16.820
"4, 6, I'm going to write 2 times
the vector 2, 3, because",00:01:16.820,00:01:21.720
"this vector is just a multiple
of that vector.",00:01:21.720,00:01:24.310
"So I could write c2 times
2 times 2, 3.",00:01:24.310,00:01:28.330
"I think you see that this is
equivalent to the 4, 6.",00:01:28.330,00:01:32.470
2 times 2 is 4.,00:01:32.470,00:01:33.440
2 times 3 is 6.,00:01:33.440,00:01:35.100
"Well, then we can simplify
this a little bit.",00:01:35.100,00:01:36.850
"We can rewrite this as just c1
plus 2c2, all of that, times",00:01:36.850,00:01:45.320
"2, 3, times our vector 2, 3.",00:01:45.320,00:01:48.610
"And this is just some
arbitrary constant.",00:01:48.610,00:01:50.530
"It's some arbitrary constant
plus 2 times some other",00:01:50.530,00:01:53.290
arbitrary constant.,00:01:53.290,00:01:54.740
"So we can just call this c3
times my vector 2, 3.",00:01:54.740,00:02:00.550
"So in this situation, even
though we started with two",00:02:00.550,00:02:03.110
"vectors, and I said, well, you
know, the span of these two",00:02:03.110,00:02:06.040
"vectors is equal to all of
the vectors that can be",00:02:06.040,00:02:08.419
"constructed with some linear
combination of these, any",00:02:08.419,00:02:12.260
"linear combination of these,
if I just use this",00:02:12.260,00:02:15.180
"substitution right here, can
be reduced to just a scalar",00:02:15.180,00:02:17.890
multiple of my first vector.,00:02:17.890,00:02:19.860
"And I could have gone the
other way around.",00:02:19.860,00:02:21.420
"I could have substituted this
vector as being 1/2 times",00:02:21.420,00:02:23.840
"this, and just made any
combination of scalar multiple",00:02:23.840,00:02:26.460
of the second vector.,00:02:26.460,00:02:27.290
"But the fact is, that instead
of talking about linear",00:02:27.290,00:02:30.910
"combinations of two vectors,
I can reduce this to just a",00:02:30.910,00:02:33.150
"scalar combination
of one vector.",00:02:33.150,00:02:35.840
"And we've seen in R2 a scalar
combination of one vector,",00:02:35.840,00:02:39.130
"especially if they're
position vectors.",00:02:39.130,00:02:40.990
"For example, this vector 2, 3.",00:02:40.990,00:02:42.780
"It's 2, 3.",00:02:42.780,00:02:43.850
It looks like this.,00:02:43.850,00:02:46.440
"All the scalar combinations of
that vector are just going to",00:02:46.440,00:02:49.060
lie along this line.,00:02:49.060,00:02:50.970
"So 2, 3, it's going
to be right there.",00:02:50.970,00:02:53.740
"They're all just going to lie
along that line right there,",00:02:53.740,00:02:56.280
"so along this line going in
both directions forever.",00:02:56.280,00:03:01.480
"And if I take negative
values of 2, 3, I'm",00:03:01.480,00:03:04.000
going to go down here.,00:03:04.000,00:03:05.260
"If I take positive values,
I'm going to go here.",00:03:05.260,00:03:06.695
"If I get really large positive
values, it's",00:03:06.695,00:03:08.100
going to go up here.,00:03:08.100,00:03:09.480
"But I can just represent the
vectors, and when you put them",00:03:09.480,00:03:11.640
"in standard form, their arrows
essentially would",00:03:11.640,00:03:14.190
trace out this line.,00:03:14.190,00:03:16.180
