text,start,stop
"In this lesson, we will",00:00:00.560,00:00:02.190
"introduce you to linked list data
structure",00:00:02.190,00:00:05.580
"In our previous lesson, we tried to
implement a dynamic list using arrays and",00:00:05.580,00:00:11.149
we had some issues there,00:00:11.149,00:00:13.219
"it was not most efficient in terms of
memory usage, in terms of memory",00:00:13.219,00:00:17.009
consumption,00:00:17.009,00:00:18.359
"When we use arrays, we have some
limitations",00:00:18.359,00:00:21.869
"To be able to understand linked list well,",00:00:21.869,00:00:25.109
"we need to understand these
limitations",00:00:25.109,00:00:27.499
so i'm going to tell you a simple story,00:00:27.499,00:00:30.039
to help you understand this,00:00:30.039,00:00:32.310
"let us say this is computer's memory and
each partition here is one byte of memory",00:00:32.310,00:00:37.610
Now as we know,00:00:37.610,00:00:38.870
each byte of memory,00:00:38.870,00:00:40.530
has an address,00:00:40.530,00:00:42.090
"We are showing only a section of the
memory, that's why it is extending towards",00:00:42.090,00:00:46.030
the bottom and the top,00:00:46.030,00:00:47.730
"let's say that address increases from
bottom to top",00:00:47.730,00:00:51.360
"so if this bike is address 200,
the next byte would be address",00:00:51.360,00:00:55.020
201,00:00:55.020,00:00:56.250
and next byte would be address 202 and so on,00:00:56.250,00:00:59.730
what I want to do is,00:00:59.730,00:01:01.110
i want to draw this memory from,00:01:01.110,00:01:03.110
"left to right horizontally instead
of drawing it from bottom to top",00:01:03.110,00:01:07.330
like this,00:01:07.330,00:01:08.689
uh... this looks better,00:01:08.689,00:01:10.480
"let's say this byte here is address
 200 and as we go",00:01:10.480,00:01:14.220
towards the right,00:01:14.220,00:01:15.479
"the address increases, so this is like 201",00:01:15.479,00:01:18.580
"and we go on like 202, 203 and so on",00:01:18.580,00:01:22.640
it doesn't really matter whether we show memory from bottom to top or,00:01:22.640,00:01:26.210
left to right,00:01:26.210,00:01:27.360
"these are just logical ways to look at
the memory",00:01:27.360,00:01:29.900
so coming back to our story,00:01:29.900,00:01:32.040
Memory is a crucial resource,00:01:32.040,00:01:34.299
and all the applications keep asking for it.,00:01:34.299,00:01:37.300
"So, Mr. computer has given this job
of managing the memory",00:01:37.300,00:01:41.200
"to one of his components, to one of his
guys",00:01:41.200,00:01:43.899
who he calls the memory manager,00:01:43.899,00:01:46.210
now this guy keeps track of,00:01:46.210,00:01:48.960
"what part of the memory is free and what
part of the memory is allocated",00:01:48.960,00:01:52.870
"and anyone who needs memory to store
something needs to talk to this guy",00:01:52.870,00:01:58.700
Albert is our programmer,00:01:58.700,00:02:00.320
and he is building an application,00:02:00.320,00:02:02.810
he needs to store some data,00:02:02.810,00:02:04.720
"in the memory, so he needs to talk to the
memory manager",00:02:04.720,00:02:08.299
"He can talk to the memory manager in
 a high level language like C, let us say",00:02:08.299,00:02:11.939
he  is using,00:02:11.939,00:02:13.159
C to talk to the memory manager,00:02:13.159,00:02:15.349
First he wants to store an integer in the memory,00:02:15.349,00:02:18.439
"so he communicates this to memory
manager by declaring",00:02:18.439,00:02:22.249
an integer variable,00:02:22.249,00:02:24.419
something like this,00:02:24.419,00:02:26.059
"the memory manager sees this declaration
and",00:02:26.059,00:02:28.629
he's says that ok,00:02:28.629,00:02:30.229
you need,00:02:30.229,00:02:31.289
to store an integer variable,00:02:31.289,00:02:33.209
so i need to give you four bytes of memory,00:02:33.209,00:02:36.139
"because integer variable is stored in
four bytes",00:02:36.139,00:02:39.400
in a typical architecture.,00:02:39.400,00:02:41.040
"and let us say in this architecture, it is
stored in four bytes",00:02:41.040,00:02:44.949
so the memory manager looks for,00:02:44.949,00:02:46.900
four bites of free space in the memory,00:02:46.900,00:02:50.109
and assigns it or allocates it ,00:02:50.109,00:02:52.300
for valuable x,00:02:52.300,00:02:53.839
"Address of a block of memory is the address 
of the first byte in the memory",00:02:53.839,00:02:58.069
so let us say this first byte of,00:02:58.069,00:03:00.359
memory here is,00:03:00.359,00:03:02.209
"at address 217, so",00:03:02.209,00:03:05.539
variable x is at address,00:03:05.539,00:03:07.569
217,00:03:07.569,00:03:08.939
"so memory manager kind of communicates
it back to Albert that hey I have",00:03:08.939,00:03:12.809
assigned address 217 for your,00:03:12.809,00:03:15.279
variable x,00:03:15.279,00:03:16.549
you can store whatever you want there.,00:03:16.549,00:03:18.839
and Albert can fill-in any data,00:03:18.839,00:03:21.400
into this valuable,00:03:21.400,00:03:23.829
"now albert needs to store a list of integers,
a list of numbers",00:03:23.829,00:03:29.519
"and and he thinks that the maximum number
of",00:03:29.519,00:03:31.669
integers in this list will be 4.,00:03:31.669,00:03:34.949
so he asks the memory manager,00:03:34.949,00:03:37.490
for an integer array of size ,00:03:37.490,00:03:39.599
four names 'A',00:03:39.599,00:03:41.589
"Now, arrays is always stored in memory as one contiguous block of memory. ",00:03:41.589,00:03:46.359
"So memory manager is like ok, i need to look for",00:03:46.359,00:03:49.529
