text,start,stop
"Well, now's as good a time
as any to go over some",00:00:00.680,00:00:03.540
"interesting and very
useful properties",00:00:03.540,00:00:06.670
of the Laplace transform.,00:00:06.670,00:00:07.670
"And the first is to show that
it is a linear operator.",00:00:07.670,00:00:10.620
And what does that mean?,00:00:10.620,00:00:11.230
"Well, let's say I wanted to take
the Laplace transform of",00:00:11.230,00:00:17.840
the sum of the-- we call it the,00:00:17.840,00:00:19.270
weighted sum of two functions.,00:00:19.270,00:00:20.590
"So say some constant, c1, times
my first function, f of",00:00:20.590,00:00:25.222
"t, plus some constant,
c2, times my second",00:00:25.222,00:00:30.600
"function, g of t.",00:00:30.600,00:00:31.850
"Well, by the definition of the
Laplace transform, this would",00:00:34.560,00:00:38.590
"be equal to the improper
integral from 0 to infinity of",00:00:38.590,00:00:45.280
"e to the minus st, times
whatever our function that",00:00:45.280,00:00:51.810
"we're taking the Laplace
transform of, so times c1, f",00:00:51.810,00:00:56.220
"of t, plus c2, g of t-- I think
you know where this is",00:00:56.220,00:01:01.480
going-- all of that dt.,00:01:01.480,00:01:04.410
"And then that is equal to the
integral from 0 to infinity.",00:01:04.410,00:01:09.820
"Let's just distribute
the e the minus st.",00:01:09.820,00:01:12.780
That is equal to what?,00:01:12.780,00:01:15.350
"That is equal to c1e to the
minus st, f of t, plus c2e to",00:01:15.350,00:01:29.955
"the minus st, g of t, and
all of that times dt.",00:01:29.955,00:01:38.560
"And just by the definition
of how the properties of",00:01:38.560,00:01:42.220
"integrals work, we know that we
can split this up into two",00:01:42.220,00:01:44.520
"integrals, right?",00:01:44.520,00:01:45.650
"If the integral of the sum of
two functions is equal to the",00:01:45.650,00:01:49.170
sum of their integrals.,00:01:49.170,00:01:50.580
And these are just constant.,00:01:50.580,00:01:51.860
"So this is going to be equal to
c1 times the integral from",00:01:51.860,00:01:57.190
"0 to infinity of e to the minus
st, times f of t, d of",00:01:57.190,00:02:04.860
"t, plus c2 times the integral
from 0 to infinity of e to the",00:02:04.860,00:02:12.960
"minus st, g of t, dt.",00:02:12.960,00:02:17.840
"And this was just a very
long-winded way of saying,",00:02:17.840,00:02:21.880
what is this?,00:02:21.880,00:02:22.410
"This is the Laplace transform
of f of t.",00:02:22.410,00:02:24.410
"This is the Laplace transform
of g of t.",00:02:24.410,00:02:26.060
