text,start,stop
"I'll now introduce you
to the concept",00:00:00.960,00:00:02.980
of the Laplace Transform.,00:00:02.980,00:00:05.460
"And this is truly one of the
most useful concepts that",00:00:05.460,00:00:09.930
"you'll learn, not just in
differential equations, but",00:00:09.930,00:00:13.840
really in mathematics.,00:00:13.840,00:00:15.100
"And especially if you're going
to go into engineering, you'll",00:00:15.100,00:00:18.050
"find that the Laplace Transform,
besides helping you",00:00:18.050,00:00:20.610
"solve differential equations,
also helps you transform",00:00:20.610,00:00:25.480
"functions or waveforms from
the time domain to this",00:00:25.480,00:00:30.210
"frequency domain, and study
and understand a",00:00:30.210,00:00:33.170
whole set of phenomena.,00:00:33.170,00:00:34.740
"But I won't get into
all of that yet.",00:00:34.740,00:00:36.480
"Now I'll just teach
you what it is.",00:00:36.480,00:00:38.920
Laplace Transform.,00:00:38.920,00:00:40.170
"I'll teach you what it is, make
you comfortable with the",00:00:42.960,00:00:45.100
"mathematics of it and then in
a couple of videos from now,",00:00:45.100,00:00:48.330
"I'll actually show you how it
is useful to use it to solve",00:00:48.330,00:00:52.220
differential equations.,00:00:52.220,00:00:53.180
"We'll actually solve some of the
differential equations we",00:00:53.180,00:00:55.200
"did before, using the
previous methods.",00:00:55.200,00:00:56.800
"But we'll keep doing it, and
we'll solve more and more",00:00:56.800,00:00:59.470
difficult problems.,00:00:59.470,00:01:01.000
"So what is the Laplace
Transform?",00:01:01.000,00:01:02.890
"Well, the Laplace Transform,
the notation is the L like",00:01:02.890,00:01:08.575
"Laverne from Laverne
and Shirley.",00:01:08.575,00:01:12.056
"That might be before many
of your times, but",00:01:12.056,00:01:15.040
I grew up on that.,00:01:15.040,00:01:16.860
"Actually, I think it was even
reruns when I was a kid.",00:01:16.860,00:01:20.690
"So Laplace Transform
of some function.",00:01:20.690,00:01:22.770
"And here, the convention,
instead of saying f of x,",00:01:22.770,00:01:25.170
people say f of t.,00:01:25.170,00:01:26.590
"And the reason is because in
a lot of the differential",00:01:26.590,00:01:30.120
"equations or a lot of
engineering you actually are",00:01:30.120,00:01:32.190
"converting from a function
of time to",00:01:32.190,00:01:34.360
a function of frequency.,00:01:34.360,00:01:35.630
"And don't worry about
that right now.",00:01:35.630,00:01:37.300
If it confuses you.,00:01:37.300,00:01:40.180
"But the Laplace Transform
of a function of t.",00:01:40.180,00:01:43.020
"It transforms that function into
some other function of s.",00:01:43.020,00:01:47.820
and And does it do that?,00:01:47.820,00:01:49.410
"Well actually, let me just do
some mathematical notation",00:01:49.410,00:01:53.150
