text,start,stop
"In the last video, we showed
that the Laplace transform of",00:00:00.680,00:00:05.420
"f prime of t is equal to s times
the Laplace transform of",00:00:05.420,00:00:15.150
our function f minus f of 0.,00:00:15.150,00:00:21.160
"Now, what we're going to do
here is actually use this",00:00:21.160,00:00:23.640
"property that we
showed is true.",00:00:23.640,00:00:25.430
"And use it to fill in some more
of the entries in our",00:00:25.430,00:00:29.630
"Laplace transform table, that
you'll probably have to",00:00:29.630,00:00:33.080
"memorize, sooner or later,
if you use Laplace",00:00:33.080,00:00:35.455
transforms a lot.,00:00:35.455,00:00:37.240
"But we already learned that the
Laplace transform of sine",00:00:37.240,00:00:44.620
"of a t is equal-- and we did
a very hairy integration by",00:00:44.620,00:00:49.520
"parts problems to show that
that is equal to a over s",00:00:49.520,00:00:53.765
squared plus a squared.,00:00:53.765,00:00:58.840
"So let's use these two things we
know to figure out what the",00:00:58.840,00:01:02.500
"Laplace transform of
cosine of a t is.",00:01:02.500,00:01:07.470
"So the Laplace transform
of cosine of a",00:01:07.470,00:01:14.642
t is equal to what?,00:01:14.642,00:01:18.140
"Well, if we assume that the
Laplace transform of cosine of",00:01:18.140,00:01:21.960
"a t is the derivative of some
function, what is it the",00:01:21.960,00:01:26.060
derivative of?,00:01:26.060,00:01:27.170
Right?,00:01:27.170,00:01:27.670
Let me do it on the side.,00:01:27.670,00:01:30.180
"If f prime of t is equal to
cosine of a t, what is a",00:01:30.180,00:01:37.950
potential f of t?,00:01:37.950,00:01:39.200
"Well, it's the antiderivative.",00:01:42.670,00:01:44.020
"And we can just forget about the
constant, because we just",00:01:44.020,00:01:46.240
"have to know nf of t for
which this is true.",00:01:46.240,00:01:49.880
"So what's the antiderivative
cosine of it?",00:01:49.880,00:01:51.720
It's 1/a sine of a t.,00:01:51.720,00:01:59.660
Right?,00:01:59.660,00:02:00.220
"So if this is f prime of t, then
that is equal to s times",00:02:00.220,00:02:09.630
