text,start,stop
"The whole point in learning
differential equations is that",00:00:00.730,00:00:03.540
"eventually we want to model real
physical systems. I know",00:00:03.540,00:00:06.270
"everything we've done so far has
really just been a toolkit",00:00:06.270,00:00:09.330
"of being able to solve them, but
the whole reason is that",00:00:09.330,00:00:12.390
"because differential equations
can describe a lot of systems,",00:00:12.390,00:00:15.410
"and then we can actually
model them that way.",00:00:15.410,00:00:17.320
"And we know that in the real
world, everything isn't these",00:00:17.320,00:00:20.750
"nice continuous functions, so
over the next couple of videos",00:00:20.750,00:00:23.820
"we're going to talk about
functions that are a little",00:00:23.820,00:00:25.890
"bit more discontinuous than what
you might be used to even",00:00:25.890,00:00:28.880
"in kind of a traditional
calculus or traditional",00:00:28.880,00:00:31.460
Precalculus class.,00:00:31.460,00:00:32.880
"And the first one is the
unit step function.",00:00:32.880,00:00:36.910
"Let's write it as u, and
then I'll put a little",00:00:36.910,00:00:39.790
subscript c here of t.,00:00:39.790,00:00:43.290
"And it's defined as when t is--
let me put it this way.",00:00:43.290,00:00:48.110
"It's defined as 0 when t is less
than-- whatever subscript",00:00:48.110,00:00:52.150
"I put here-- when t
is less than c.",00:00:52.150,00:00:55.220
"And it's defined as 1-- that's
why we call it the unit step",00:00:55.220,00:00:58.380
"function-- when t is greater
than or equal to c.",00:00:58.380,00:01:02.900
"And if I had to graph this, and
you could graph it as well",00:01:02.900,00:01:05.700
"but it's not too difficult
to graph.",00:01:05.700,00:01:07.030
"Let me draw my x-axis
right here.",00:01:07.030,00:01:10.622
"And I'll do a little
thicker line.",00:01:10.622,00:01:13.010
That's my x-axis right there.,00:01:13.010,00:01:15.490
This is my y-axis right there.,00:01:15.490,00:01:20.430
"And when we talk about Laplace
transforms, which we'll talk",00:01:22.990,00:01:25.380
"about shortly, we only care
about t is greater than 0.",00:01:25.380,00:01:28.400
"Because we saw, in our
definition of the Laplace",00:01:28.400,00:01:30.090
"transform, we're always taking
the integral from 0 to",00:01:30.090,00:01:32.510
"infinity, so we're
only dealing with",00:01:32.510,00:01:34.360
the positive x-axis.,00:01:34.360,00:01:36.470
"But anyway, by this definition,
it would be zero",00:01:36.470,00:01:39.160
"all the way until you get to
some value c, so you'd be zero",00:01:39.160,00:01:43.970
until you get to c.,00:01:43.970,00:01:45.400
"And then at c, you jump, and the
point c is included x is",00:01:45.400,00:01:49.460
equal to c here.,00:01:49.460,00:01:51.220
"So it's included, so I'll put
a dot there, because it's",00:01:51.220,00:01:53.070
greater than or equal to c.,00:01:53.070,00:01:54.300
"You're at 1, so this
is 1 right here.",00:01:54.300,00:01:57.040
"And then you go forward
for all of time.",00:01:57.040,00:01:59.790
"And you're like, Sal, you just
said that differential",00:01:59.790,00:02:01.960
"equations, we're learning to
model things, why is this type",00:02:01.960,00:02:05.100
of a function useful?,00:02:05.100,00:02:06.760
"Well, in the real world,
sometimes you do have",00:02:06.760,00:02:08.580
"something that essentially jolts
something, that moves it",00:02:08.580,00:02:11.100
"from this position
to that position.",00:02:11.100,00:02:12.790
"And obviously, nothing can move
it immediately like this,",00:02:12.790,00:02:15.450
"but you might have some
system, it could be an",00:02:15.450,00:02:18.650
"electrical system or mechanical
system, where maybe",00:02:18.650,00:02:22.580
"the behavior looks something
like this, where maybe it",00:02:22.580,00:02:25.000
"moves it like that
or something.",00:02:25.000,00:02:26.680
"And this function is a pretty
good analytic approximation",00:02:26.680,00:02:30.090
"for some type of real world
behavior like this when",00:02:30.090,00:02:32.490
something just gets moved.,00:02:32.490,00:02:33.920
"Whenever we solve these
differential equations",00:02:33.920,00:02:36.010
"analytically, we're really
just trying to get a pure",00:02:36.010,00:02:38.540
model of something.,00:02:38.540,00:02:39.730
"Eventually, we'll see that it
doesn't perfectly describe",00:02:39.730,00:02:42.610
"things, but it helps describe
it enough for us to get a",00:02:42.610,00:02:44.730
"sense of what's going
to happen.",00:02:44.730,00:02:47.040
"Sometimes it will completely
describe things, but anyway,",00:02:47.040,00:02:49.820
"we can ignore that for now, so
let me get rid of these things",00:02:49.820,00:02:53.220
right there.,00:02:53.220,00:02:54.030
"So the first question is,
well, you know, what if",00:02:54.030,00:02:56.180
"something doesn't jar
just like that?",00:02:56.180,00:02:58.000
"What if I want to construct more
fancy unit functions or",00:02:58.000,00:03:03.500
more fancy step functions?,00:03:03.500,00:03:05.270
"Let's say I wanted to construct
something that",00:03:05.270,00:03:07.470
looked like this.,00:03:07.470,00:03:09.350
Let me say this is my y-axis.,00:03:09.350,00:03:13.940
This is my x-axis.,00:03:13.940,00:03:16.310
"And let's say I wanted to
construct something that is",00:03:16.310,00:03:18.700
"at-- and let me do it in
a different color.",00:03:18.700,00:03:23.820
"Let's say it's at 2
until I get to pi.",00:03:23.820,00:03:29.935
"And then from pi until forever
it just stays at zero.",00:03:33.450,00:03:40.410
"So how could I construct this
function right here using my",00:03:40.410,00:03:45.290
unit step function?,00:03:45.290,00:03:47.350
"So what if I had written
it as-- so my unit step",00:03:47.350,00:03:51.940
"function's at zero initially, so
what if I make it 2 minus a",00:03:51.940,00:03:57.630
"unit step function that
starts at pi?",00:03:57.630,00:04:04.100
"So if I define my function
here, will this work?",00:04:06.770,00:04:10.710
"Well, this unit step function,
when we pass pi, is only going",00:04:10.710,00:04:13.250
"to be equal to 1, but
we want this thing",00:04:13.250,00:04:14.970
to be equal to zero.,00:04:14.970,00:04:15.900
"So it has to be 2 minus 2, so
I'll have to put at 2 here,",00:04:15.900,00:04:18.820
and this should work.,00:04:18.820,00:04:20.010
"When we're at any value below
pi, when t is less than pi",00:04:20.010,00:04:26.730
"here, this becomes a zero,
so our function will just",00:04:26.730,00:04:29.970
"evaluate to 2, which
is right there.",00:04:29.970,00:04:32.870
"But as soon as we hit t is equal
to pi, that pi is the c",00:04:32.870,00:04:36.490
"in this example, as soon as
we hit that, the unit step",00:04:36.490,00:04:40.050
function becomes 1.,00:04:40.050,00:04:41.150
"We multiply that by 2, and we
have 2 minus 2, and then we",00:04:41.150,00:04:45.120
"end up here with zero,",00:04:45.120,00:04:48.650
"Now, that might be nice and
everything, but let's say you",00:04:48.650,00:04:50.810
wanted for it to go back up.,00:04:50.810,00:04:54.610
"Let's say that instead of it
going like this-- let me kind",00:04:54.610,00:05:03.600
"of erase that by overdrawing the
x-axis again-- we want the",00:05:03.600,00:05:07.180
function to jump up again.,00:05:07.180,00:05:09.510
We want it to jump up again.,00:05:09.510,00:05:10.860
"And lets say at some value,
let's say it's at 2pi, we want",00:05:10.860,00:05:14.150
the function to jump up again.,00:05:14.150,00:05:16.210
How could we construct this?,00:05:16.210,00:05:18.920
"And we could make it jump to
anything, but let's say we",00:05:18.920,00:05:20.630
want it to jump back to 2.,00:05:20.630,00:05:22.410
"Well, we could just add another
unit step function",00:05:22.410,00:05:25.290
"here, something that would have
been zero all along, all",00:05:25.290,00:05:28.810
the way up until this point.,00:05:28.810,00:05:30.270
"But then at 2pi, it jumps,
so in this case,",00:05:30.270,00:05:34.160
our c would be 2pi.,00:05:34.160,00:05:36.475
"That's our unit step function,
and we want it to jump to 2.",00:05:36.475,00:05:38.670
"This would just jump
to 1 by itself.",00:05:38.670,00:05:40.430
So let's multiply it by 2.,00:05:40.430,00:05:42.070
And now we have this function.,00:05:42.070,00:05:43.480
"So you could imagine, you
can make an arbitrarily",00:05:43.480,00:05:45.780
"complicated function of things
jumping up and down to",00:05:45.780,00:05:49.180
"different levels based on
different essentially linear",00:05:49.180,00:05:52.260
"combinations of these
unit step functions.",00:05:52.260,00:05:54.720
"Now, what if I wanted
to do something",00:05:54.720,00:05:56.090
a little bit fancier?,00:05:56.090,00:05:57.030
"What if I wanted to do something
that-- let's say I",00:05:57.030,00:05:59.990
"have some function that
looks like this.",00:05:59.990,00:06:05.420
Let me draw some function.,00:06:05.420,00:06:07.756
"I should draw straighter
than that.",00:06:07.756,00:06:09.340
I should have some standards.,00:06:09.340,00:06:11.950
"So let's say that just
my regular f of t--",00:06:11.950,00:06:16.860
"let me, this is x.",00:06:16.860,00:06:18.740
"Actually, why am I doing x?",00:06:18.740,00:06:20.030
This would be the t-axis.,00:06:20.030,00:06:21.700
We're doing the time domain.,00:06:21.700,00:06:22.940
It could have been x.,00:06:22.940,00:06:24.100
"And then we'll call
this f of t.",00:06:24.100,00:06:26.720
"So let me draw some
arbitrary f of t.",00:06:26.720,00:06:29.590
"Let's say my function looks
something crazy like that.",00:06:29.590,00:06:32.160
So this is my f of t.,00:06:35.100,00:06:37.980
"What if I'm modeling
a physical system",00:06:37.980,00:06:39.680
that doesn't do this?,00:06:39.680,00:06:40.910
