text,start,stop
"Let's say I have an n-by-n
matrix that looks like this.",00:00:00.650,00:00:04.620
"So let me just see if I can
do it in general terms.",00:00:04.620,00:00:07.870
"In the first row and first
column, that entry has a 1,",00:00:07.870,00:00:11.010
"and then everything else, the
rest of the n minus 1 rows in",00:00:11.010,00:00:14.630
"that first column are all
going to be zeroes.",00:00:14.630,00:00:16.465
"So it's going to be zeroes all
the way down to the nth term.",00:00:16.465,00:00:20.990
"And then the second column,
we have a 0 in the first",00:00:20.990,00:00:24.630
"component, but then a 1 in
the second component.",00:00:24.630,00:00:29.060
"And then it goes zeroes
all the way down.",00:00:29.060,00:00:31.440
And you keep doing this.,00:00:31.440,00:00:34.460
"In the third row, or let me say
third column, although it",00:00:34.460,00:00:36.635
"would've applied to the third
row as well, the 1 shows up in",00:00:36.635,00:00:39.060
"the third component, and then
it's zeroes all the way down.",00:00:39.060,00:00:42.950
"Essentially, you have the ones
filling up the diagonal of",00:00:42.950,00:00:46.100
this matrix right here.,00:00:46.100,00:00:47.210
"So if you go all the way to
the nth column or the nth",00:00:47.210,00:00:50.860
"column vector, you have a bunch
of zeroes until you",00:00:50.860,00:00:53.680
"get-- you have n minus 1 zeroes,
and then the very last",00:00:53.680,00:00:56.330
"component, the nth component
there will be a 1.",00:00:56.330,00:00:58.300
"So you have essentially,
a matrix with",00:00:58.300,00:01:01.640
ones down the diagonal.,00:01:01.640,00:01:03.580
"Now, this matrix has a bunch of
neat properties and we'll",00:01:03.580,00:01:05.610
explore it more in the future.,00:01:05.610,00:01:07.070
"But I'm just exposing you to
this because it has one very",00:01:07.070,00:01:10.180
"neat property relative to
linear transformations.",00:01:10.180,00:01:13.410
"But I'm going to call this the
identity matrix and I'll call",00:01:13.410,00:01:15.950
"this I sub n, and I called that
sub n because it's an",00:01:15.950,00:01:19.550
n-by-n identity matrix.,00:01:19.550,00:01:21.690
"I sub 2 would be equal to a
2-by-2 identity matrix, so it",00:01:21.690,00:01:26.690
would look like that.,00:01:26.690,00:01:28.700
"And I sub 3 would look like
this: 1 0 0, 0 1 0, 0 0 1.",00:01:28.700,00:01:36.340
I think you get the point.,00:01:36.340,00:01:37.690
"Now, the neat thing about this
identity matrix becomes",00:01:37.690,00:01:40.390
"evident when you multiply
it times any vector.",00:01:40.390,00:01:44.650
"We can multiply this guy times
the n-component vector, a",00:01:44.650,00:01:48.660
member of Rn.,00:01:48.660,00:01:49.910
So let's do that.,00:01:49.910,00:01:51.430
"So if we multiply this
matrix times-- let's",00:01:51.430,00:01:55.720
call this vector x.,00:01:55.720,00:01:56.840
"This is x1, x2, all the way down
to xn, what is this going",00:01:56.840,00:02:02.460
to be equal to?,00:02:02.460,00:02:04.290
"So this is vector
x right here.",00:02:04.290,00:02:06.130
"So if I multiply matrix I, my
identity matrix, I sub n, and",00:02:06.130,00:02:12.430
"I multiply it times my vector x,
where x is a member of Rn,",00:02:12.430,00:02:17.410
"has n components, what
am I going to get?",00:02:17.410,00:02:20.840
"Well, I'm going to get 1 times
x1 plus 0 times x2 plus 0",00:02:20.840,00:02:25.035
"times x3 plus 0 times
x4, all of that.",00:02:25.035,00:02:26.940
"So essentially, I'm going to
have-- you can kind of view it",00:02:26.940,00:02:28.730
"as this row dotted
with the vector.",00:02:28.730,00:02:31.340
"So the only nonzero term
is going to be",00:02:31.340,00:02:32.980
the 1 times the x1.,00:02:32.980,00:02:34.200
"So it's going to be x1-- sorry,
let me do it like this.",00:02:34.200,00:02:38.330
"So you're going to get another
vector in Rn like that.",00:02:38.330,00:02:45.190
"And so the first term is that
row essentially being dotted",00:02:45.190,00:02:48.350
"with that column, and
so you just get x1.",00:02:48.350,00:02:51.440
"And then the next entry is going
to be this row, or you",00:02:51.440,00:02:57.130
"could view it as the transpose
of this row dotted with that",00:02:57.130,00:02:59.620
"column, so 0 times x1 plus
1 times x2 plus 0 times",00:02:59.620,00:03:04.090
everything else.,00:03:04.090,00:03:04.710
"So the only nonzero term
is the 1 times x2, so",00:03:04.710,00:03:07.380
you get an x2 there.,00:03:07.380,00:03:08.680
"And then you keep doing thatt,
and what are you going to get?",00:03:08.680,00:03:10.660
"You're going to get an x3
because the only nonzero term",00:03:10.660,00:03:13.470
"here is the third one and you're
going to go all the way",00:03:13.470,00:03:15.070
down until you get an xn.,00:03:15.070,00:03:17.370
"But what is this
thing equal to?",00:03:17.370,00:03:18.520
This is just equal to x.,00:03:18.520,00:03:20.690
"So the neat thing about this
identity matrix that we've",00:03:20.690,00:03:24.050
"created is that when you
multiply it times any vector,",00:03:24.050,00:03:26.780
you got the vector again.,00:03:26.780,00:03:27.850
"The identity matrix times any
vector in Rn-- it's only",00:03:27.850,00:03:31.910
"defined for vectors in Rn-- is
equal to that vector again.",00:03:31.910,00:03:37.130
"And actually, the columns of
the identity matrix have a",00:03:37.130,00:03:42.810
"special-- I guess the set of
columns has a special name.",00:03:42.810,00:03:49.240
"So if we call this first column
e1 and this second",00:03:49.240,00:03:55.610
"column e2 and the third column
e3 and we go all the way to",00:03:55.610,00:04:05.050
"en, these vectors, these column
vectors here, the set",00:04:05.050,00:04:08.670
"of these-- so let's say e1, e2,
all the way to en-- this",00:04:08.670,00:04:15.410
"is called the standard
basis for Rn.",00:04:15.410,00:04:24.390
So why is it called that?,00:04:24.390,00:04:25.410
"Well, the word basis is there,
so two things must be true.",00:04:25.410,00:04:29.000
"These things must span Rn and
they must be linearly",00:04:29.000,00:04:32.120
independent.,00:04:32.120,00:04:32.940
"It's pretty obvious from
inspection they're linearly",00:04:32.940,00:04:35.060
independent.,00:04:35.060,00:04:35.530
"If this guy has a 1 here and
no one else has a 1 there,",00:04:35.530,00:04:38.340
"there's no way you can construct
that 1 with some",00:04:38.340,00:04:40.400
"combination of the
rest of the guys.",00:04:40.400,00:04:41.600
"And you can make that same
argument for each of the ones",00:04:41.600,00:04:44.060
in each of the components.,00:04:44.060,00:04:44.805
"So it's clearly linearly
independent.",00:04:44.805,00:04:47.220
"And then to see that you can
span, that you can construct",00:04:47.220,00:04:50.620
"any vector with a linear
combination of these guys, you",00:04:50.620,00:04:55.420
"just really have to-- you know,
whatever vector you want",00:04:55.420,00:04:57.650
"to construct, if you want
to construct x1-- let",00:04:57.650,00:05:00.900
me put it this way.,00:05:00.900,00:05:01.460
"If you want to construct
this vector-- let me",00:05:01.460,00:05:04.380
write it this way.,00:05:04.380,00:05:04.980
Let me pick a different one.,00:05:04.980,00:05:06.480
"Let's say you want to construct
the vector a1, a2,",00:05:06.480,00:05:11.560
a3 all the way down to an.,00:05:11.560,00:05:13.880
"So this is some member
of Rn, you want to",00:05:13.880,00:05:15.610
construct this vector.,00:05:15.610,00:05:17.060
"Well, the linear combination
that would get you this is",00:05:17.060,00:05:20.060
"literally a1 times e1 plus a2
times e2 plus all the way to",00:05:20.060,00:05:28.370
an times en.,00:05:28.370,00:05:29.620
"This scalar times this first
column vector will essentially",00:05:32.240,00:05:37.140
"just get you-- what will
this look like?",00:05:37.140,00:05:39.200
"This will look like
a1 and then you'd",00:05:39.200,00:05:41.510
have a bunch of zeroes.,00:05:41.510,00:05:42.850
"You'd have n minus 1 zeroes plus
0 and you'd have an a2",00:05:42.850,00:05:48.060
"and then you'd have
a bunch of zeroes.",00:05:48.060,00:05:49.690
"And then you'd keep doing that,
and then you would have",00:05:49.690,00:05:53.320
"a bunch of zeroes, and then
you would have an an.",00:05:53.320,00:05:55.370
"Obviously, by our definition
of vector addition, you add",00:05:55.370,00:05:58.370
"all these things up, you get
this guy right here.",00:05:58.370,00:06:00.880
"And it's kind of obvious,
because this right here is the",00:06:00.880,00:06:04.430
"same thing as our identity
matrix times a1.",00:06:04.430,00:06:08.880
"I just wanted to expose
you to that idea.",00:06:08.880,00:06:10.930
"Now, let's apply what we already
know about linear",00:06:10.930,00:06:14.670
"transformations to what we've
just learned about this",00:06:14.670,00:06:17.450
identity matrix.,00:06:17.450,00:06:19.090
"I just told you that
I can represent",00:06:19.090,00:06:20.980
any vector like this.,00:06:20.980,00:06:23.210
"Let me rewrite it in
maybe terms of x.",00:06:23.210,00:06:25.180
"I can write any vector x as a
linear combination of the",00:06:25.180,00:06:32.940
"standard basis, which are really
just the columns of the",00:06:32.940,00:06:36.210
identity matrix.,00:06:36.210,00:06:37.310
"I can write that as x1 times e1
plus x2 times e2, all the",00:06:37.310,00:06:43.060
way to xn times en.,00:06:43.060,00:06:45.430
"And remember, each of these
column vectors right here,",00:06:45.430,00:06:49.430
"like for e1, is just 1 in the
first entry and then all the",00:06:49.430,00:06:54.820
"rest are zeroes. e2 is a 1
in the second entry and",00:06:54.820,00:06:57.020
