text,start,stop
"In our previous lesson, we had written code
to insert a node at the beginning of the linked",00:00:00.580,00:00:05.839
list.,00:00:05.839,00:00:06.839
"Now, in this lesson we will write program
to insert a node at any given position in",00:00:06.839,00:00:12.490
the linked list.,00:00:12.490,00:00:13.490
"So, let me first explain the problem in a
logical view.",00:00:13.490,00:00:17.410
"Let's say we have a linked list of integers
here.",00:00:17.410,00:00:19.730
There are 3 nodes in this linked list.,00:00:19.730,00:00:22.480
"Let us say they are at addresses 200, 100
and 250 respectively in the memory and we",00:00:22.480,00:00:27.320
"have a variable head that is pointer to node,
that stores the address of the first node",00:00:27.320,00:00:32.460
in the list.,00:00:32.460,00:00:33.460
"Now, let us say we number these nodes.",00:00:33.460,00:00:37.010
We number these positions on a 1-based index.,00:00:37.010,00:00:40.380
"So, this is the first node in the list and
this is the second node and this is the third",00:00:40.380,00:00:44.500
"node and we want to write a function Insert
that will take the data to be inserted in",00:00:44.500,00:00:53.030
"the list and the position at which we want
to insert this particular data.",00:00:53.030,00:00:56.860
"So, we will be inserting a node at that particular
position with this data.",00:00:56.860,00:01:00.760
There will be a couple of scenarios.,00:01:00.760,00:01:03.050
The list could be empty.,00:01:03.050,00:01:04.500
"So, this variable head will be NULL. or this
argument being passed to the insert function,",00:01:04.500,00:01:11.200
the position n could be an invalid position.,00:01:11.200,00:01:14.120
"For example, 5 is an invalid position here
for this linked list.",00:01:14.120,00:01:19.100
"The maximum possible position at which we
can insert a Node in this list will be 4.",00:01:19.100,00:01:24.580
"If we want to insert at position 1, we want
to insert at beginning and if we want to insert",00:01:24.580,00:01:29.270
"at position 4, we want to insert at end.",00:01:29.270,00:01:31.540
"So, our Insert function should gracefully
handle all these scenarios.",00:01:31.540,00:01:36.600
"Let us assume for the sake of simplicity,
for the sake of simplifying our implementation",00:01:36.600,00:01:41.820
"that we always give a valid position, we will
always give a valid position so that we do",00:01:41.820,00:01:46.990
"not have to handle the error condition in
case of invalid position.",00:01:46.990,00:01:53.740
"The implementation logic for this function
will be pretty straight forward.",00:01:53.740,00:01:57.710
We will first create a node.,00:01:57.710,00:02:01.130
"Let's say in this example we want to insert
a node with value 8 at 3rd position in the",00:02:01.130,00:02:07.670
list.,00:02:07.670,00:02:08.670
"So, i'll set the data here in the node.",00:02:08.670,00:02:11.900
The data part is 8.,00:02:11.900,00:02:13.569
"Now, to insert a node at the Nth position,
we will first have to go to the (n-1)th node.",00:02:13.569,00:02:21.770
"In this case n =3, so we will go to the 2nd
node. now the first thing that we will have",00:02:21.770,00:02:27.220
"to do is we will have to set the link field
of this newly created node equal to the link",00:02:27.220,00:02:33.841
"field of this (n-1)th node, so we will have
to build this link.",00:02:33.841,00:02:38.810
"Let's say the address that we will get for
this newly created node is 150.",00:02:38.810,00:02:42.860
"Once we build this link, we can break this
link and set the link of this newly created",00:02:42.860,00:02:48.870
"node as address of this, set the link of this
(n-1)th node as address of this newly created",00:02:48.870,00:02:55.400
node.,00:02:55.400,00:02:56.400
We may have special cases in our implementation.,00:02:56.400,00:03:00.200
"like the list may be empty or may be we may
want to insert a node at the beginning.",00:03:00.200,00:03:06.020
"let's say we will take care of special cases
(if any) in our actual implementation.",00:03:06.020,00:03:10.520
"So, now let's move on to implementing this
particular function in our program.",00:03:10.520,00:03:16.420
In my 'C' program.,00:03:16.420,00:03:17.940
"the first thing that I need to do is i want
to define a Node.",00:03:17.940,00:03:22.180
"So, Node will be a structure.",00:03:22.180,00:03:24.510
We have seen this earlier.,00:03:24.510,00:03:25.970
"So, Node has these two fields - one data of
type integer and another next of type pointer",00:03:25.970,00:03:33.060
to Node.,00:03:33.060,00:03:34.060
"Now, to create a linked list, the first thing
that I need to create is a pointer to Node",00:03:34.060,00:03:39.260
"that will always store the address of the
first node or the head node in the linked",00:03:39.260,00:03:43.610
list.,00:03:43.610,00:03:44.610
