text,start,stop
"In the last video, we took a stab at",00:00:00.626,00:00:02.781
modeling population as a function of time.,00:00:02.781,00:00:05.572
"And we said, okay, well
maybe the rate of change",00:00:05.572,00:00:07.153
of population with respect to time,00:00:07.153,00:00:09.114
is going to be proportional to,00:00:09.114,00:00:10.649
the population itself.,00:00:10.649,00:00:11.885
That the rate will increase,00:00:11.915,00:00:13.573
as the population increases.,00:00:13.573,00:00:15.526
And when you actually try to solve,00:00:15.743,00:00:17.471
"this differential equation,",00:00:17.471,00:00:18.704
"you try to find an N of
T that satisfies this,",00:00:18.704,00:00:20.931
we found that an exponential would work.,00:00:20.931,00:00:22.902
"An exponential satisfies
this differential equation.",00:00:22.902,00:00:25.858
And it would look like this visually.,00:00:25.913,00:00:27.577
"It would look like this,",00:00:27.912,00:00:30.503
it would look like this visually.,00:00:30.645,00:00:32.450
"Where you're starting at
a population of N not,",00:00:32.045,00:00:33.987
"this is the time axis,",00:00:34.392,00:00:35.981
this is the population axis.,00:00:35.981,00:00:37.402
"And as time increases,",00:00:37.663,00:00:38.708
population increases exponentially.,00:00:39.113,00:00:41.122
Now we said there's an issue there.,00:00:41.709,00:00:43.182
What if Thomas Malthus is right?,00:00:43.359,00:00:45.430
That the environment can't support...,00:00:45.587,00:00:47.542
"let's say that the
environment can't support...",00:00:48.041,00:00:49.305
let me do this in a new color.,00:00:49.674,00:00:50.815
"Let's say that the environment
really can't support",00:00:50.815,00:00:53.118
"more than K, more than a population of K.",00:00:53.118,00:00:58.118
Then clearly the population can't just,00:01:02.252,00:01:04.263
go and go right through the ceiling.,00:01:04.372,00:01:06.676
"They're not going to be able to have food,",00:01:06.676,00:01:07.882
"or water or resources
or whatever it might be.",00:01:07.882,00:01:10.941
They might generate too much pollution.,00:01:11.472,00:01:12.323
Who knows what it might be.,00:01:12.323,00:01:13.278
"And so this first stab
at modeling population",00:01:13.278,00:01:18.147
doesn't quite do the trick.,00:01:18.147,00:01:19.445
