text,start,stop
"I think you're pretty familiar
with the idea of matrix vector",00:00:00.720,00:00:04.350
"products and what I want to do
in this video is show you that",00:00:04.350,00:00:07.860
"taking a product of a vector
with a matrix is equivalent to",00:00:07.860,00:00:12.440
a transformation.,00:00:12.440,00:00:13.490
"It's actually a linear
transformation.",00:00:13.490,00:00:16.020
"Let's say we have some matrix A
and let's say that its terms",00:00:16.020,00:00:20.630
"are, or its columns are v1--
column vector is v2,",00:00:20.630,00:00:26.870
all the way to vn.,00:00:26.870,00:00:29.130
So this guy has n columns.,00:00:29.130,00:00:31.490
Let's say it has m rows.,00:00:31.490,00:00:32.780
So it's an m by n matrix.,00:00:32.780,00:00:36.260
"And let's say I define
some transformation.",00:00:36.260,00:00:38.126
"Let's say my transformation
goes from Rn to Rm.",00:00:42.500,00:00:51.380
This is the domain.,00:00:51.380,00:00:52.300
"I can take any vector in Rn
and it will map it to some",00:00:52.300,00:00:56.650
factor in Rm.,00:00:56.650,00:00:57.730
And I define my transformation.,00:00:57.730,00:00:59.650
"So T of x where this is some
vector in Rn, is equal to A--",00:00:59.650,00:01:06.990
this is this A.,00:01:06.990,00:01:09.050
"Let me write it in this
color right here.",00:01:09.050,00:01:11.040
And it should be bolded.,00:01:11.040,00:01:12.120
"I kind of get careless sometimes
with the bolding.",00:01:12.120,00:01:14.590
"But big bold A times
the vector x.",00:01:14.590,00:01:18.370
"So the first thing you might,
Sal, this transformation looks",00:01:18.370,00:01:22.150
"very odd relative to how we've
been defining transformations",00:01:22.150,00:01:25.510
or functions so far.,00:01:25.510,00:01:26.830
"So the first thing we have to
just feel comfortable with is",00:01:26.830,00:01:29.770
"the idea that this is
a transformation.",00:01:29.770,00:01:31.680
So what are we doing?,00:01:31.680,00:01:32.430
"We're taking something
from Rn and then",00:01:32.430,00:01:35.530
what does A x produce?,00:01:35.530,00:01:36.780
"If we write A x like this, if
this is x where it's x1, x2.",00:01:41.430,00:01:45.220
"It's going to have n terms
because it's in Rn.",00:01:45.220,00:01:49.220
"This can be rewritten as x1
times v1 plus x2 times v2, all",00:01:49.220,00:01:56.760
the way to xn times vn.,00:01:56.760,00:02:00.690
