text,start,stop
"We hopefully know at this point
what a differential",00:00:00.790,00:00:03.330
"equation is, so now let's
try to solve some.",00:00:03.330,00:00:06.490
"And this first class of
differential equations I'll",00:00:06.490,00:00:09.000
"introduce you to, they're called
separable equations.",00:00:09.000,00:00:11.270
"And I think what you'll find
is that we're not learning",00:00:11.270,00:00:13.570
really anything new.,00:00:13.570,00:00:14.420
"Using just your first year
calculus derivative and",00:00:14.420,00:00:19.010
"integrating skills, you can
solve a separable equation.",00:00:19.010,00:00:22.300
"And the reason why they're
called separable is because",00:00:22.300,00:00:25.240
"you can actually separate the
x and y terms, and integrate",00:00:25.240,00:00:28.090
"them separately to get
the solution of the",00:00:28.090,00:00:30.330
differential equation.,00:00:30.330,00:00:31.170
So that's separable.,00:00:31.170,00:00:33.640
Separable equations.,00:00:33.640,00:00:36.000
"So let's do a couple, and I
think you'll get the point.",00:00:36.000,00:00:38.550
"These often are really more of
exercises in algebra than",00:00:38.550,00:00:42.600
anything else.,00:00:42.600,00:00:44.120
"So the first separable
differential equation is: dy",00:00:44.120,00:00:49.110
"over dx is equal to x squared
over 1 minus y squared.",00:00:49.110,00:00:56.710
"And actually, this is a good
time to just review our",00:00:56.710,00:00:58.420
terminology.,00:00:58.420,00:00:59.050
"So first of all, what
is the order of this",00:00:59.050,00:01:00.840
differential equation?,00:01:00.840,00:01:02.060
"Well, the highest derivative
in it is just the first",00:01:02.060,00:01:05.090
"derivative, so the order
is equal to 1.",00:01:05.090,00:01:08.430
So it's first order.,00:01:08.430,00:01:11.390
"It's ordinary, because we only
have a regular derivative, no",00:01:11.390,00:01:14.020
partial derivatives here.,00:01:14.020,00:01:15.530
"And then, is this linear
or non-linear?",00:01:15.530,00:01:18.130
"Well, first you say, oh well,
you know, this looks linear.",00:01:18.130,00:01:20.580
"I'm not multiplying
the derivative",00:01:20.580,00:01:21.910
times anything else.,00:01:21.910,00:01:23.050
"But if you look carefully,
something",00:01:23.050,00:01:25.280
interesting is going on.,00:01:25.280,00:01:26.160
"First of all, you have
a y squared.",00:01:26.160,00:01:28.100
And y is a dependent variable.,00:01:28.100,00:01:29.610
y is a function of x.,00:01:29.610,00:01:31.440
"So to have the y squared, that
makes it non-linear.",00:01:31.440,00:01:33.740
"And even if this was a y, if you
were to actually multiply",00:01:33.740,00:01:36.660
"both sides of this equation
times 1 minus y, and get in",00:01:36.660,00:01:39.280
"the form that I showed you in
the previous equation, you",00:01:39.280,00:01:42.740
would have 1 minus y squared.,00:01:42.740,00:01:47.060
"This is actually the first step
of what we have to do",00:01:47.060,00:01:48.630
"anyways, so I'll
write it down.",00:01:48.630,00:01:50.150
"So if I'm just multiplying both
sides of this equation",00:01:50.150,00:01:52.020
"times 1 minus y squared, you get
1 minus y squared times dy",00:01:52.020,00:01:56.620
dx is equal to x squared.,00:01:56.620,00:02:00.820
"And then you immediately see
that even if this wasn't a",00:02:00.820,00:02:04.120
"squared here, you'd be
multiplying the y times dy dx,",00:02:04.120,00:02:07.020
"and that also makes it
non-linear because you're",00:02:07.020,00:02:09.770
"multiplying the dependent
variable times the",00:02:09.770,00:02:11.640
derivative of itself.,00:02:11.640,00:02:12.690
"So that also makes this
a non-linear equation.",00:02:12.690,00:02:14.890
"But anyway, let's get back
to solving this.",00:02:14.890,00:02:17.300
So this is the first step.,00:02:17.300,00:02:18.690
"I just multiply both sides
by 1 minus y squared.",00:02:18.690,00:02:21.480
"And the real end goal is just
to separate the y's and the",00:02:21.480,00:02:24.310
"x's, and then integrate
both sides.",00:02:24.310,00:02:26.200
So I'm almost there.,00:02:26.200,00:02:27.450
"So now what I want to do is I
want to multiply both sides of",00:02:27.450,00:02:29.720
"this equation times dx, so I
have a dx here and get rid of",00:02:29.720,00:02:32.940
this dx there.,00:02:32.940,00:02:34.375
"Let me go here, I don't want
to waste too much space.",00:02:34.375,00:02:37.790
"So you get 1 minus y squared dy
is equal to x squared dx.",00:02:37.790,00:02:47.440
"I have separated the x and
y variables and the",00:02:47.440,00:02:51.190
differentials.,00:02:51.190,00:02:52.420
"All I did is I multiplied both
sides of this equation times",00:02:52.420,00:02:54.510
dx to get here.,00:02:54.510,00:02:56.850
"Now, I can just integrate
both sides.",00:02:56.850,00:03:00.160
So let's do that.,00:03:00.160,00:03:01.680
"Whatever you do to one side
of the equation you",00:03:01.680,00:03:03.080
have to do the other.,00:03:03.080,00:03:04.930
"That's true with regular
equations or",00:03:04.930,00:03:06.790
differential equations.,00:03:06.790,00:03:07.560
"So we're going to integrate
both sides.",00:03:07.560,00:03:09.180
"So what's the integral of this
expression with respect to y?",00:03:09.180,00:03:12.640
Let's see.,00:03:12.640,00:03:13.350
"The integral of 1 is y, the
integral of y squared, well",00:03:13.350,00:03:19.730
"that's minus y to the
third over 3.",00:03:19.730,00:03:27.210
"And I'll write the plus c here
just to kind of show you",00:03:27.210,00:03:30.230
"something, but you really don't
have to write a plus c",00:03:30.230,00:03:32.730
on both sides.,00:03:32.730,00:03:34.020
"I'll call the plus the
constant due to y.",00:03:34.020,00:03:37.145
The y integration.,00:03:37.145,00:03:38.750
"You'll never see this in a
calculus class, but I just",00:03:38.750,00:03:40.420
want to make a point here.,00:03:40.420,00:03:41.670
"I just want to show you that
our plus c has never",00:03:44.290,00:03:45.840
"disappeared from when we were
taking our traditional",00:03:45.840,00:03:47.720
antiderivatives.,00:03:47.720,00:03:48.780
"And what's the derivative
of this?",00:03:48.780,00:03:50.030
"Well that's x to the
third over 3.",00:03:50.030,00:03:52.420
"And this is also going
to have a plus c",00:03:57.010,00:04:01.300
due to the x variable.,00:04:01.300,00:04:03.600
"Now, the reason why I did this
magenta one in magenta and I",00:04:03.600,00:04:07.390
"labelled it like that, is
because you really just have",00:04:07.390,00:04:09.070
"to write a plus c on one
side of the equation.",00:04:09.070,00:04:11.380
"And if that doesn't make a lot
of sense, let's subtract this",00:04:11.380,00:04:13.900
"c from both sides, and we get y
minus-- let me scroll down a",00:04:13.900,00:04:19.740
"little bit, my y
looks like a g.",00:04:19.740,00:04:22.650
"y minus y to the third over 3
is equal to x to the third",00:04:22.650,00:04:29.370
"over 3 plus the constant when we
took the antiderivative of",00:04:29.370,00:04:33.270
"the x, minus the constant of
the antiderivative when we",00:04:33.270,00:04:36.380
took the y.,00:04:36.380,00:04:37.450
"But these two constants,
they're just constants.",00:04:37.450,00:04:39.500
"I mean, we don't know
what they are.",00:04:39.500,00:04:40.480
There are arbitrary constants.,00:04:40.480,00:04:41.430
"So we could just write
a general c here.",00:04:41.430,00:04:43.170
"So you could have just-- you
have to have a constant, but",00:04:43.170,00:04:46.170
"it doesn't have to be on both
sides of the equation, because",00:04:46.170,00:04:48.310
they're arbitrary.,00:04:48.310,00:04:49.580
"cx minus cy, well, that's still
just another constant.",00:04:49.580,00:04:52.140
"And then if we want to simplify
this equation more,",00:04:52.140,00:04:53.900
"we can multiply both sides
of this by 3, just",00:04:53.900,00:04:56.230
make it look nicer.,00:04:56.230,00:04:57.430
"And you get 3y minus y to the
third is equal to x to the",00:04:57.430,00:05:04.510
"third plus-- well, I could
write 3c here.",00:05:04.510,00:05:08.580
"But once again, c is an
arbitrary constant.",00:05:08.580,00:05:11.190
"So 3 times an arbitrary
constant, that's just another",00:05:11.190,00:05:13.570
arbitrary constant.,00:05:13.570,00:05:14.555
So I'll write the c there.,00:05:14.555,00:05:18.610
And there you have it.,00:05:18.610,00:05:19.690
"We have solved this differential
equation.",00:05:19.690,00:05:22.460
"Although it is in implicit
form right now, and it's",00:05:22.460,00:05:25.520
"fairly hard to get it out
of implicit form.",00:05:25.520,00:05:28.290
"We could put the c on one side,
so the solution could be",00:05:28.290,00:05:31.550
"3y minus y to the third minus x
to the third is equal to c.",00:05:31.550,00:05:37.180
"Some people might like that
little bit better.",00:05:37.180,00:05:38.660
But that's the solution.,00:05:38.660,00:05:39.900
"And notice, the solution, just
like when you take an",00:05:39.900,00:05:41.780
"antiderivative, the solution
is a class of implicit",00:05:41.780,00:05:46.930
"functions, in this case.",00:05:46.930,00:05:48.230
And why is it a class?,00:05:48.230,00:05:49.320
"Because we have that
constant there.",00:05:49.320,00:05:51.520
"Depending on what number
you pick there, it",00:05:51.520,00:05:55.090
will be another solution.,00:05:55.090,00:05:56.360
"But any constant there will
satisfy the original",00:05:56.360,00:05:59.440
"differential equation,
which was up here.",00:05:59.440,00:06:03.780
"This was the original
differential equation.",00:06:03.780,00:06:05.540
"And if you want to solve for
that constant, someone has to",00:06:05.540,00:06:08.370
give you an initial condition.,00:06:08.370,00:06:09.630
"Someone has to say, well,
when x is 2, y is 3.",00:06:09.630,00:06:15.860
"And then you could
solve for c.",00:06:15.860,00:06:17.920
"Anyway, let's do another
one that gives",00:06:17.920,00:06:19.880
us an initial condition.,00:06:19.880,00:06:22.950
"So this one's a little bit--
I'll start over.",00:06:22.950,00:06:27.180
