text,start,stop
Welcome back.,00:00:00.660,00:00:01.510
"We were in the midst of figuring
out the Laplace",00:00:01.510,00:00:04.280
"transform of sine of at when
I was running out of time.",00:00:04.280,00:00:09.210
"This was the definition
of the Laplace",00:00:09.210,00:00:11.980
transform of sine of at.,00:00:11.980,00:00:13.470
I said that also equals y.,00:00:13.470,00:00:15.380
"This is going to be useful for
us, since we're going to be",00:00:15.380,00:00:17.750
"doing integration
by parts twice.",00:00:17.750,00:00:20.120
"So I did integration by parts
once, then I did integration",00:00:20.120,00:00:23.130
by parts twice.,00:00:23.130,00:00:24.160
"I said, you know, don't worry
about the boundaries of the",00:00:24.160,00:00:25.900
integral right now.,00:00:25.900,00:00:26.700
"Let's just worry about the
indefinite integral.",00:00:26.700,00:00:28.390
"And then after we solve for y--
let's just say y is the",00:00:28.390,00:00:31.820
"indefinite version of this--
then we can evaluate the",00:00:31.820,00:00:34.270
boundaries.,00:00:34.270,00:00:35.830
"And we got to this point, and we
made the realization, after",00:00:35.830,00:00:38.540
"doing two integration by parts
and being very careful not to",00:00:38.540,00:00:41.480
"hopefully make any careless
mistakes, we realized, wow,",00:00:41.480,00:00:44.560
this is our original y.,00:00:44.560,00:00:47.240
"If I put the boundaries here,
that's the same thing as the",00:00:47.240,00:00:49.410
"Laplace transform of
sine of at, right?",00:00:49.410,00:00:51.100
That's our original y.,00:00:51.100,00:00:52.760
"So now-- and I'll switch colors
just avoid monotony--",00:00:52.760,00:00:56.700
"this is equal to, actually,
let me just-- this is y.",00:00:56.700,00:01:00.295
Right?,00:01:05.209,00:01:05.560
"That was our original
definition.",00:01:05.560,00:01:07.600
"So let's add a squared over
sine squared y to",00:01:07.600,00:01:12.420
both sides of this.,00:01:12.420,00:01:13.900
"So this is equal to y plus--
I'm just adding this whole",00:01:13.900,00:01:19.400
"term to both sides of this
equation-- plus a squared over",00:01:19.400,00:01:24.130
"s squared y is equal to-- so
this term is now gone, so it's",00:01:24.130,00:01:31.470
equal to this stuff.,00:01:31.470,00:01:32.475
"And let's see if we
can simplify this.",00:01:32.475,00:01:34.260
"So let's factor out an e to the
minus st. Actually, let's",00:01:34.260,00:01:38.845
"factor out a negative e to the
minus st. So it's minus e to",00:01:38.845,00:01:45.360
"the minus st, times sine of--
well, let me just write 1 over",00:01:45.360,00:01:58.320
"s, sine of at, minus 1 over
s squared, cosine of at.",00:01:58.320,00:02:10.900
"I really hope I haven't made
any careless mistakes.",00:02:10.900,00:02:13.650
"And so this, we can add
the coefficient.",00:02:13.650,00:02:16.010
"So we get 1 plus a squared,
over s squared, times y.",00:02:16.010,00:02:22.030
"But that's the same thing as s
squared over s squared, plus a",00:02:22.030,00:02:25.440
squared over s squared.,00:02:25.440,00:02:27.100
"So it's s squared plus a
squared, over s squared, y is",00:02:27.100,00:02:31.920
"equal to minus e to the minus
st, times this whole thing,",00:02:31.920,00:02:40.320
"sine of at, minus 1 over s
squared, cosine of at.",00:02:40.320,00:02:47.510
"And now, this right here, since
we're doing everything",00:02:47.510,00:02:50.410
"with respect to dt, this is
just a constant, right?",00:02:50.410,00:02:53.050
