text,start,stop
"In our series on linked list so far, we
have implemented",00:00:00.370,00:00:03.560
"some of the basic operations like
insertion deletion",00:00:03.560,00:00:07.410
"and traversal. Now in this lesson we
will write",00:00:07.410,00:00:10.559
"code to traverse and print the
elements of a linked list using",00:00:10.559,00:00:15.500
recursion.,00:00:15.500,00:00:16.090
"Prerequisite for this lesson is that you
should understand recursion as a",00:00:16.090,00:00:20.560
programming concept,00:00:20.560,00:00:21.740
"well. Recursive traversal of linked list
actually helps us solve",00:00:21.740,00:00:25.230
"couple of interesting problems but in
this lesson we will keep it simple",00:00:25.230,00:00:29.210
"We will just traverse and print
all the elements in linked list using",00:00:29.210,00:00:33.540
recursion.,00:00:33.540,00:00:34.230
and we will write one simple variation,00:00:34.230,00:00:37.489
"to print all the elements in reverse order.
using recursion.",00:00:37.489,00:00:40.800
"We will actually not reverse the
list we will just",00:00:40.800,00:00:43.850
print the elements in reverse order.,00:00:43.850,00:00:47.399
"So, once again I have taken example of a
linked list of integers here",00:00:47.399,00:00:51.180
"we have four nodes, each rectangle here is
a Node",00:00:51.180,00:00:54.690
"It has two fields, one to store the data
and another to store the address of the",00:00:54.690,00:00:59.730
next node,00:00:59.730,00:01:00.600
"let's say we have four Nodes at addresses
100 200 150 and 250 respectively.",00:01:00.600,00:01:05.770
"And of course we will also have a
variable that will store",00:01:05.770,00:01:09.380
"the address of the head node. Let's name
this variable head.",00:01:09.380,00:01:12.560
"Programmatically in our C or C plus plus
program",00:01:12.560,00:01:16.000
"Node will be defined something like this
We will have a structure with ",00:01:16.000,00:01:21.159
"two fields,",00:01:21.159,00:01:21.470
one to store the data and another to,00:01:21.470,00:01:24.710
"store the address of the next Node. What
we want to do in this particular",00:01:24.710,00:01:30.259
"lesson is that we want to write two
functions",00:01:30.259,00:01:33.310
"first we want to write a function named
print that will take",00:01:33.310,00:01:37.409
"address of the Node as argument. We will first
past this function the address of the",00:01:37.409,00:01:41.390
"head node, so",00:01:41.390,00:01:42.479
"let's name this argument head and in
this function we will use recursion",00:01:42.479,00:01:47.799
"to print elements in the list so for
this particular example here",00:01:47.799,00:01:51.590
"if we want to print a space separated
list of all the elements",00:01:51.590,00:01:56.110
"our output will be something like this and
we also want to write",00:01:56.110,00:01:59.509
"another function named reverse print.
Here also we will take the",00:01:59.509,00:02:04.119
"address of the Node. So we will pass this
guy the address of the head node",00:02:04.119,00:02:08.590
"and in this function we will use 
recursion to print the elements in the list",00:02:08.590,00:02:12.930
in,00:02:12.930,00:02:13.300
"reversed order. So if we have to print a
space separated list for this example",00:02:13.300,00:02:17.959
"our output will be something like this.
So let's first implement the print",00:02:17.959,00:02:23.500
function.,00:02:23.500,00:02:24.140
"in my C code here, I will declare print
function like this",00:02:24.140,00:02:28.470
"it will take as argument the address 
of a node",00:02:28.470,00:02:31.599
"so the argument is of type pointer to Node.
Initially we will pass the address of the",00:02:31.599,00:02:36.849
head node.,00:02:36.849,00:02:37.590
"We can name this argument head or we can
name this argument p.",00:02:37.590,00:02:41.269
"we can name it whatever but we must
understand that this",00:02:41.269,00:02:44.349
"will be local variable and let's not
bother about",00:02:44.349,00:02:47.860
"other infrastructure in the code like
how we would create",00:02:47.860,00:02:50.980
"a linked list and how we would insert
a node in the linked list.",00:02:50.980,00:02:54.660
"let's assume that they are in place so let's
keep the name of this particular",00:02:54.660,00:02:58.269
argument,00:02:58.269,00:02:59.000
p. Now recursion is a function calling,00:02:59.000,00:03:02.959
