text,start,stop
"Let's say I've got some set
A of the vectors a1, a2,",00:00:00.490,00:00:06.170
all the way to an.,00:00:06.170,00:00:08.109
"And I know for a fact that
it's a basis for",00:00:08.109,00:00:12.620
the subspace V.,00:00:12.620,00:00:14.990
"What I want to show you in this
video is that if this guy",00:00:14.990,00:00:18.400
"has n elements right here, that
any set that spans V has",00:00:18.400,00:00:25.210
"to have at least n elements,
[typing]",00:00:25.210,00:00:29.210
"or n members, or cardinality
of n.",00:00:43.070,00:00:46.160
"There's all different ways
of saying you had n",00:00:46.160,00:00:48.020
vectors in this set.,00:00:48.020,00:00:49.270
"I'm saying that every set that
spans V must have at least n",00:00:52.700,00:00:56.920
"elements, if the sum basis
set has n elements for V.",00:00:56.920,00:01:01.340
"Let's see if we can kind of run
with the set that has less",00:01:01.340,00:01:04.959
"than n elements and see if we
reach any contradictions.",00:01:04.959,00:01:07.820
"So let's say that I have sum set
B here and it's equal to",00:01:07.820,00:01:13.155
"the vectors b1, b2,
all the way to bm.",00:01:13.155,00:01:18.330
"And m is less than n, so I have
sum set of vectors here",00:01:18.330,00:01:22.420
"that have fewer elements
than my set A.",00:01:22.420,00:01:27.060
"So you come to me one day and
say, look I found you this set",00:01:27.060,00:01:30.180
of vectors right here.,00:01:30.180,00:01:31.390
"And not only does it have
fewer elements than A,",00:01:31.390,00:01:34.140
but it spans V.,00:01:34.140,00:01:37.500
"I look at you very suspiciously
because I always",00:01:37.500,00:01:39.460
"thought that this green
statement was true.",00:01:39.460,00:01:41.440
"So we start a little bit of
a thought experiment.",00:01:41.440,00:01:43.860
"And I say OK, you claim
that your set spans",00:01:43.860,00:01:46.970
"V, so let's do something.",00:01:46.970,00:01:48.900
Let me define a new set.,00:01:48.900,00:01:50.500
"Let me call this new set B1
prime, and you'll see why I'm",00:01:50.500,00:01:55.080
"doing this kind of
strange notation.",00:01:55.080,00:01:57.430
"What's essentially going to be
is a set B plus my vector a1.",00:01:57.430,00:02:03.230
"So it's a1, and then I have
all of my elements of B.",00:02:03.230,00:02:07.070
"So be b1, b2, all
the way to bm.",00:02:07.070,00:02:12.350
"Now I think you and I could both
agree that this set is",00:02:12.350,00:02:15.390
linearly dependent.,00:02:15.390,00:02:18.530
How do I know that?,00:02:18.530,00:02:19.240
"Linear dependence means that at
least one of the elements",00:02:19.240,00:02:22.240
"of the set can be represented
as a linear",00:02:22.240,00:02:24.100
combination of the others.,00:02:24.100,00:02:25.720
"Well, we know that a1 is one of
the basis vectors for V for",00:02:25.720,00:02:30.610
this definition of a basis.,00:02:30.610,00:02:31.800
"But all the basis vectors
are members of V.",00:02:31.800,00:02:36.510
"If this set is a basis for V,
then this means that this set",00:02:41.520,00:02:44.970
"spans V, or that every member
of V can be represented as a",00:02:44.970,00:02:48.360
"linear combination
of these guys.",00:02:48.360,00:02:49.990
"Or in other ways every
linear combination of",00:02:49.990,00:02:51.980
these guys is in V.,00:02:51.980,00:02:53.710
"And one of the linear
combinations of these guys is",00:02:53.710,00:02:55.600
"you just set the coefficient
on a1 to be 1, and the",00:02:55.600,00:03:01.280
"coefficients on everyone
else to be 0.",00:03:01.280,00:03:03.240
"So obviously a1 is
also in the set.",00:03:03.240,00:03:05.610
"So if a1 is in V, and all
of these guys span V, by",00:03:05.610,00:03:12.110
"definition if these guys span
V some linear combination of",00:03:12.110,00:03:15.680
