text,start,stop
"I've got a function f and it's
a mapping from the set",00:00:00.520,00:00:04.450
x to the set y.,00:00:04.450,00:00:08.340
"And let's just say for the sake
of argument, let's say",00:00:08.340,00:00:11.180
that f is invertible.,00:00:11.180,00:00:12.430
"What I want to know is what
does this imply about this",00:00:17.760,00:00:21.960
equation right here.,00:00:21.960,00:00:23.460
"The equation f of
x is equal to y.",00:00:23.460,00:00:27.320
"I want to know that for every
y that's a member of our",00:00:27.320,00:00:31.580
co-domains.,00:00:31.580,00:00:32.500
"So for every y, let me write
this down, for every y that's",00:00:32.500,00:00:38.420
"a member of my co-domain is
there a unique, in all caps",00:00:38.420,00:00:46.830
"UNIQUE, solution x that's
a member of our domain.",00:00:46.830,00:00:54.730
"Such that, and I could write
such that well, I'll just",00:00:54.730,00:00:58.030
write it out.,00:00:58.030,00:00:58.990
"I was going to write the mathy
way, but I think it's nicer to",00:00:58.990,00:01:01.140
"write in the actual
words sometimes.",00:01:01.140,00:01:03.510
"Such that f of x
is equal to y.",00:01:03.510,00:01:08.110
"So if we just, let me
just draw everything",00:01:08.110,00:01:09.810
out a little bit.,00:01:09.810,00:01:11.410
We have our set x right here.,00:01:11.410,00:01:14.640
This is x.,00:01:14.640,00:01:15.900
We have our co-domain y here.,00:01:15.900,00:01:19.180
"We know that f, if you take some
point here, let's call",00:01:19.180,00:01:22.420
"that a, it's a member of x and
you apply the function f to",00:01:22.420,00:01:27.450
"it, it will map you to some
element in set y.",00:01:27.450,00:01:31.210
So that's f of a right there.,00:01:31.210,00:01:33.870
"This is, so far, what
this tells us.",00:01:33.870,00:01:37.550
"Now I want to look at this
equation here, and I want to",00:01:37.550,00:01:41.560
"know that if I can pick any y
in this set any lower-case y",00:01:41.560,00:01:46.280
in this set y.,00:01:46.280,00:01:47.590
"So let's say I pick
something here.",00:01:47.590,00:01:51.490
Let's say that's b.,00:01:51.490,00:01:54.150
"I want to know is there a
unique solution to the",00:01:54.150,00:01:57.370
