text,start,stop
"The goal of this video is to
start with our definition of",00:00:00.940,00:00:03.630
"the cross product and the result
that we started off",00:00:03.630,00:00:06.690
"with or that we got to in a
different video-- I think it",00:00:06.690,00:00:09.370
"was three videos ago-- where
we found out that the dot",00:00:09.370,00:00:12.610
"product of two nonzero vectors,
a dot b, is equal to",00:00:12.610,00:00:17.140
the product of their lengths.,00:00:17.140,00:00:19.070
"So the product of the length
of a with the length of b",00:00:19.070,00:00:23.540
"times the cosine of the
angle between them.",00:00:23.540,00:00:25.780
"We're going to start with
these two things.",00:00:25.780,00:00:27.310
"This definition of a cross
product in R3, the only place",00:00:27.310,00:00:30.680
"it really is defined, and
then this result.",00:00:30.680,00:00:33.290
"And we want to get to the result
that the length of the",00:00:33.290,00:00:42.300
cross product of two vectors.,00:00:42.300,00:00:44.870
"And so obviously, when
you take a cross",00:00:44.870,00:00:46.660
product you get a vector.,00:00:46.660,00:00:47.760
"But if you take its length you
get a number again, you just",00:00:47.760,00:00:49.910
"get a scalar value, is equal to
the product of each of the",00:00:49.910,00:00:53.580
vectors' lengths.,00:00:53.580,00:00:55.180
"It's the product of the length
of a times the product of the",00:00:55.180,00:00:57.610
"length of b times the sin of
the angle between them.",00:00:57.610,00:01:01.050
"Which is a pretty neat outcome
because it kind of shows that",00:01:01.050,00:01:03.590
"they're two sides of
the same coin.",00:01:03.590,00:01:05.200
"Dot product has cosine,
cross product has sin.",00:01:05.200,00:01:08.340
"I'm sure you've seen
this before.",00:01:08.340,00:01:11.320
"Well you definitely have seen
it if you've watched my",00:01:11.320,00:01:13.060
"physics playlist. And I even do
a whole video where I talk",00:01:13.060,00:01:16.360
"about the intuition behind
what this really means.",00:01:16.360,00:01:19.360
"And I encourage you to re-watch
that, and I'll",00:01:19.360,00:01:20.790
"probably do that again in the
linear algebra context.",00:01:20.790,00:01:23.180
"But the point of this video
is to prove this to you.",00:01:23.180,00:01:27.270
"Is to prove that with this and
this, I can get to this.",00:01:27.270,00:01:30.380
"Now if you're just believe me,
and you just say, oh I've seen",00:01:30.380,00:01:33.100
that before.,00:01:33.100,00:01:33.630
"And I just think it definitely
is the case, then you don't",00:01:33.630,00:01:36.270
"have to watch the rest of this
video because I'll tell you",00:01:36.270,00:01:38.380
"right now, it's going
to get dirty.",00:01:38.380,00:01:40.270
"It's going to be a hairy,
hairy proof.",00:01:40.270,00:01:42.340
"But if you're willing to watch
and bear with me, let's start",00:01:42.340,00:01:48.530
proving this result.,00:01:48.530,00:01:50.380
"So the place I'm going to start
is with the idea of",00:01:50.380,00:01:54.910
"taking the length of
a cross b squared.",00:01:54.910,00:02:01.570
