text,start,stop
"In our previous lesson, we saw how we can
implement",00:00:00.590,00:00:03.510
"a stack, these are two popular
implementations of stack",00:00:03.510,00:00:07.120
"one using arrays and another using
linked list.",00:00:07.120,00:00:10.580
"A warrior should not just possess a
weapon",00:00:10.580,00:00:13.969
he must also know when and how to use it.,00:00:13.969,00:00:16.980
"As programmers we must know in what all
scenarios we can use a particular data",00:00:16.980,00:00:22.800
structure.,00:00:22.800,00:00:23.420
"In this lesson, I'm going to talk about
one simple use case of stack.",00:00:23.420,00:00:27.689
"A stack can be used to reverse
a list or collection,",00:00:27.689,00:00:31.869
"or simply to traverse a list or
collection",00:00:31.869,00:00:35.480
in reverse order. I'm going to talk about,00:00:35.480,00:00:38.989
two problems. Reversal of string and,00:00:38.989,00:00:42.629
"reversal of linked list and I'm going to
solve",00:00:42.629,00:00:46.570
"both these problems using stack. Let's
first discuss",00:00:46.570,00:00:51.300
"reversal of string, I have a string in
the form of",00:00:51.300,00:00:54.780
"a character array here, I have this string
""HELLO"".",00:00:54.780,00:00:58.579
A string is a sequence of characters.,00:00:58.579,00:01:01.620
This is a C-style string. In C,00:01:01.620,00:01:05.180
"a string must be terminated with a null
character, so this last character is a",00:01:05.180,00:01:09.159
null character.,00:01:09.159,00:01:10.240
"Reversal means characters in the array
should be",00:01:10.240,00:01:13.460
"rearranged like what i'm showing here
in the right.",00:01:13.460,00:01:16.540
"null character is used only to mark the
end of string,",00:01:16.540,00:01:20.750
it is not part of string. Okay,00:01:20.750,00:01:23.830
"there are couple of efficient ways in
which we can reverse a string.",00:01:23.830,00:01:27.299
"Let's first discuss how we can solve
this problem using",00:01:27.299,00:01:30.490
"a stack and then we will see how
efficient it is.",00:01:30.490,00:01:33.960
"What we can do is we can create a
stack of characters,",00:01:33.960,00:01:37.990
"I'm showing logical representation of a
stack here",00:01:37.990,00:01:41.350
"this is a stack of characters and right
now it's empty",00:01:41.350,00:01:44.829
"and now what we can do is we can
traverse the characters",00:01:44.829,00:01:48.259
"in the string from left to right and
start pushing them onto the stack.",00:01:48.259,00:01:53.509
"So first 'H' goes into the stack then
the next character this",00:01:53.509,00:01:57.880
'E' then 'L' then we have another 'L',00:01:57.880,00:02:02.159
and then the last character is 'O'. Once all,00:02:02.159,00:02:06.450
"all the characters in the string
have gone into the stack",00:02:06.450,00:02:09.530
we can once again start at the 0th index.,00:02:09.530,00:02:12.770
"Now we need to write the topmost
character",00:02:12.770,00:02:16.230
"in the stack, at this index we can get
the top most character by calling",00:02:16.230,00:02:21.489
"top operation and now we can perform a
pop",00:02:21.489,00:02:24.640
"and now we can go to the next index
fill in whatever is at top of stack",00:02:24.640,00:02:29.750
"and perform a pop again. We can go on
doing this",00:02:29.750,00:02:33.950
"until stack is not empty, so all the
positions",00:02:33.950,00:02:38.250
"in the character array will be overwritten.
So finally we have reversed a",00:02:38.250,00:02:43.319
string here.,00:02:43.319,00:02:44.060
"In a stack whatever goes in last comes
out first.",00:02:44.060,00:02:48.050
So if we will push a bunch of items onto,00:02:48.050,00:02:51.200
"a stack and once all items have pushed
if we will start popping",00:02:51.200,00:02:55.769
"we will get the items in reverse order.
First item pushed onto the stack",00:02:55.769,00:03:00.519
will come out last. Let's quickly right,00:03:00.519,00:03:03.989
"code for this logic. I'm going to write
C++ here.",00:03:03.989,00:03:07.890
"Things will be pretty similar in other
languages, so it doesn't really matter.",00:03:07.890,00:03:11.720
"what I'm going to do in my code is am
going to create a",00:03:11.720,00:03:14.890
"character array to store a string and then
I will ask",00:03:14.890,00:03:18.870
"user to input a string, once I input
the string",00:03:18.870,00:03:23.019
"I would make a call to a function named
Reverse passing",00:03:23.019,00:03:26.790
it the array and length of string,00:03:26.790,00:03:30.709
"that I will get by making a call to
string length function(strlen in C) and finally",00:03:30.709,00:03:34.549
I'm printing the reversed,00:03:34.549,00:03:36.010
"string. Now I need to write the reverse
function.",00:03:36.010,00:03:39.379
"In reverse function I want to use a
stack,",00:03:39.379,00:03:42.569
"a stack of characters, we have already
seen how we can implement stack.",00:03:42.569,00:03:47.739
"In C++, we can create a class
named stack",00:03:47.739,00:03:51.440
that would have an array of characters,00:03:51.440,00:03:54.939
"and an integer variable named top to
mark",00:03:54.939,00:03:58.099
the top of stack in array and,00:03:58.099,00:04:01.099
