text,start,stop
"In the last video we defined a
transformation that rotated",00:00:00.390,00:00:04.810
"any vector in R2 and just gave
us another rotated version of",00:00:04.810,00:00:09.160
that vector in R2.,00:00:09.160,00:00:11.200
"In this video, I'm essentially
going to extend this, so I'm",00:00:11.200,00:00:13.420
going to do it in R3.,00:00:13.420,00:00:14.750
"So I'm going to define a
rotation transformation.",00:00:14.750,00:00:17.895
I'll still call it theta.,00:00:21.550,00:00:23.220
"There's going to be a mapping
this time from R3 to R3.",00:00:23.220,00:00:28.360
"As you can imagine, the idea
of a rotation in an angle",00:00:28.360,00:00:30.820
"becomes a little bit more
complicated when we're dealing",00:00:30.820,00:00:32.940
in three dimensions.,00:00:32.940,00:00:33.970
"So in this case we're going to
rotate around the x-axis, let",00:00:33.970,00:00:38.205
"me call it-- so this is going
to rotate around the x-axis.",00:00:38.205,00:00:48.160
"And what we do in this video,
you can then just generalize",00:00:48.160,00:00:51.290
that to other axes.,00:00:51.290,00:00:52.530
"And if you want to rotate around
the x-axis, and then",00:00:52.530,00:00:54.950
"the y-axis, and then the z-axis
by different angles,",00:00:54.950,00:00:59.360
you can just apply the,00:00:59.360,00:01:00.160
transformations one after another.,00:01:00.160,00:01:01.580
"And we're going to cover that
in a lot more detail in a",00:01:01.580,00:01:04.040
future video.,00:01:04.040,00:01:04.989
"But this should kind of give you
the tools to show you that",00:01:04.989,00:01:07.210
"this idea that we learned in the
previous video is actually",00:01:07.210,00:01:10.820
"generalizeable to multiple
dimensions, and especially",00:01:10.820,00:01:13.170
three dimensions.,00:01:13.170,00:01:14.340
"So let me just be clear, what
we're going to be doing here.",00:01:14.340,00:01:18.060
Let me draw some axes.,00:01:18.060,00:01:19.910
That's my x-axis.,00:01:19.910,00:01:22.150
That is my y-axis.,00:01:22.150,00:01:24.550
And this is my z-axis.,00:01:24.550,00:01:28.730
"Of course, this is R3.",00:01:28.730,00:01:30.660
"But any vector here in R3
I will be rotating it",00:01:30.660,00:01:32.970
"counterclockwise around
the x-axis.",00:01:32.970,00:01:35.380
We'll be rotating like that.,00:01:35.380,00:01:37.850
"So if I had a vector-- I'm
just drawing it in the zy",00:01:37.850,00:01:41.520
"plane because it's a little bit
easier to visualize-- but",00:01:41.520,00:01:44.220
"if I have a vector sitting here
in the zy plane, it will",00:01:44.220,00:01:47.430
still stay in the zy plane.,00:01:47.430,00:01:48.760
"But it'll be rotated
counterclockwise by an angle",00:01:48.760,00:01:53.260
"of theta, just like that.",00:01:53.260,00:01:54.980
"Now, a little harder to
visualize is a vector that",00:01:54.980,00:01:57.490
"doesn't just sit in
the zy plane.",00:01:57.490,00:01:58.970
"If we have some vector that
has some x-component that",00:01:58.970,00:02:01.510
"comes out like that, then some
y-component and some",00:02:01.510,00:02:04.720
"z-component, it looks
like that.",00:02:04.720,00:02:07.020
"Then when you rotate it, its
z and its y-components will",00:02:07.020,00:02:10.650
"change, but its x-component
will stay the same.",00:02:10.650,00:02:13.330
"So then it might look
something like this.",00:02:13.330,00:02:17.020
"Let me see if I can
give it justice.",00:02:17.020,00:02:19.070
"So then the vector when I rotate
it around might look",00:02:19.070,00:02:22.030
something like that.,00:02:22.030,00:02:23.050
"Anyway, I don't know if I'm
giving it proper justice but",00:02:23.050,00:02:25.850
"this was rotated around
the x-axis.",00:02:25.850,00:02:28.100
"I think you understand
what that means.",00:02:28.100,00:02:29.920
"But just based on the last
video, we want to build a",00:02:29.920,00:02:32.340
transformation.,00:02:32.340,00:02:35.190
"Let me call this rotation
3 theta.",00:02:35.190,00:02:38.300
"Or let me call it 3 rotation
theta now that",00:02:38.300,00:02:41.260
we're dealing in R3.,00:02:41.260,00:02:42.970
"And what we want to do is we
want to find some matrix, so I",00:02:42.970,00:02:45.600
