text,start,stop
"I've got this matrix, A, here,
it's a 2 by 3 matrix.",00:00:00.470,00:00:03.420
"And just as a bit of review,
let's figure out its nullspace",00:00:03.420,00:00:06.210
and its columnspace.,00:00:06.210,00:00:07.920
"So the nullspace of A is the set
of all vectors x that are",00:00:07.920,00:00:13.300
"member of-- let's see we have
3 columns here-- so a member",00:00:13.300,00:00:16.550
"of R3, such that A times the
vector are going to be equal",00:00:16.550,00:00:22.580
to the 0 vector.,00:00:22.580,00:00:25.210
So we can just set this up.,00:00:25.210,00:00:26.820
"Let me just-- we just need to
figure out all of the x's that",00:00:26.820,00:00:29.800
satisfy this in R3.,00:00:29.800,00:00:31.990
"So we take our matrix
A 2, minus 1, minus",00:00:31.990,00:00:35.710
"3, minus 4, 2, 6.",00:00:35.710,00:00:39.120
"Multiply them times some
arbitrary vector in R3 here.",00:00:39.120,00:00:42.965
"So you get x1, x2, x3.",00:00:42.965,00:00:47.060
"And you set them equal
to the 0 vector.",00:00:47.060,00:00:49.210
"It's going to be the
0 vector in R2.",00:00:49.210,00:00:50.930
Because we have 2 rows here.,00:00:50.930,00:00:52.120
"You multiply a 2 by 3 matrix
times a vector in R3, you're",00:00:52.120,00:00:55.770
"going to get a 2 by 1 vector
or 2 by 1 matrix.",00:00:55.770,00:00:59.250
"So you're going to get
the 0 vector in R3.",00:00:59.250,00:01:02.560
"And to solve what is essentially
a system of",00:01:02.560,00:01:04.590
"equations-- you get 2 x1 minus
x2 minus 3 x3 is equal to 0",00:01:04.590,00:01:08.570
and so on and so forth.,00:01:08.570,00:01:09.930
"We can just set up an
augmented matrix.",00:01:09.930,00:01:12.610
"So we can just set up this
augmented matrix right here.",00:01:12.610,00:01:15.890
"2 minus 1 minus 3
minus 4, 2, 6.",00:01:15.890,00:01:21.240
"And then augment it with what
we're trying to set it equal",00:01:21.240,00:01:24.140
to to solve the system.,00:01:24.140,00:01:26.420
"And you know we're going to
perform a bunch of row",00:01:26.420,00:01:29.690
"operations here to put this in
reduced row echelon form.",00:01:29.690,00:01:32.690
"And they're not going to change
the right-hand side of",00:01:32.690,00:01:35.610
this augmented matrix.,00:01:35.610,00:01:36.560
"And that's essentially the
argument as to why the",00:01:36.560,00:01:38.700
"nullspace of the reduced row
echelon form of A is the same",00:01:38.700,00:01:42.390
thing as the nullspace of A.,00:01:42.390,00:01:43.600
"But anyway, that's just
a bit of review.",00:01:43.600,00:01:45.430
"So let's perform some row
operations to solve this a",00:01:45.430,00:01:48.690
little bit better.,00:01:48.690,00:01:50.680
"So, the first thing I might
want to do is divide the",00:01:50.680,00:01:54.600
first row by 2.,00:01:54.600,00:01:57.145
"So if I divide the first row by
2 I get a 1 minus 1/2 minus",00:01:57.145,00:02:02.970
"3/2 and then of course
0 divided by 2 is 0.",00:02:02.970,00:02:07.220
"And let's just divide this row
right here by-- I don't know",00:02:07.220,00:02:14.200
"just to simplify things--
let's divide it by 4.",00:02:14.200,00:02:18.680
"So I'm doing two row operations
in one step.",00:02:18.680,00:02:20.890
