text,start,stop
-(Voice over) So we left off in part one,00:00:00.163,00:00:02.195
getting pretty close to finding our N of T,00:00:02.195,00:00:04.728
"that satisfies the logistic
differential equation",00:00:04.728,00:00:07.825
"where it's initial condition
is between zero and K,",00:00:07.825,00:00:12.276
and now we just have to really just,00:00:12.276,00:00:13.844
do some algebra to finish things up.,00:00:13.844,00:00:16.361
So we left with this.,00:00:16.812,00:00:18.146
For our N of T this must be true.,00:00:18.146,00:00:19.209
"Now, we could use a
little bit of logarithm",00:00:19.776,00:00:22.511
properties to rewrite this left hand side,00:00:22.511,00:00:24.764
as the logarithm of.,00:00:24.764,00:00:27.772
The logarithm of something minus,00:00:28.395,00:00:29.397
"the logarithm of something else,",00:00:29.595,00:00:30.762
"that's going to be the first something,",00:00:30.762,00:00:32.633
The logarithm of the first something,00:00:33.016,00:00:34.034
divided by the second something.,00:00:34.178,00:00:36.977
"One minus N over K,",00:00:37.461,00:00:40.139
and this is of course going to be equal to,00:00:40.188,00:00:42.214
"all this business that we have,",00:00:42.074,00:00:43.587
"is going to be equal to,",00:00:44.253,00:00:45.768
actually let me just write it.,00:00:45.768,00:00:47.115
"It's going to be equal to, equal to,",00:00:47.115,00:00:50.943
"R times T plus C, plus C,",00:00:50.943,00:00:55.943
"and now what we could do,",00:00:57.395,00:00:58.679
this is the same thing as saying that,00:00:58.679,00:01:00.062
E to the R T plus C is going to be,00:01:00.062,00:01:03.619
equal to this thing right over here.,00:01:03.619,00:01:06.263
"This, the natural log of this,",00:01:06.263,00:01:08.479
"is equal to the exponent
that I have to raise",00:01:08.479,00:01:10.527
"E to to get to this right over here,",00:01:10.527,00:01:12.592
so I could just write that.,00:01:13.177,00:01:14.676
"We could just write,",00:01:14.777,00:01:15.844
"or another way of thinking about it,",00:01:15.844,00:01:16.861
"we could take E, if this is equal to that,",00:01:16.861,00:01:19.293
"we could take E to this
power on this left hand side,",00:01:19.293,00:01:21.340
"and E to this power on
this right hand side,",00:01:21.763,00:01:23.781
and they should be equal.,00:01:23.943,00:01:25.294
So E to this power is just going,00:01:25.821,00:01:27.724
to be what's inside the parenthesis.,00:01:27.724,00:01:29.292
It's just going to be N.,00:01:29.292,00:01:31.598
"It's just going to be N over one minus,",00:01:31.598,00:01:35.261
"one minus, N over K.",00:01:35.876,00:01:38.497
"I'll do that in a green color,",00:01:38.088,00:01:39.485
"so you can keep track of
where things came from.",00:01:40.277,00:01:41.372
Is equal to E to this business.,00:01:43.211,00:01:45.222
Is equal to E to the R T.,00:01:45.546,00:01:50.546
"R, I'll do the T in white.",00:01:52.095,00:01:53.978
"R T plus C, plus C.",00:01:54.461,00:01:58.594
Now this I could rewrite if I want to.,00:01:59.249,00:02:02.827
"If I have E to something
plus something else,",00:02:03.062,00:02:05.194
I could rewrite this as to the R T times,00:02:05.194,00:02:08.221
"E times E to the C, and
just to simplify things,",00:02:08.464,00:02:13.464
"this is just going to be
another constant here,",00:02:14.068,00:02:15.899
"and I could, if this is C,",00:02:16.511,00:02:17.526
"I could call it C one,",00:02:17.661,00:02:18.677
"but I'm just going to
call that a constant.",00:02:18.677,00:02:20.561
"So I could just say
that that's going to be",00:02:20.066,00:02:21.834
"equal to some constant times E to the R T,",00:02:22.428,00:02:26.433
and now we just need to solve for N.,00:02:26.928,00:02:29.727
"And once again, at any point while we're",00:02:29.727,00:02:31.103
"working on this you get inspired,",00:02:31.103,00:02:32.927
feel free to solve for N.,00:02:32.927,00:02:34.930
So let's see.,00:02:35.761,00:02:36.562
One way to solve for N.,00:02:36.562,00:02:38.027
Let's see.,00:02:38.027,00:02:38.675
If we could take the reciprocal of both,00:02:38.675,00:02:40.177
"sides of this, we're going to get.",00:02:40.177,00:02:41.644
"Let me draw a line here
just so you know we're.",00:02:42.705,00:02:44.777
Let me draw a line.,00:02:45.577,00:02:47.376
"So, if we take the reciprocal
of both sides of this,",00:02:47.376,00:02:49.927
"we're going to get one over N,",00:02:49.927,00:02:52.223
"one minus N over K over
light green N is equal to,",00:02:52.007,00:02:57.007
"is equal to, and so let's,",00:02:58.454,00:03:00.126
"we could say it's equal to,",00:03:00.126,00:03:02.674
"it's equal to one over C
time E to the negative R T.",00:03:03.262,00:03:06.227
"But one over C, that's just
going to be another constant.",00:03:06.227,00:03:08.728
"So I could write one over C here,",00:03:09.044,00:03:10.129
and I take the reciprocal.,00:03:10.894,00:03:11.827
"And once again, this is just",00:03:11.827,00:03:12.595
"going to be another constant,",00:03:12.595,00:03:13.296
"so I'm going to be a
little bit of hand waving,",00:03:13.296,00:03:15.144
and say well O.K we're going to,00:03:15.144,00:03:16.262
get another constant here.,00:03:16.262,00:03:17.278
"I could have called
this C one, this C two.",00:03:17.278,00:03:20.161
I could call this C three if I want,00:03:20.161,00:03:22.594
to make it clear that these are not,00:03:22.594,00:03:24.012
going to be the same number.,00:03:24.012,00:03:25.561
This is E to the this power.,00:03:25.561,00:03:27.944
This is the reciprocal of that.,00:03:28.328,00:03:30.720
"Actually, maybe I'll do that just to",00:03:30.072,00:03:31.237
make it a little bit clearer.,00:03:31.885,00:03:33.700
"That would have been C
one right over there,",00:03:33.007,00:03:36.284
"and so this is going to be, sorry,",00:03:36.977,00:03:39.178
the reciprocal of this C three,00:03:39.178,00:03:41.126
"and E to the negative,",00:03:41.126,00:03:42.343
"the reciprocal of E to the R
T is E to the negative R T.",00:03:42.343,00:03:44.407
"E to the negative, E to the negative R,",00:03:44.983,00:03:49.983
E to the negative R T.,00:03:51.943,00:03:54.461
"And let's see, if we divide the numerator",00:03:54.677,00:03:56.511
"and the denominator by N,",00:03:56.511,00:03:59.977
or if we divide E.,00:03:59.977,00:04:00.960
"I want to think, if we divide this",00:04:00.096,00:04:01.329
term by in we're going to get.,00:04:02.193,00:04:04.094
"So this term by N is
going to be one over N,",00:04:04.094,00:04:08.172
and then this term by N is just going,00:04:08.311,00:04:09.318
to be minus one over K.,00:04:10.011,00:04:12.062
So this is just going to be minus,00:04:12.086,00:04:13.654
one over K is equal to this.,00:04:14.428,00:04:16.517
