text,start,stop
"Let's say that I have some set
V that is a subspace in Rn.",00:00:00.490,00:00:11.120
"And just as a reminder,
what does it mean?",00:00:11.120,00:00:12.750
"That's just some set, or some
subset of Rn where if I take",00:00:12.750,00:00:16.960
"any two members of that subset--
so let say I take the",00:00:16.960,00:00:20.680
"members a and b-- they're both
members my subspace.",00:00:20.680,00:00:24.980
"By the fact that this is a
subspace, we then know that",00:00:24.980,00:00:28.910
"the addition of these two
vectors, or a plus b, is also",00:00:28.910,00:00:33.400
in my subspace.,00:00:33.400,00:00:34.770
"And this is our closure
under addition.",00:00:34.770,00:00:40.655
"And by the fact that it's a
subspace, we also know that if",00:00:43.630,00:00:46.180
"we multiply any member of our
subspace by a scalar -- so the",00:00:46.180,00:00:50.010
"fact that those guys are members
of our subspace -- we",00:00:50.010,00:00:52.530
"also know that if I pick one
of them, let's say a, and I",00:00:52.530,00:00:55.340
"multiply a by some scalar, that
this is also going to be",00:00:55.340,00:00:59.500
a member of our subspace.,00:00:59.500,00:01:01.400
"And we sometimes call this
closure under scalar",00:01:01.400,00:01:07.190
multiplication.,00:01:07.190,00:01:08.440
"And then a somewhat redundant
statement is that V, well it",00:01:11.550,00:01:15.360
must contain the zero vector.,00:01:15.360,00:01:17.030
"And that's true of
all subspaces.",00:01:17.030,00:01:19.050
"V -- let me write it this
way -- the zero vector",00:01:19.050,00:01:22.830
is a member of V.,00:01:22.830,00:01:24.355
"And it would be the zero vector
with n components here,",00:01:24.355,00:01:27.590
because V is a subspace of Rn.,00:01:27.590,00:01:29.820
"And why I say that's redundant,
because if I say",00:01:29.820,00:01:32.350
"that any multiple of these
vectors is also in V, I could",00:01:32.350,00:01:34.970
"just set the scalar
to be equal to 0.",00:01:34.970,00:01:37.300
"So this statement kind
of takes the",00:01:37.300,00:01:39.450
statement into account.,00:01:39.450,00:01:40.630
"But in a lot of textbooks, they
will always write, oh and",00:01:40.630,00:01:43.030
"the zero vector has to
be a member of V.",00:01:43.030,00:01:45.080
"Although, that's kind of
redundant with the closure",00:01:45.080,00:01:47.430
under scalar multiplication.,00:01:47.430,00:01:49.020
Fair enough.,00:01:49.020,00:01:50.570
"Now, let's say that I also have
some transformation T.",00:01:50.570,00:01:55.063
"It is a mapping, a function,
from Rn to Rm.",00:01:58.120,00:02:07.340
"What I want to understand, in
this video is, I have a",00:02:07.340,00:02:11.340
"subspace right here, V.",00:02:11.340,00:02:14.140
"I want to understand whether
the transformation of the",00:02:14.140,00:02:17.600
"subspace -- and what
did we call that?",00:02:17.600,00:02:22.030
"We called that the image of our
subspace, or our subset,",00:02:22.030,00:02:29.020
either way.,00:02:29.020,00:02:29.840
The image of V under T.,00:02:29.840,00:02:35.240
"In the last video, just to kind
of help you visualize it.",00:02:35.240,00:02:37.890
"How did that work or -- we
had some subset of Rn",00:02:37.890,00:02:41.970
that looked like this.,00:02:41.970,00:02:42.830
"It was a triangle that looked
something like that.",00:02:42.830,00:02:46.280
"And that was in Rn, this was
actually in R2, it was a",00:02:46.280,00:02:49.120
"triangle that looked something
like that.",00:02:49.120,00:02:50.850
"And we figured out it's
image under T.",00:02:50.850,00:02:54.020
So we went from R2 to R2.,00:02:54.020,00:02:57.280
and we had our transformation.,00:02:57.280,00:02:58.920
"And it ended up looking
something like this.",00:02:58.920,00:03:01.660
If I remember it properly.,00:03:01.660,00:03:03.352
