'',WP$,NNS,WRB,RBR,$,PRP,PRP$,``,JJ,VBG,:,NNPS,FW,NNP,CC,NN,(,),PDT,#,VBP,CD,VBN,RBS,VBZ,WDT,TO,VB,WP,EX,MD,JJR,SYM,RB,DT,VBD,RP,UH,POS,JJS,IN,length
1,1,181,49,6,25,406,17,0,450,66,21,0,1,744,209,1071,0,0,17,0,256,218,54,0,341,43,104,308,42,19,91,38,0,343,618,85,35,0,22,0,704,6586.0
0,0,20,1,0,0,10,1,0,26,2,0,0,0,11,7,24,0,0,0,0,17,0,3,1,8,3,5,11,3,0,7,0,0,8,14,0,0,0,1,0,17,200.0
1,5,295,71,5,3,562,43,0,517,215,5,0,11,624,215,1284,0,0,16,0,479,128,114,1,358,68,265,484,44,8,105,12,0,353,759,79,23,0,12,0,730,7894.0
5,0,282,72,10,12,772,55,0,944,173,297,5,9,1192,246,1790,0,0,34,0,559,161,130,3,589,65,161,535,95,37,163,23,0,646,894,120,47,9,14,17,951,11117.0
4,0,289,57,13,7,662,38,0,759,125,247,0,4,949,199,1378,0,0,21,0,554,316,63,0,401,38,246,527,70,11,109,72,0,476,777,72,38,0,35,21,758,9336.0
4,1,155,31,14,12,427,24,0,523,95,17,0,3,669,175,933,0,0,16,0,287,172,59,0,440,47,158,305,53,21,74,13,0,433,563,83,32,1,12,4,506,6362.0
2,0,145,27,4,1,365,29,0,322,70,13,0,6,485,126,665,0,0,15,0,282,68,53,4,234,24,93,322,19,14,74,28,0,303,413,36,13,2,9,8,427,4701.0
1,0,54,7,0,1,110,9,0,147,16,0,0,0,176,71,251,0,0,0,0,63,49,44,0,90,7,45,83,3,3,16,0,0,108,179,36,13,0,7,1,138,1728.0
0,0,38,8,1,1,114,16,0,115,13,1,0,0,119,38,215,0,0,3,0,55,44,7,0,60,9,35,107,7,3,22,1,0,72,135,38,7,1,0,0,95,1380.0
1,0,54,13,6,0,272,9,0,265,74,0,0,3,312,55,605,0,0,5,0,146,17,17,0,221,17,136,230,22,9,49,3,0,195,357,30,8,0,14,2,376,3523.0
0,0,52,4,4,2,119,21,0,115,33,0,0,0,89,49,214,0,0,3,0,64,74,20,0,79,12,52,97,11,1,32,10,0,97,116,22,6,0,3,1,171,1573.0
0,0,12,0,0,0,38,1,0,52,23,1,0,1,26,13,61,0,0,0,0,36,49,6,0,23,2,27,27,0,0,1,2,0,31,44,4,0,0,0,1,29,510.0
0,0,119,9,1,0,140,6,0,161,19,0,0,0,82,43,255,0,0,5,0,130,77,30,0,62,18,33,92,6,7,22,1,0,68,185,28,2,0,0,0,213,1814.0
0,0,324,54,10,4,519,30,0,866,167,1,0,1,810,224,1376,0,0,23,0,408,187,123,0,504,74,205,351,54,14,88,16,0,394,991,115,19,1,13,2,959,8927.0
0,0,1,0,0,0,14,0,0,9,3,1,0,0,14,6,32,0,0,1,0,6,2,2,0,7,2,2,9,1,0,5,1,0,8,14,3,1,0,1,0,15,160.0
2,0,365,57,13,6,593,41,0,630,164,17,3,10,723,268,1211,0,0,21,0,505,143,96,3,361,53,227,523,70,40,148,14,0,477,770,118,51,1,21,17,833,8595.0
0,0,164,43,10,3,505,69,0,608,93,95,1,4,1056,182,1091,0,0,23,0,376,164,85,0,396,34,164,412,51,10,97,32,0,475,575,96,23,1,7,9,580,7534.0
