PlaylistID,LectureName
PLUl4u3cNGP60hI9ATjSFgLZpbNJ7myAg6, Introduction to Probability
PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0,Intro to Statistics
PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,Into Computer Science
PLUl4u3cNGP61Oq3tWYp6V_F-5jb5L2iHb,Intro Algorithms
PLUl4u3cNGP63gFHB6xb-kVBiQHYe_4hSi,Artificial Intel
PL590CCC2BC5AF3BC1,Single Var Calculus
PL4C4C8A7D06566F38,Multi Var Calculus
PLE7DDD91010BC51F8,Linear Algebra
PLEC88901EBADDD980,Differential Equations
PL221E2BBF13BECF6C,Linear Algebra
PL4C4720A6F225E074,Computer Science
PLUl4u3cNGP60A3XMwZ5sep719_nh95qOe,Applied Probability
PLB7540DEDD482705B,Math for CS
PLUl4u3cNGP6317WaSNfmCvGym2ucw3oGp,Algorithms
PL3A13781649466805,Math Methods for engineers
PLUl4u3cNGP60gl3fdUTKRrt5t_GPx2sRg,Statistical Mechanics
PLUl4u3cNGP61hsJNdULdudlRL493b-Xzf,advanced data structures
PLEEF5322B331C1B98,stochastic processes
PL3FW7Lu3i5Jsnh1rnUwq_TcylNr7EkRe6,stanford NLP
PL2SOU6wwxB0uVbmox-s0PCssse5VKGkWh,harvard cs 50
PL2SOU6wwxB0uwwH80KTQ6ht66KWxbzTIo,stats/probability
PLOHFP8vrRmSHNsQ2AMS7_3l0Xj8gEmhTz,basic algebraic geometry
PLIHrjEanhV7MH_Fqim3Xh5wZ9m3UmpQRB,Calculus 1
PLIHrjEanhV7On2T48ERBaFCqFiTS5qTQz,Calculus 2
PLIHrjEanhV7N0GM-RJLtkI36KFxE_HVPO,Multi Var Calculus
PLD63A284B7615313A,machine learning
PL8_xPU5epJddl1dmAZWlERA0zplgD0W4E,caltech math
PLqOZ6FD_RQ7mxsWrqTwndCBFXAKC0Xho9,Calculus
PL2_aWCzGMAwI3W_JlcBbtYTwiQSsOTa6P,Data Structures
PLDesaqWTN6ESPaHy2QUKVaXNZuQNxkYQ_,Differential Equations
PLMrJAkhIeNNR2W2sPWsYxfrxcASrUt_9j,Math for Engineering
PLSQl0a2vh4HCN-KWUw05w0NILbad1Tzuo,Linear Algebra
PLSQl0a2vh4HADlSsNw81b5iS-3mmGYK7F,Linear Algebra
PLSQl0a2vh4HBtgpgKiL63j-n2-KlAejCN,Differential Equations
PLSQl0a2vh4HBdTlkyCh7g-DRr53z1IKDl,Differential Equations
PLSQl0a2vh4HBkFM7Ip54d-NO6QPb3RwMI,Differential Equations
PLSQl0a2vh4HDl0hgK8nIBgBjLji5Eu9ar,Statistics
PLSQl0a2vh4HBYC5cYWXhQG9NfqYVMcspF,Linear Algebra
